,pqc_norm,ai_norm,legal_norm,res_norm,pc1,pc2,reproducible,audit_ready,pqc_score,ai_index,legal_wgi_score,res_index,qvp_global_score,rank,explained_variance_ratio,predicted_qvp_score,residual,imf_res,ndgain_res,global_resilience,oecd_ai,oxford_ai,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,sci_score,qssi_global_score,manifest_version,consistency_checks,spearman_rho,spearman_p,kendall_tau,kendall_p,countries,cronbach_alpha,random_seed,importance,schema_version,statistics,ai_missing,legal_missing,pqc_missing,res_missing,null_counts,duplicate_iso3,row_count,pqc,sci_plus_score,sci_ultra_score,sci_adjusted_score,confidence_score,rank_raw,rank_adjusted,rank_gap,risk_flag
pqc_norm,1.0,0.8681101909923375,0.8840643774989712,0.7980868882883548,-0.003901868884020903,-0.002172050976090592,,,0.30268294153718434,0.2123817117725205,0.20572479968282098,0.15194539474176985,-0.002488046000406987,-0.17586370874023402,-1.3920778287708704e-18,-0.0014363066622523249,0.004825772095152591,-0.0018851637803226338,-0.001223944749471004,-0.0018851637803226338,-0.003087259713383321,-0.006201434003967978,-0.005166045915176505,-0.005205104275663114,-0.0006949873165879434,-0.012700840200295467,-0.00175540792315214,0.37041877787928607,,,0.0018408183477968043,-0.0026555344823743043,0.0019468465504641679,-0.002655534482374304,,,,-0.001588535507917046,,-0.0010284261210414334,,,,,-0.003002931265395741,,,0.004333575989500732,0.002778666373968315,-0.007578709151436065,-0.007440412551911935,0.0012609297969379833,-5.4013805658857135e-18,2.915805377099736e-18,-0.006991516019286506,
ai_norm,0.8681101909923375,1.0,0.8822951192474433,0.8163966699707945,-0.0037695775717260477,-0.0020984084518184828,,,0.24776150512485237,0.3293800550048265,0.25904045221867383,0.23924672051002022,-0.0024036897905425577,-0.2384119475666162,-1.4707431286839145e-18,-0.0013876092562515009,0.00466215621202609,-0.0018212480522952388,-0.0011824473896422858,-0.0018212480522952388,-0.002982587400956223,-0.0059911768510808715,-0.004990893183548081,-0.005028627285860066,-0.0006714240480945982,-0.012270223265876786,-0.0016958915158434412,0.5259170356765283,,,0.0017784061340175052,-0.0025654996421583293,0.001880839492653766,-0.002565499642158327,,,,-0.0015346768434628887,,-0.0009935577425298592,,,,,-0.0029011180754507245,,,0.004186647819534139,0.0026844567959514332,-0.007321756032573488,-0.007188148324239934,0.0012181784737883526,-5.329143956200602e-17,-1.9893924669452804e-17,-0.0067544714499758315,
legal_norm,0.8840643774989712,0.8822951192474433,1.0,0.8675235166090206,-0.002244990694858389,-0.0012497176032876753,,,0.21613789449557622,0.24202912540865193,0.31008261238622975,0.22663464544959222,-0.001431529424827516,-0.20581187861342815,-1.550803829667993e-18,-0.0008263976026776922,0.002776570349017141,-0.0010846533471285083,-0.0007042124313392391,-0.0010846533471285083,-0.0017762947795453943,-0.0035680752089595194,-0.0029723512894742135,-0.002994824022018284,-0.00039986993544974215,-0.007307592570143805,-0.001009996637584501,0.4634682541667148,,,0.0010591386293490972,-0.0015278960877492208,0.0011201433261915847,-0.001527896087749218,,,,-0.0009139844366198155,,-0.0005917182613547798,,,,,-0.0017277753170334856,,,0.0024933789578966965,0.0015987416130818833,-0.004360508266612295,-0.004280937530564856,0.0007254922564383596,6.419384867150411e-17,5.740535907984785e-17,-0.004022659108441196,
res_norm,0.7980868882883548,0.8163966699707945,0.8675235166090206,1.0,-0.0014948946202474674,-0.0008321620781154769,,,0.12990721335505045,0.2023541991071075,0.20534260451360334,0.3404617230977374,-0.0009532269513641703,-0.14902247331821722,-3.304867467881028e-18,-0.0005502817153124701,0.0018488629315883635,-0.0007222490753168658,-0.00046892104164699376,-0.0007222490753168658,-0.0011827993389895946,-0.0023759102640058057,-0.0019792295630870612,-0.0019941937084002066,-0.00026626543115414533,-0.004865980444857931,-0.0006725366583705364,0.3473658831000069,,,0.0007052593325817126,-0.0010173955941574168,0.0007458811459955605,-0.001017395594157417,,,,-0.0006086040447393285,,-0.0003940134128962113,,,,,-0.0011504911946161143,,,0.0016602914207772977,0.0010645702193936865,-0.0029035756648045207,-0.0028505910954168263,0.0004830908536346282,1.00212715153242e-17,1.7785964954694715e-17,-0.0026786086348022037,
pc1,-0.003901868884020903,-0.0037695775717260477,-0.002244990694858389,-0.0014948946202474674,1.0,0.005502955110426558,,,-7.084143464877317e-05,-0.0027010080370721526,-0.0025083760762851974,-0.0019811649478983827,-0.0005482523149279156,-0.0012829996183311675,4.855883988316103e-19,-0.0003164967417799309,0.0010633809511762877,-0.0004154044605328887,-0.00026970182308995384,-0.0004154044605328887,-0.0006802917970044908,-0.0013665143441857445,-0.0011383618436151288,-0.0011469685319756373,-0.00015314363363938183,-0.0027986882236926878,-0.00038681216398502786,-0.00010678437906581426,,,0.0004056327416692364,-0.0005851591679153956,0.00042899654103133997,-0.0005851591679154006,,,,-0.00035004106411962106,,-0.00022661839913788652,,,,,-0.0006617096378259047,,,0.0009549232883043351,0.0006122918433550242,-0.0016700032217099815,-0.001639528933524245,0.00027785164744546586,-2.4587501975203382e-17,-1.656872081280665e-17,-0.00154061252959326,
pc2,-0.002172050976090592,-0.0020984084518184828,-0.0012497176032876753,-0.0008321620781154769,0.005502955110426558,1.0,,,-3.943525829550682e-05,-0.0015035684995405051,-0.0013963361832094875,-0.0011028538853526742,-0.00030519528235814253,-0.0007142066164069461,1.1188356764256009e-19,-0.0001761840485537365,0.0005919516266724049,-0.00023124294813389357,-0.00015013474965675316,-0.00023124294813389357,-0.0003786976204559863,-0.0007606967080020599,-0.0006336911944156642,-0.0006384822743852861,-8.525037329949452e-05,-0.001557944069555851,-0.0002153264918224416,-5.944359528094208e-05,,,0.00022580333134337427,-0.00032574019774063743,0.00023880924330968006,-0.00032574019774063694,,,,-0.00019485714604774152,,-0.0001261515262758598,,,,,-0.0003683535012194385,,,0.0005315765655137967,0.00034084412765838997,-0.0009296396766801565,-0.0009126755732294796,0.00015467150741886755,-1.6572437896795365e-18,1.0113341742411434e-18,-0.0008576118388765549,
reproducible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audit_ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pqc_score,0.30268294153718434,0.24776150512485237,0.21613789449557622,0.12990721335505045,-7.084143464877317e-05,-3.943525829550682e-05,,,1.0,0.47725577660406027,0.4511199664733846,0.25212564096592477,0.6679248105394078,-0.6046407887774488,1.0592229795386865e-18,0.38558163920918465,-0.0981498703755693,-3.4226600308141915e-05,-2.222165955884538e-05,-3.4226600308141915e-05,-5.605157777736577e-05,-0.00011259181043240166,-9.379354226660361e-05,-9.450267688252831e-05,-1.2618029983204858e-05,-0.00023059353550295935,-3.187078278790571e-05,0.43363755517486474,,,3.3421474828876925e-05,-4.821327371147517e-05,3.5346498502768975e-05,-4.821327371147519e-05,,,,-2.8841085571354284e-05,,-1.8671868279155238e-05,,,,,-5.4520529858018734e-05,,,7.867940963239465e-05,5.0448828034659396e-05,-0.000137597301455849,-0.00013508642018118629,2.2893151579985308e-05,-3.286953728645801e-16,-2.2026577116935164e-16,-0.00012693635790963289,
ai_index,0.2123817117725205,0.3293800550048265,0.24202912540865193,0.2023541991071075,-0.0027010080370721526,-0.0015035684995405051,,,0.47725577660406027,1.0,0.5844682170299753,0.3862951341645751,0.579670469656419,-0.8173229911105162,1.4189148068147913e-19,0.3346339084337066,0.13627578376052377,-0.0013049753011177688,-0.0008472567130048994,-0.0013049753011177688,0.5964161343375667,0.5957935266517397,0.21713288275975748,0.25751259751452843,0.26286070869946404,0.22035458527738827,0.32878644833378123,0.3844093586775693,,,0.0012742778652958032,-0.001838252435644032,0.0013476742392049602,-0.0018382524356440277,,,,-0.0010996389939271086,,-0.0007119119839834859,,,,,-0.0020787324545488263,,,0.14927136797639556,0.24133334668989612,-0.005246243514868107,-0.005150509845204304,0.0008728590367710221,-1.0397820448237162e-16,-8.450634610404132e-17,-0.004839768203577092,
