,count,mean,std,min,25%,50%,75%,max
pqc_norm,2512.0,0.2510351827909112,0.15785386899336107,-0.1113853369157525,0.2300339847068818,0.2300339847068818,0.2300339847068818,1.0
ai_norm,2512.0,0.19988348240161138,0.149410775359529,-0.1711642805911594,0.1806795232685383,0.1806795232685383,0.1806795232685383,1.0
legal_norm,2512.0,0.2584698206590899,0.14169740041098985,-0.0978581598620066,0.2476232463286662,0.2476232463286662,0.2476232463286662,1.0
res_norm,2512.0,0.1949727128257949,0.099736921380503,-0.0270511229691254,0.1898889801397921,0.1898889801397921,0.1898889801397921,1.0
pc1,2512.0,-0.15253350224051856,0.4525331983632881,-3.573021147156453,-0.1658001547504036,-0.1658001547504036,-0.1658001547504036,4.2238438395332185
pc2,2512.0,-0.04606537311440211,0.24550619434277504,-1.7723616038821313,-0.0500719243891727,-0.0500719243891727,-0.0500719243891727,3.171664895488278
reproducible,2512.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
audit_ready,2512.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
pqc_score,2512.0,0.6020549112761426,0.12966159832267724,0.0,0.6017417162276976,0.6017417162276976,0.6017417162276976,1.0
ai_index,2512.0,0.4590327266762362,0.19358532851652008,0.0,0.4412042398246143,0.4412042398246143,0.4532981548004527,1.0
legal_wgi_score,2512.0,0.5035721414398999,0.16585592918771097,0.0,0.4869489887030817,0.4893867991225805,0.49485007623328936,1.0000000000000002
res_index,2512.0,0.36393320240885063,0.09834124973022082,0.0,0.3572900758335642,0.3572900758335642,0.3572900758335642,1.0
qvp_global_score,2512.0,0.4882247228910151,0.08674695619680646,0.0841924679533824,0.4866030961850762,0.4866030961850762,0.4866030961850762,0.90810644384678
rank,2512.0,92.97452229299363,45.135613035481306,1.0,74.0,91.0,108.0,213.0
explained_variance_ratio,2512.0,0.4104587652179684,0.006287743127872916,0.187664940174111,0.41045876521796854,0.41045876521796854,0.41045876521796854,0.633252590261826
predicted_qvp_score,2512.0,0.48714363842039043,0.05008921448451497,0.0841924679533823,0.4866030961850762,0.4866030961850762,0.4866030961850762,0.9081064438467802
residual,2512.0,-5.627354562515847e-17,2.1026870938037688e-17,-2.7755575615628914e-16,-5.551115123125783e-17,-5.551115123125783e-17,-5.551115123125783e-17,1.1102230246251563e-16
imf_res,2512.0,0.34499627053792026,0.047220669719951064,0.0,0.3443274348062439,0.3443274348062439,0.3443274348062439,1.0
ndgain_res,2512.0,0.3964663652383481,0.04498135108217057,0.0,0.3960527156972023,0.3960527156972023,0.3960527156972023,1.0
global_resilience,2512.0,0.34499627053792026,0.047220669719951064,0.0,0.3443274348062439,0.3443274348062439,0.3443274348062439,1.0
oecd_ai,2512.0,0.47051318127950315,0.11685047544096344,0.0,0.4678027282425281,0.4678027282425281,0.4678027282425281,1.0
oxford_ai,2512.0,0.43743175026404996,0.11450201730640559,0.0,0.4320966387459358,0.4320966387459358,0.4320966387459358,1.0
rule_of_law,2512.0,0.5022536145909385,0.1048759954234133,0.0,0.4981828818047356,0.4981828818047356,0.4981828818047356,1.0
regulatory_quality,2512.0,0.48342270266453247,0.09818995836190775,0.0,0.4795826715132353,0.4795826715132353,0.4795826715132353,1.0
government_effectiveness,2512.0,0.5111114652264364,0.09540120862592032,0.0,0.5106133050655943,0.5106133050655943,0.5106133050655943,1.0
control_of_corruption,2512.0,0.43693697753431493,0.10529645792840531,0.0,0.42688886590177155,0.42688886590177155,0.42688886590177155,1.0
sci_score,2512.0,0.46352897632826917,0.05736479689582332,0.0139377787579983,0.4627723843161325,0.4627723843161325,0.4627723843161325,0.9396167801535984
qssi_global_score,2512.0,0.5416165171335231,0.061108727535633796,0.0841924679533823,0.5413940186086891,0.5413940186086891,0.5413940186086891,1.0
manifest_version,2512.0,1.0999999999999996,5.130251624226082e-14,1.1,1.1,1.1,1.1,1.1
consistency_checks,2512.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
spearman_rho,2512.0,0.8019033989068328,0.005700051483220429,0.5297073434762894,0.8019822355184234,0.8019822355184234,0.8019822355184234,0.8762195592452832
spearman_p,2512.0,2.464358121092224e-19,1.2351327501070578e-17,5.23967518504772e-65,4.07340488198082e-41,4.07340488198082e-41,4.07340488198082e-41,6.190467600183666e-16
kendall_tau,2512.0,0.6283136964447962,0.004945626111113776,0.3891421604364521,0.6283860385661699,0.6283860385661699,0.6283860385661699,0.6859065078053989
kendall_p,2512.0,1.0678167477909991e-18,5.351882200160933e-17,4.087149514651637e-47,3.4496001759629814e-34,3.4496001759629814e-34,3.4496001759629814e-34,2.682355670450989e-15
countries,2512.0,201.0,0.0,201.0,201.0,201.0,201.0,201.0
cronbach_alpha,2512.0,0.802555371615675,1.7878149599575742e-14,0.802555371615675,0.802555371615675,0.802555371615675,0.802555371615675,0.802555371615675
random_seed,2512.0,42.0,0.0,42.0,42.0,42.0,42.0,42.0
importance,2512.0,0.17696450547721418,0.00943123234442532,0.0162630078550232,0.1768519404169193,0.1768519404169193,0.1768519404169193,0.6202043044396042
