Section,Metric,Value
Coverage,AI,195
Coverage,LEGAL,213
Coverage,RES,181
Coverage,PQC,124
Coverage,Final_N,90
Coverage,Excluded_Due_To_PQC,36
Coverage,Countries,90
Quality_Check,Missing_Values,0
Validation,KMO,0.7355868518654463
Validation,Chi_Square,249.83379389196242
Validation,p_value,4.450885068086372e-51
Reliability,Cronbach_Alpha,0.8785685555594794
Reliability,CI_Lower,0.832
Reliability,CI_Upper,0.915
Robustness,Equal_vs_PCA_Spearman,0.9992427048606825
Robustness,Equal_vs_PCA_pvalue,7.153803172038685e-126
Robustness,PCA_vs_Entropy_Spearman,0.9972671523233321
Robustness,PCA_vs_Entropy_pvalue,2.290322902718063e-101
Audit,Timestamp,2026-06-05T16:11:24.057391
Audit,Python_Version,3.12.13
Audit,Platform,Linux-6.6.122+-x86_64-with-glibc2.35
Output,QSSI_RANKINGS_2026.csv,Saved
Output,QSSI_FINAL_AUDIT.json,Saved
Output,QSSI_SHA256_AUDIT.csv,Saved
Output,QSSI_CRITIC_WEIGHTS.csv,Saved
Output,QSSI_ENTROPY_WEIGHTS.csv,Saved
