Metric,Value
AI,195
LEGAL,213
RES,181
PQC,124
AI_LEGAL_INTERSECTION,172
AI_RES_INTERSECTION,128
AI_PQC_INTERSECTION,118
LEGAL_RES_INTERSECTION,136
LEGAL_PQC_INTERSECTION,117
RES_PQC_INTERSECTION,94
DEFINITIVE_FINAL_N,90
COUNTRIES,90
EXCLUDED_DUE_TO_PQC_COVERAGE,36
FINAL_DATASET_ROWS,90
FINAL_DATASET_COLUMNS,5
MISSING_VALUES,0
PCA_PC1_VARIANCE,0.74561879
PCA_PC2_VARIANCE,0.17028181
PCA_PC3_VARIANCE,0.04806765
PCA_PC4_VARIANCE,0.03603175
TOTAL_EXPLAINED_VARIANCE,0.9999999999999999
KMO,0.7355868518654463
BARTLETT_CHI_SQUARE,249.83379389196242
BARTLETT_P_VALUE,4.450885068086372e-51
CRONBACH_ALPHA,0.8785685555594794
CRONBACH_ALPHA_CI_LOWER,0.832
CRONBACH_ALPHA_CI_UPPER,0.915
PCA_WEIGHT_AI_INDEX,0.26837950
PCA_WEIGHT_LEGAL_WGI_SCORE,0.26942446
PCA_WEIGHT_RES_INDEX,0.20902441
PCA_WEIGHT_PQC,0.25317163
CRITIC_WEIGHT_AI_INDEX,0.241936
CRITIC_WEIGHT_LEGAL_WGI_SCORE,0.210281
CRITIC_WEIGHT_RES_INDEX,0.227146
CRITIC_WEIGHT_PQC,0.320637
ENTROPY_WEIGHT_AI_INDEX,0.290727
ENTROPY_WEIGHT_LEGAL_WGI_SCORE,0.234477
ENTROPY_WEIGHT_RES_INDEX,0.155500
ENTROPY_WEIGHT_PQC,0.319295
EQUAL_VS_PCA_SPEARMAN,0.9992427048606825
EQUAL_VS_PCA_PVALUE,7.153803172038685e-126
PCA_VS_ENTROPY_SPEARMAN,0.9972671523233321
PCA_VS_ENTROPY_PVALUE,2.290322902718063e-101
ADDITIONAL_ROBUSTNESS_SPEARMAN,0.998304317405441
ADDITIONAL_ROBUSTNESS_PVALUE,1.776061187692281e-110
TOP_RANK_1,Denmark
TOP_RANK_1_SCORE,0.883898
TOP_RANK_2,Norway
TOP_RANK_2_SCORE,0.854815
TOP_RANK_3,Singapore
TOP_RANK_3_SCORE,0.846803
TOP_RANK_4,United States
TOP_RANK_4_SCORE,0.826602
TOP_RANK_5,Australia
TOP_RANK_5_SCORE,0.822180
BOTTOM_RANK_86,Zimbabwe
BOTTOM_RANK_86_SCORE,0.213106
BOTTOM_RANK_87,Mali
BOTTOM_RANK_87_SCORE,0.192921
BOTTOM_RANK_88,Burundi
BOTTOM_RANK_88_SCORE,0.150303
BOTTOM_RANK_89,Liberia
BOTTOM_RANK_89_SCORE,0.141950
BOTTOM_RANK_90,Haiti
BOTTOM_RANK_90_SCORE,0.098629
FIRST_COUNTRY,Albania
LAST_COUNTRY,Zimbabwe
AUDIT_TIMESTAMP,2026-06-05T16:11:24.057391
PYTHON_VERSION,"3.12.13 (main, Mar 4 2026, 09:23:07) [GCC 11.4.0]"
PLATFORM,Linux-6.6.122+-x86_64-with-glibc2.35
SHA256_AI_INDEX_2026_v1_MC_Canon.csv,16656947ff8486b896640a00d05deccee086e52358f6614472ad38929af0b776
SHA256_LEGAL_WGI_2026_v1_MC_Canon.csv,13e5310373fc4104b70b0eb410ccb1628099336f21fe705545b472290cc7b4e7
SHA256_RES_INDEX_2026_MC_Canon.csv,4e936fa81a2fa2d491b897313ac136d38af431cb72f55b3adb85006bded88c9d
SHA256_PQC_NCSI_2026_MC_Canon.csv,a421685fedadd3fb3b0b9ffbdb3822401ea4ab98098853b104f54397631cda8d
SHA256_QSSI_MASTER_DATASET.csv,6ac531236999faa3680978cbe09eb8c93e9ebc85e1881f937d257f873b727931
SHA256_QSSI_RANKINGS_2026.csv,56681c6fcc4c89a89982b9e117beedde76f02ef4c1c473bd86079e66542d8215
CURRENT_EDITION_DOI,10.5281/zenodo.20385492
ALL_VERSIONS_DOI,10.5281/zenodo.17302169
AUTHOR,Dr. B. Mazumdar
ORCID,https://orcid.org/0009-0007-5615-3558
