country,AI_INDEX,LEGAL_WGI_SCORE,RES_INDEX,PQC,QSSI_SCORE,RANK
denmark,0.9129101593157498,0.9663234009914472,0.7176088170442433,0.9027187765505524,0.8837206207187608,1
norway,0.890230870661846,0.9247920136946012,0.7897549500073996,0.796516567544605,0.8548613259846696,2
singapore,0.8926495831531893,0.9467529926189896,0.6450186156262884,0.8584324553950722,0.8465772941087066,3
australia,0.906168036193777,0.8913983025818323,0.5490572416395311,0.884983007646559,0.8216134762035372,4
germany,0.89455549229934,0.8678682433117846,0.5402794163871945,0.9203483432455396,0.8191894852794233,5
finland,0.8135522384731969,0.9584398153347,0.43820065135753,0.9734494477485132,0.814115375641125,6
ireland,0.8259901416078436,0.875736521594103,0.7233035359814183,0.7787807986406118,0.8059889272300454,7
canada,0.8640010094156945,0.8537832796331456,0.4474138939284242,0.9823704333050128,0.8032951192438059,8
luxembourg,0.762188958278292,0.937967768108498,0.6912954714143279,0.7787807986406118,0.7991798111715078,9
france,0.947399817300537,0.7571854095710073,0.441822938333823,0.9027187765505524,0.7780088793872619,10
sweden,0.807195928866983,0.908237582907886,0.5811283859477431,0.7610450297366185,0.7754091753852841,11
japan,0.8297091768673535,0.8575007215242297,0.5028744758535763,0.8318819031435853,0.7689722359730641,12
belgium,0.7715866701521545,0.7950749198037986,0.4741843546733551,0.955819881053526,0.7617202082351728,13
switzerland,0.7265760665428697,0.922336409910996,0.556696497294005,0.796516567544605,0.7615799112960695,14
austria,0.8154764620245336,0.8328247550093182,0.4541127096524097,0.8584324553950722,0.7548998294501782,15
united arab emirates,0.7817914268610413,0.7280314666812258,0.6142531708339929,0.840696686491079,0.7467371063231824,16
spain,0.8851748838237983,0.6889226499688639,0.4507107159205246,0.9027187765505524,0.744788109157546,17
iceland,0.7126327491624229,0.8667066751187339,0.4998310502301324,0.7875955819881053,0.7285390787453014,18
italy,0.7930010538413984,0.6444358429294295,0.4252730928791866,0.8937977909940527,0.7005836356041057,19
saudi arabia,0.8473691074935811,0.6354236916438878,0.4748710573334173,0.7875955819881053,0.6963025169473076,20
new zealand,0.7427354269507555,0.9170317897565512,0.4102926180501374,0.6460280373831776,0.6957129850409497,21
portugal,0.7673731459526376,0.7015072825442665,0.4112874191223301,0.8496176720475787,0.6951985232205227,22
cyprus,0.6912733086887354,0.6576950523475349,0.4598269958805703,0.8672472387425658,0.677717870825479,23
greece,0.713970911747825,0.5675206587019025,0.4584474136236569,0.8584324553950722,0.6567528893822032,24
chile,0.6894589715685118,0.698529211303743,0.3056448142298205,0.8584324553950722,0.6536355463599951,25
hungary,0.7380445172095522,0.555070976174037,0.3087459909887522,0.9468988954970264,0.6505220837521704,26
india,0.7804532642756392,0.4908191446875781,0.5379361059928162,0.7610450297366185,0.645823435715476,27
uruguay,0.6743093254595549,0.7147129937076987,0.3008470431696006,0.8141461342395921,0.6418402953732424,28
romania,0.6618152681024874,0.5630706906556661,0.3381785657104029,0.9380841121495328,0.6363973685714763,29
jordan,0.6523785054045246,0.5474503285051612,0.3433287020041328,0.9468988954970264,0.6329486478305772,30
malaysia,0.694076623688973,0.6343759533959803,0.3700095659368269,0.7256796941376381,0.6175688465332618,31
malta,0.7284453468786497,0.6159298724988426,0.4503893289071978,0.5751911639762107,0.6007375836403105,32
oman,0.6513333733020896,0.6219728920815022,0.435304029798536,0.5751911639762107,0.5786904477423213,33
bulgaria,0.6442237510695432,0.4970729169664213,0.2941393556945477,0.8141461342395921,0.5733113359796896,34
qatar,0.6568301168714523,0.6930377838391899,0.4902462445082824,0.3893372982158029,0.5642297853461673,35
brazil,0.8309191386164575,0.4130226744470213,0.2238163084764187,0.7168649107901445,0.5608379320398524,36
rwanda,0.5764678672268,0.5707738424204216,0.4160237011195762,0.6460280373831776,0.5586456554864162,37
ukraine,0.7157303056524923,0.3602563960267648,0.2106964565756289,0.8937977909940527,0.5576527942351186,38
