country,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,LEGAL_WGI_SCORE,rank
Denmark,0.9959884734264756,0.9516701741782122,0.9176349563611014,1.0,0.9663234009914472,1
Finland,1.0,0.959543796743575,0.8961328588524048,0.97808260574282,0.9584398153347,2
Singapore,0.8603894069067882,1.0,1.0,0.92662256356917,0.9467529926189896,3
Luxembourg,0.938604332943646,0.9295816697098692,0.9461169059187472,0.9375681638617304,0.937967768108498,4
Norway,0.9830091422424684,0.889221903524776,0.9019489305784836,0.9249880784326772,0.9247920136946012,5
Switzerland,0.9390499266795548,0.9133617653526964,0.9013282642098684,0.9356056834018648,0.922336409910996,6
New Zealand,0.91629043522423,0.930983426573032,0.9033251995756246,0.917528097653318,0.9170317897565512,7
Sweden,0.9303078526538816,0.8895435363946762,0.8865951696142947,0.9265037729686912,0.908237582907886,8
Netherlands,0.9256282193845768,0.9015490999426632,0.8814974627805683,0.9132709596134476,0.905486435430314,9
Australia,0.8696698416344153,0.9016674927045318,0.894310073912639,0.8999458020757428,0.8913983025818323,10
Liechtenstein,0.9305071088099732,0.8569530612531371,0.8682839058908527,0.8776628682319055,0.883351736046467,11
Ireland,0.8982784310699922,0.918971840207204,0.8499545174068001,0.8357412976924156,0.875736521594103,12
Germany,0.9064319163220674,0.8478558948449597,0.8352988629284321,0.8818862991516789,0.8678682433117846,13
Iceland,0.906929749145206,0.8075971728269175,0.8576849860906499,0.8946147924121619,0.8667066751187339,14
Japan,0.8794111774754142,0.8074415153793613,0.9569415429979288,0.7862086502442146,0.8575007215242297,15
Canada,0.8674053197892144,0.8152583650881003,0.8830982587068588,0.8493711749484089,0.8537832796331456,16
Monaco,0.840087092589831,0.7528515582961375,0.8781393736145618,0.8880578959193062,0.8397839801049591,17
Greenland,0.8942975429104,0.8491591270465432,0.7918510716944108,0.8150993054954645,0.8376017617867046,18
"Hong Kong SAR, China",0.7396822893477144,0.9058915516062506,0.8557714875101083,0.8356421063921704,0.834246858714061,19
Estonia,0.8734662605172272,0.8237747015015892,0.7793055705721805,0.8579673177417875,0.8336284625831961,20
Austria,0.9187240716507348,0.8125828182444349,0.8281592794080305,0.7718328507340729,0.8328247550093182,21
United Kingdom,0.8222365138396556,0.851017562272877,0.7541328384592416,0.8213039430529349,0.8121727144061772,22
"Taiwan, China",0.826534456350682,0.7992436444574658,0.823824541896114,0.7462153705294812,0.7989545033084358,23
Belgium,0.8252849768784076,0.7867847138963563,0.7563405106636703,0.8118894777767601,0.7950749198037986,24
"Jersey, Channel Islands",0.9056895913216492,0.743609436339835,0.7757148915413875,0.7102504248314908,0.7838160860085907,25
Lithuania,0.8469180156973253,0.7983126991834042,0.7578571286435317,0.7025212466294602,0.7764022725384304,26
Andorra,0.8553569468676198,0.7528515582961375,0.7483218874833727,0.744671276538498,0.7753004172964071,27
United States,0.7493373407905577,0.8129252550309425,0.7934522943498854,0.7241430200228565,0.7699644775485605,28
France,0.7533287098902055,0.763414357030002,0.757679407168053,0.7543191641957685,0.7571854095710073,29
Czechia,0.8028873972515947,0.7839914701542381,0.7524299644202189,0.6883391424311248,0.7569119935642942,30
French Guiana,0.7451746095039509,0.7428687977123849,0.7768054541200321,0.7490539374121047,0.7534756996871181,31
"Korea, Rep.",0.7861661338776609,0.7316257085059343,0.8219184998465796,0.6696112872852561,0.7523304073788578,32
San Marino,0.7957123302297686,0.6960320548282782,0.6896094767657862,0.744671276538498,0.7315062845905829,33
Bermuda,0.7110845120782897,0.6392124313839679,0.8194270302752676,0.744671276538498,0.7285988125690057,34
United Arab Emirates,0.6393360184886622,0.758510919476725,0.7709899887985834,0.7432889399609328,0.7280314666812258,35
"Macao SAR, China",0.7233853502624885,0.8174608687806757,0.7386396493489932,0.6061550028466088,0.7214102178096916,36
Guam,0.7665809477187762,0.5823929279161085,0.7731074863885742,0.744671276538498,0.7166881596404893,37
Uruguay,0.7466814279942503,0.643604841241761,0.6430866750308581,0.8254790305639254,0.7147129937076987,38
Latvia,0.7799979705303883,0.7522960193373244,0.6549228624113261,0.6639991781620507,0.7128040076102724,39
Anguilla,0.6715566285072911,0.6960320548282782,0.7376648875952656,0.744671276538498,0.7124812118673334,40
Aruba,0.8104415525409407,0.7237608202262059,0.6355191270576264,0.674031951960254,0.7109383629462567,41
Israel,0.663674724995393,0.7556697571400685,0.751373585095167,0.6704753108327239,0.7102983445158382,42
Cayman Islands,0.7181887913514785,0.7463224398315098,0.7539846511351916,0.6132999932310037,0.7079489688872959,43
Portugal,0.7754486274120684,0.6659946305739108,0.7008084900960423,0.6637773820950443,0.7015072825442665,44
Slovenia,0.7533295616144539,0.6799132186334464,0.7326672824443659,0.6293536582748728,0.6988159302417848,45
Chile,0.6852842940794684,0.6757243848177478,0.7046212704374644,0.7284868958802915,0.698529211303743,46
Brunei Darussalam,0.6608096429191043,0.7012206044197644,0.675589716150078,0.7469558702339752,0.6961439584307305,47
Qatar,0.6612793215240347,0.7202669380054081,0.7427594501086879,0.6478454257186291,0.6930377838391899,48
American Samoa,0.7788618177011534,0.5823929279161085,0.660358448921168,0.744671276538498,0.6915711177692321,49
Spain,0.742235853280183,0.6373635462831354,0.7374906473315523,0.6386005529805848,0.6889226499688639,50
Barbados,0.6939718340942426,0.5940917116788317,0.6237918005379752,0.7560535758934764,0.6669772305511315,51
Martinique,0.7110845120782897,0.6392124313839679,0.7020023211372485,0.6012847260884057,0.6633959976719779,52
Seychelles,0.6630077775909506,0.5818951216255273,0.6287771652991194,0.7572077747781683,0.6577219598234414,53
Cyprus,0.6848432665318909,0.6658564656929137,0.6833244072069079,0.596756069958427,0.6576950523475349,54
Poland,0.6582789335872987,0.6529598610384753,0.6392512331238153,0.6568624135097586,0.651838110314837,55
