QSSI_RANK,country,QSSI_SCORE,QSSI_TIER,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX
1,Denmark,0.9675112696355241,Platinum,1.0,A,0.9129101593157498,0.9584398153347,0.9027187765505524,0.7176088170442433
2,Republic of Korea,0.9333362736572122,Platinum,0.25,D,0.9183507486626918,0.9237964433958976,0.876683299097162,0.6550812476968273
3,Norway,0.9282912233058533,Platinum,1.0,A,0.890230870661846,0.9247920136946012,0.796516567544605,0.7233035359814183
4,Singapore,0.9224904660748425,Platinum,1.0,A,0.8926495831531893,0.9467529926189896,0.8584324553950722,0.6450186156262884
5,United Kingdom of Great Britain and Northern Ireland,0.9102055040631417,Platinum,0.25,D,0.9240477396822298,0.8930701923746656,0.8818428894553321,0.6013594754184688
6,Netherlands,0.9091247509897454,Platinum,0.75,B,0.9102167307466248,0.905486435430314,0.8230671197960918,0.6422474180084509
7,Ireland,0.8870826028713114,Platinum,1.0,A,0.8259901416078436,0.875736521594103,0.7787807986406118,0.7233035359814183
8,Australia,0.8861420356033753,Platinum,1.0,A,0.906168036193777,0.8913983025818323,0.884983007646559,0.5490572416395311
9,Germany,0.8803323286980798,Platinum,1.0,A,0.89455549229934,0.8678682433117846,0.9203483432455396,0.5402794163871945
10,Luxembourg,0.8692613590182156,Platinum,1.0,A,0.762188958278292,0.937967768108498,0.7787807986406118,0.6912954714143279
11,Finland,0.8519107261821574,Gold,1.0,A,0.8135522384731969,0.9584398153347,0.9734494477485132,0.43820065135753
12,Canada,0.8475741605719231,Gold,1.0,A,0.8640010094156945,0.8537832796331456,0.9823704333050128,0.4474138939284242
13,Estonia,0.8468442129321457,Gold,0.75,B,0.8512163435893891,0.8336284625831961,0.9823704333050128,0.475594875649424
14,Sweden,0.8369949390169176,Gold,1.0,A,0.807195928866983,0.908237582907886,0.7610450297366185,0.5811283859477431
15,France,0.8330898230228764,Gold,1.0,A,0.947399817300537,0.7571854095710073,0.9027187765505524,0.441822938333823
16,United States of America,0.8330898230228764,Gold,0.25,D,0.947399817300537,0.7571854095710073,0.9027187765505524,0.441822938333823
17,Japan,0.8210516481167399,Gold,1.0,A,0.8297091768673535,0.8575007215242297,0.8318819031435853,0.5028744758535763
18,Switzerland,0.8103037095142867,Gold,1.0,A,0.7265760665428697,0.922336409910996,0.796516567544605,0.556696497294005
19,United Arab Emirates,0.8076381340072227,Gold,1.0,A,0.7817914268610413,0.7280314666812258,0.840696686491079,0.6142531708339929
20,Taiwan,0.8007265317092781,Gold,0.25,D,0.7590376695795309,0.8272813817603069,0.819514513272701,0.5533431744083802
21,Belgium,0.80028890540535,Gold,1.0,A,0.7715866701521545,0.7950749198037986,0.955819881053526,0.4741843546733551
22,Austria,0.7985233446339347,Gold,1.0,A,0.8154764620245336,0.8328247550093182,0.8584324553950722,0.4541127096524097
23,Lithuania,0.7973146527600518,Gold,0.75,B,0.774994360523512,0.7764022725384304,0.9646346644010196,0.4707464799936863
24,Spain,0.7943751344364643,Gold,1.0,A,0.8851748838237983,0.6889226499688639,0.9027187765505524,0.4507107159205246
25,Poland,0.7708366380716357,Gold,0.75,B,0.8372766592295362,0.651838110314837,0.9380841121495328,0.4404477128866552
26,Iceland,0.768916725836566,Gold,1.0,A,0.7126327491624229,0.8667066751187339,0.7875955819881053,0.4998310502301324
27,Czechia,0.767921617850964,Gold,0.5,C,0.7541098835777815,0.7569119935642942,0.9107676570051112,0.4577936282987154
28,Israel,0.755298709263204,Gold,0.75,B,0.8330814494352046,0.7102983445158382,0.907648260705248,0.3721529253472198
29,Saudi Arabia,0.748378264315744,Gold,1.0,A,0.8473691074935811,0.6354236916438878,0.7875955819881053,0.4748710573334173
30,Slovenia,0.7375401382142214,Gold,0.75,B,0.7389614484756891,0.6988159302417848,0.9027187765505524,0.4363292326136916
31,Italy,0.7373427020582872,Gold,1.0,A,0.7930010538413984,0.6444358429294295,0.8937977909940527,0.4252730928791866
32,New Zealand,0.7321828670197931,Gold,1.0,A,0.7427354269507555,0.9170317897565512,0.6460280373831776,0.4102926180501374
33,Portugal,0.7286671425532509,Gold,1.0,A,0.7673731459526376,0.7015072825442665,0.8496176720475787,0.4112874191223301
34,Cyprus,0.7086460938026848,Gold,1.0,A,0.6912733086887354,0.6576950523475349,0.8672472387425658,0.4598269958805703
35,India,0.6996441310166055,Gold,1.0,A,0.7804532642756392,0.4908191446875781,0.7610450297366185,0.5379361059928162
36,Greece,0.6903429335436105,Gold,1.0,A,0.713970911747825,0.5675206587019025,0.8584324553950722,0.4584474136236569
37,Latvia,0.689215530491084,Gold,0.75,B,0.6839439135939636,0.7128040076102724,0.8672472387425658,0.3661012152998907
38,China,0.6793393104184358,Gold,0.75,B,0.8760530990345821,0.5099983935756449,0.6903143585386576,0.4028134361212486
39,Hungary,0.6651660760584462,Gold,1.0,A,0.7380445172095522,0.555070976174037,0.9468988954970264,0.3087459909887522
40,Chile,0.665091965653459,Silver,1.0,A,0.6894589715685118,0.698529211303743,0.8584324553950722,0.3056448142298205
41,Uruguay,0.6523571552104932,Silver,1.0,A,0.6743093254595549,0.7147129937076987,0.8141461342395921,0.3008470431696006
42,Romania,0.6467909714960554,Silver,1.0,A,0.6618152681024874,0.5630706906556661,0.9380841121495328,0.3381785657104029
43,Malta,0.6432656268529815,Silver,1.0,A,0.7284453468786497,0.6159298724988426,0.5751911639762107,0.4503893289071978
44,Jordan,0.6427334705910118,Silver,1.0,A,0.6523785054045246,0.5474503285051612,0.9468988954970264,0.3433287020041328
45,Malaysia,0.6417114580107102,Silver,1.0,A,0.694076623688973,0.6343759533959803,0.7256796941376381,0.3700095659368269
46,Serbia,0.6253921763450796,Silver,0.75,B,0.733904250630777,0.4595242202315567,0.8141461342395921,0.3593533707365106
47,Egypt,0.6194481038135639,Silver,0.5,C,0.7068441861169577,0.5862050145616416,0.6460280373831776,0.3808603910891888
48,Oman,0.6109868197574273,Silver,1.0,A,0.6513333733020896,0.6219728920815022,0.5751911639762107,0.435304029798536
49,Qatar,0.6095159390545777,Silver,1.0,A,0.6568301168714523,0.6930377838391899,0.3893372982158029,0.4902462445082824
50,Bahrain,0.6066134711157679,Silver,0.75,B,0.6466986177833073,0.6083831998322443,0.6017417162276976,0.4208806272827415
51,Liechtenstein,0.5884886884064999,Silver,0.5,C,0.3973887009210851,0.883351736046467,0.6607462132644133,0.3843256359192592
52,Brazil,0.5818359702041854,Silver,1.0,A,0.8309191386164575,0.4130226744470213,0.7168649107901445,0.2238163084764187
53,Bulgaria,0.5800366164635414,Silver,1.0,A,0.6442237510695432,0.4970729169664213,0.8141461342395921,0.2941393556945477
54,Rwanda,0.5783854176242116,Silver,1.0,A,0.5764678672268,0.5707738424204216,0.6460280373831776,0.4160237011195762
55,Croatia,0.5740443680359222,Silver,0.75,B,0.535914930118766,0.5810184233716522,0.8318819031435853,0.3175215899087967
56,Andorra,0.5738321825306107,Silver,0.5,C,0.4134003350806227,0.7753004172964071,0.6442899299938356,0.4205546047623522
57,Slovakia,0.5723410234841839,Silver,0.5,C,0.5020638543017402,0.4165408269709136,0.9380841121495328,0.4119848158582564
58,Mauritius,0.5709206527247461,Silver,1.0,A,0.5849327554430694,0.6498424329697279,0.5486406117247239,0.3852061364022879
59,Kazakhstan,0.5698505441930789,Silver,0.75,B,0.6431786189671082,0.477791166390182,0.7699660152931181,0.3096283570066364
60,Thailand,0.5680759183096611,Silver,1.0,A,0.7226189440159491,0.4707354303628075,0.5486406117247239,0.3676399120567997
61,Ukraine,0.5593559989497466,Silver,1.0,A,0.7157303056524923,0.3602563960267648,0.8937977909940527,0.2106964565756289
62,Argentina,0.5553201442839334,Silver,1.0,A,0.7006343917522271,0.4557897315810742,0.5751911639762107,0.3486768488372286
63,Brunei Darussalam,0.5525633069485464,Silver,0.75,B,0.4113295962878027,0.6961439584307305,0.5395053886175302,0.4922194845494351
64,Monaco,0.5461785135448523,Silver,0.5,C,0.3630602395623732,0.8397839801049591,0.5858467705974792,0.3811148086830341
65,Philippines,0.5440346965193992,Silver,1.0,A,0.7182405901697629,0.438949807293756,0.5486406117247239,0.3266419423350331
66,Sri Lanka,0.543821221893437,Silver,0.5,C,0.5075972266814739,0.4224388172360691,0.8369103885254695,0.3831080152572754
67,Indonesia,0.5356212374360702,Silver,1.0,A,0.6857033074986308,0.4672230367361789,0.4601741716227697,0.3733595901203665
68,Zambia,0.5346029217851107,Silver,0.75,B,0.4928847042832384,0.3785506754166776,0.7901761123531975,0.4380475743788147
69,Russian Federation,0.5307298929617672,Silver,0.75,B,0.6604954199222706,0.2914157776347408,0.592746599812476,0.4404920315660318
70,Peru,0.5297610053596593,Silver,1.0,A,0.6705341359776238,0.4155681176337643,0.681393372982158,0.2685364944856179
71,Albania,0.5268729739460356,Silver,1.0,A,0.4463222202606491,0.4876508458624123,0.955819881053526,0.2701885519067149
72,Azerbaijan,0.5265615817773337,Silver,0.75,B,0.5773847984929369,0.4373378402041625,0.7610450297366185,0.2924742011307767
73,Bhutan,0.5258195863798749,Silver,1.0,A,0.3877174839763055,0.6515967997708036,0.5044604927782498,0.4978538531478085
74,Viet Nam,0.5257688459444916,Silver,0.5,C,0.6580034498101853,0.4389350895634804,0.653101138348785,0.2704846192420818
75,Georgia,0.5228392854678167,Silver,1.0,A,0.4260787474964091,0.5884643755050036,0.637213254035684,0.4096519846418876
76,Republic of Moldova,0.5191559387659814,Silver,0.25,D,0.5928091606796755,0.4837633977746219,0.598289078286859,0.3233378088130827
77,Iran (Islamic Republic of),0.5178327395611362,Silver,0.25,D,0.5408427161205154,0.526401738309983,0.6523143827767136,0.3072934820839419
78,Kuwait,0.5128044998515102,Silver,1.0,A,0.4451672017271014,0.5619613041168726,0.3539719626168224,0.5664796184894159
79,Dominican Republic,0.5126702993314083,Bronze,1.0,A,0.49687845562053,0.4837470816098899,0.7787807986406118,0.2916710080424913
80,Türkiye,0.511667612293476,Bronze,0.5,C,0.6721103858304366,0.3942686577959002,0.6518347634554611,0.2496399539858883
81,Benin,0.5093724820179744,Bronze,1.0,A,0.4745324592805576,0.4278812747746087,0.5841121495327103,0.4796786347655915
82,Montenegro,0.5080848342078924,Bronze,1.0,A,0.4093138007105392,0.5286793346803573,0.7875955819881053,0.3333746476230859
83,Ghana,0.501533000257028,Bronze,1.0,A,0.5177079893507044,0.4831825899719507,0.6282922684791844,0.3350681388628944
84,Colombia,0.5011577004054464,Bronze,0.75,B,0.6453604551979052,0.4377352101445263,0.6541762347296401,0.2117285367743431
85,Bangladesh,0.4984397901854976,Bronze,1.0,A,0.5512465092727128,0.2813061278746889,0.6637638062871708,0.4272125185465458
86,San Marino,0.49301065513500547,Bronze,0.5,C,0.3385482993830599,0.7315062845905829,0.5259708395098438,0.3767910414534623
87,United Republic of Tanzania,0.4854324142051015,Bronze,0.25,D,0.4235684629791386,0.5002668069016047,0.6409384645009437,0.3697029118579248
88,South Africa,0.48194597550633744,Bronze,0.75,B,0.5727305175621046,0.4668883332338004,0.5044604927782498,0.3105128330477938
89,Uzbekistan,0.4792116715304738,Bronze,0.75,B,0.6344231222816007,0.3713456332124479,0.5398258283772303,0.287282395255344
90,Costa Rica,0.4777087825916891,Bronze,1.0,A,0.5350895708785564,0.6196565913730386,0.4689889549702634,0.2405479830122125
91,North Macedonia,0.4600058248788774,Bronze,0.75,B,0.3794552652239404,0.4750930531211059,0.8496176720475787,0.2259479988698936
92,Ethiopia,0.4590409868498292,Bronze,0.75,B,0.4576270522875272,0.3197001893962491,0.5929269328802039,0.4300185938850485
93,Morocco,0.4531584835291079,Bronze,1.0,A,0.4340845645761779,0.4499010939512184,0.796516567544605,0.2001909856827422
94,Kenya,0.4447328292632279,Bronze,1.0,A,0.6230120368442038,0.3828781232875737,0.4955395072217502,0.2175382202561744
95,Tunisia,0.4386877272480286,Bronze,1.0,A,0.4144454671830577,0.4221027110740237,0.796516567544605,0.2013285318234645
96,Nigeria,0.436667442656433,Bronze,1.0,A,0.5835579640472963,0.2750575090100442,0.5751911639762107,0.2713867808869889
