country,MEDIAN_RANK,KNN_RANK,RANK_SHIFT
Denmark,1,1,0
Norway,2,3,1
Singapore,3,4,1
Ireland,4,7,3
Australia,5,8,3
Germany,6,9,3
Luxembourg,7,10,3
Finland,8,11,3
Canada,9,12,3
Sweden,10,14,4
France,11,15,4
Japan,12,17,5
Netherlands,13,6,7
Switzerland,14,18,4
United Arab Emirates,15,19,4
Estonia,16,13,3
Belgium,17,21,4
Austria,18,22,4
Spain,19,24,5
Iceland,20,26,6
Lithuania,21,23,2
Saudi Arabia,22,29,7
Poland,23,25,2
Italy,24,31,7
New Zealand,25,32,7
Portugal,26,33,7
Slovenia,27,30,3
Cyprus,28,34,6
India,29,35,6
Israel,30,28,2
Greece,31,36,5
Latvia,32,37,5
Czechia,33,27,6
Hungary,34,39,5
Chile,35,40,5
China,36,38,2
United States of America,37,16,21
United Kingdom of Great Britain and Northern Ireland,38,5,33
Uruguay,39,41,2
Republic of Korea,40,2,38
Romania,41,42,1
Malta,42,43,1
Jordan,43,44,1
Malaysia,44,45,1
Serbia,45,46,1
Oman,46,48,2
Qatar,47,49,2
Taiwan,48,20,28
Croatia,49,55,6
Kazakhstan,50,59,9
Bahrain,51,50,1
Brazil,52,52,0
Bulgaria,53,53,0
Rwanda,54,54,0
Egypt,55,47,8
Mauritius,56,58,2
Brunei Darussalam,57,63,6
Liechtenstein,58,51,7
Thailand,59,60,1
Slovakia,60,57,3
Ukraine,61,61,0
Argentina,62,62,0
Azerbaijan,63,72,9
Viet Nam,64,74,10
Andorra,65,56,9
Philippines,66,65,1
Monaco,67,64,3
Türkiye,68,80,12
Russian Federation,69,69,0
Indonesia,70,67,3
Peru,71,70,1
Republic of Moldova,72,76,4
Albania,73,71,2
Bhutan,74,73,1
Georgia,75,75,0
Kuwait,76,78,2
Dominican Republic,77,79,2
Benin,78,81,3
Iran (Islamic Republic of),79,77,2
Montenegro,80,82,2
San Marino,81,86,5
North Macedonia,82,91,9
Uzbekistan,83,89,6
Ghana,84,83,1
Bangladesh,85,85,0
South Africa,86,88,2
Zambia,87,68,19
Colombia,88,84,4
Sri Lanka,89,66,23
Costa Rica,90,90,0
Côte D'Ivoire,91,99,8
United Republic of Tanzania,92,87,5
Nepal,93,101,8
Morocco,94,93,1
Seychelles,95,110,15
Kenya,96,94,2
Tunisia,97,95,2
Nigeria,98,96,2
Mongolia,99,97,2
Ethiopia,100,92,8
El Salvador,101,105,4
Panama,102,98,4
Botswana,103,100,3
Jamaica,104,102,2
Cabo Verde,105,106,1
State of Palestine,106,135,29
Tuvalu,107,121,14
Senegal,108,103,5
Namibia,109,104,5
Kyrgyzstan,110,112,2
Guyana,111,123,12
Fiji,112,108,4
Bahamas,113,153,40
Palau,114,137,23
Kiribati,115,130,15
Ecuador,116,107,9
Armenia,117,109,8
Barbados,118,124,6
Solomon Islands,119,133,14
Bolivia (Plurinational State of),120,141,21
Democratic Republic of the Congo,121,128,7
Lesotho,122,132,10
Vanuatu,123,118,5
"Venezuela, Bolivarian Republic of",124,125,1
Saint Lucia,125,127,2
Togo,126,119,7
Gambia (Republic of The),127,138,11
Cuba,128,136,8
Paraguay,129,116,13
Samoa,130,134,4
Grenada,131,139,8
Tonga,132,142,10
Mexico,133,111,22
Lao People's Democratic Republic,134,155,21
Trinidad and Tobago,135,114,21
Belarus,136,147,11
Saint Vincent and the Grenadines,137,171,34
Algeria,138,113,25
Dominica,139,143,4
Micronesia (Federated States of),140,173,33
Saint Kitts and Nevis,141,170,29
Antigua and Barbuda,142,115,27
Gabon,143,146,3
Belize,144,148,4
Pakistan,145,117,28
Marshall Islands,146,144,2
Democratic People's Republic of Korea,147,161,14
Papua New Guinea,148,152,4
Sao Tome and Principe,149,178,29
Maldives,150,120,30
Cameroon,151,151,0
Uganda,152,122,30
Somalia,153,165,12
Bosnia and Herzegovina,154,126,28
Sierra Leone,155,162,7
Yemen,156,191,35
Burkina Faso,157,129,28
Guinea Bissau,158,195,37
Malawi,159,163,4
Cambodia,160,131,29
Timor-Leste,161,174,13
Niger,162,167,5
Djibouti,163,169,6
Comoros,164,179,15
Eswatini,165,150,15
Lebanon,166,160,6
Tajikistan,167,158,9
Congo,168,140,28
Angola,169,149,20
Mauritania,170,156,14
Syrian Arab Republic,171,184,13
Suriname,172,182,10
Nauru,173,145,28
Equatorial Guinea,174,183,9
Mozambique,175,159,16
Guatemala,176,154,22
Afghanistan,177,193,16
Chad,178,157,21
Central African Republic,179,187,8
Myanmar,180,164,16
Turkmenistan,181,186,5
Eritrea,182,189,7
Nicaragua,183,166,17
Honduras,184,168,16
South Sudan,185,190,5
Libya,186,172,14
Iraq,187,175,12
Guinea,188,176,12
Zimbabwe,189,177,12
Madagascar,190,180,10
Sudan,191,192,1
Mali,192,181,11
Burundi,193,185,8
Liberia,194,188,6
Haiti,195,194,1
