country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA,QSSI_KNN_SCORE,KNN_RANK,QSSI_TIER,QSSI_RANK,QSSI_NO_RES,QSSI_NO_RES_RANK,ORIGINAL_TIER,LODO_TIER,TIER_CHANGED
Denmark,0.9129101593157498,0.9584398153347,0.9027187765505524,0.7176088170442433,True,True,True,True,False,False,False,False,4,1.0,A,0.9633631080517558,1.0,0.9181847932802444,0.990063450475872,0.970819833203812,0.9654545773384228,0.9662593983643376,0.967511269635524,1.0,1.0,1.0,0.9675112696355244,1,Platinum,1,0.9621136437244769,1.0,Tier 1,Tier 1,False
Republic of Korea,0.9183507486626918,0.9237964433958976,0.876683299097162,0.6550812476968273,True,False,False,False,False,True,True,True,1,0.25,D,0.9691424139563434,0.9608126600313072,0.8914421233008484,0.8809609124404899,0.6604606811129263,0.6276465837035354,0.6633805958379797,0.9333362736572122,37.0,44.0,42.0,0.9333362736572122,2,Platinum,2,0.9458717623004241,2.0,Tier 1,Tier 1,False
Norway,0.890230870661846,0.9247920136946012,0.796516567544605,0.7233035359814183,True,True,True,True,False,False,False,False,4,1.0,A,0.9392718674763172,0.9619388134504068,0.8090978509872369,1.0,0.9376218543698792,0.924264183497004,0.9229876320506772,0.9282912233058532,2.0,2.0,3.0,0.9282912233058532,3,Platinum,3,0.9111284861908092,11.0,Tier 1,Tier 1,False
Singapore,0.8926495831531893,0.9467529926189896,0.8584324553950722,0.6450186156262884,True,True,True,True,False,False,False,False,4,1.0,A,0.9418411625455316,0.9867802852527344,0.8726955383440601,0.8634029182681577,0.9251434721613582,0.9150694427725078,0.927258483290662,0.9224904660748424,3.0,3.0,2.0,0.9224904660748424,4,Platinum,4,0.9366324455720543,4.0,Tier 1,Tier 1,False
United Kingdom of Great Britain and Northern Ireland,0.9240477396822298,0.8930701923746656,0.8818428894553321,0.6013594754184688,True,False,False,False,False,True,True,True,1,0.25,D,0.975194084416659,0.9260562267701504,0.8967418617989971,0.7872233537204025,0.6628545975069465,0.6294625639386473,0.6655602145808119,0.9102055040631416,36.0,43.0,40.0,0.9102055040631416,5,Platinum,5,0.9396399807545783,3.0,Tier 1,Tier 1,False
Netherlands,0.9102167307466248,0.905486435430314,0.8230671197960918,0.6422474180084509,True,True,True,False,False,False,False,True,3,0.75,B,0.9605019938156892,0.9401010356477368,0.8363695865604887,0.8585675361053906,0.8075358499584439,0.7838827933686944,0.8447480047000185,0.9091247509897454,13.0,19.0,11.0,0.9091247509897452,6,Platinum,6,0.9212250855419568,9.0,Tier 1,Tier 1,False
Ireland,0.8259901416078436,0.875736521594103,0.7787807986406118,0.7233035359814183,True,True,True,True,False,False,False,False,4,1.0,A,0.8710316822571409,0.9064489999972132,0.7908803316243046,1.0,0.8946583595693951,0.8874897291234847,0.8790997199210545,0.8870826028713114,4.0,4.0,7.0,0.8870826028713114,7,Platinum,7,0.8600570183895038,16.0,Tier 1,Tier 1,False
Australia,0.906168036193777,0.8913983025818323,0.884983007646559,0.5490572416395311,True,True,True,True,False,False,False,False,4,1.0,A,0.9562012383564856,0.924165044993224,0.899967273917312,0.6959627064610057,0.8844071981221937,0.8746012470187162,0.8994176616692162,0.8861420356033753,5.0,5.0,4.0,0.8861420356033753,8,Platinum,8,0.9316594461807114,6.0,Tier 1,Tier 1,False
Germany,0.89455549229934,0.8678682433117846,0.9203483432455396,0.5402794163871945,True,True,True,True,False,False,False,False,4,1.0,A,0.943865728503289,0.8975486857736967,0.9362932257008836,0.6806465343555476,0.87551976953059,0.8712362812975202,0.8942409352661295,0.8803323286980798,6.0,6.0,5.0,0.8803323286980798,9,Platinum,9,0.9281250111548903,7.0,Tier 1,Tier 1,False
Luxembourg,0.762188958278292,0.937967768108498,0.7787807986406118,0.6912954714143279,True,True,True,True,False,False,False,False,4,1.0,A,0.8032584077049283,0.9768427543391134,0.7908803316243046,0.9441500586330682,0.8726350051183914,0.8688795895473413,0.8662694823889139,0.8692613590182156,7.0,7.0,9.0,0.8692613590182156,10,Platinum,10,0.8513375409915981,21.0,Tier 1,Tier 1,False
