country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE
Afghanistan,0.0610516005380055,0.102615014056443,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.058470111232444,0.0319216760835472,0.622668266608487,0.3559270285438891,0.202323144563048,0.26841004521605594,0.223659432815529,0.23146420753154429
Albania,0.4463222202606491,0.4876508458624123,0.955819881053526,0.2701885519067149,True,True,True,True,False,False,False,False,4,1.0,A,0.4677266504488516,0.46746040100221,0.972728264426748,0.2093728366484972,0.49007752557378575,0.5389446882811303,0.5515967079831909,0.5268729739460356
Algeria,0.4499496834942319,0.3585966585677635,0.3451571792693288,0.2755542924048365,True,True,True,True,False,False,False,False,4,1.0,A,0.4715799498522154,0.3214789324306031,0.3454783462419549,0.2187353612579475,0.36260938588527714,0.34894013752033354,0.3673976998262071,0.3596490744106059
Andorra,0.4134003350806227,0.7753004172964071,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.4327551366517261,0.7928392806200825,0.622668266608487,0.3559270285438891,0.5309931842461398,0.5393225949694407,0.5645944768872516,0.5449700853676107
Angola,0.2274411567617198,0.2977401710398435,0.2920560747663551,0.3009719446820423,True,True,True,True,False,False,False,False,4,1.0,A,0.2352186366997987,0.2526402561530779,0.290934875095451,0.2630858838080228,0.2538602137168416,0.25977903708733474,0.25675906931690623,0.2567994400403608
Antigua and Barbuda,0.2048522291268782,0.6072894192836624,0.1503823279524214,0.4546139035781736,True,True,True,True,False,False,False,False,4,1.0,A,0.2112233827790601,0.6027912648196778,0.145412894076579,0.5311712714097483,0.362356425974792,0.3499033329393443,0.34475045966398365,0.35233673952603994
Argentina,0.7006343917522271,0.4557897315810742,0.5751911639762107,0.3486768488372286,True,True,True,True,False,False,False,False,4,1.0,A,0.737871618316319,0.4314202511192903,0.5817606632486091,0.3463247842544314,0.5575720688986355,0.5427016441170744,0.5656867198360906,0.5553201442839335
Armenia,0.3862511205546053,0.4808759404353455,0.362786745964316,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.4039156845612435,0.4597968709423994,0.363586778662594,0.3559270285438891,0.40074126954547235,0.39396625382658834,0.4031476673470805,0.39928506357304705
Australia,0.906168036193777,0.8913983025818323,0.884983007646559,0.5490572416395311,True,True,True,True,False,False,False,False,4,1.0,A,0.9562012383564856,0.924165044993224,0.899967273917312,0.6959627064610057,0.8844071981221937,0.8746012470187162,0.8994176616692162,0.8861420356033755
Austria,0.8154764620245336,0.8328247550093182,0.8584324553950722,0.4541127096524097,True,True,True,True,False,False,False,False,4,1.0,A,0.8598634490713527,0.8579087485232602,0.8726955383440601,0.5302967526987307,0.791018155813936,0.7864016896252962,0.818150188462572,0.7985233446339348
Azerbaijan,0.5773847984929369,0.4373378402041625,0.7610450297366185,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.6069488346546963,0.4105481333089987,0.7726628122613722,0.3559270285438891,0.5321984881957745,0.5508692032323024,0.5589954688886579,0.5473543867722449
Bahamas,0.2715555655237825,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.2820794906951979,0.4443531958935565,0.622668266608487,0.3559270285438891,0.38867271669813264,0.4214733135127204,0.41592243781941296,0.408689489343422
Bahrain,0.6466986177833073,0.6083831998322443,0.6017417162276976,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.6805779471550732,0.6040285101514584,0.609032398821861,0.3559270285438891,0.58211650153458,0.570793995524568,0.5995021741251335,0.5841375570614272
Bangladesh,0.5512465092727128,0.2813061278746889,0.6637638062871708,0.4272125185465458,True,True,True,True,False,False,False,False,4,1.0,A,0.5791832453787545,0.2340506558765595,0.6727391731209774,0.4833593912449411,0.49117704413618235,0.5093350571785956,0.49480726924171503,0.4984397901854976
Barbados,0.1717337295172703,0.6669772305511315,0.615016992353441,0.2728533184678624,True,True,False,True,False,False,True,False,3,0.75,B,0.176043013863243,0.67030797642204,0.622668266608487,0.214022510354469,0.37006704655201517,0.40385890256572776,0.41991137762995434,0.3979457755825658
Belarus,0.2819800950948946,0.273840813735871,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.2931530236272022,0.2256061602412118,0.622668266608487,0.3559270285438891,0.3411316187153628,0.3792029909796325,0.3606530810707813,0.36032923025525887
Belgium,0.7715866701521545,0.7950749198037986,0.955819881053526,0.4741843546733551,True,True,True,True,False,False,False,False,4,1.0,A,0.8132411960131016,0.8152074887101552,0.972728264426748,0.5653191825994204,0.7852803261736071,0.7976082982609877,0.8179780917814555,0.8002889054053501
Belize,0.1586499781736748,0.4261964513288163,0.615016992353441,0.3316058894347962,True,True,False,True,False,False,True,False,3,0.75,B,0.1621447031155854,0.3979453937617958,0.622668266608487,0.3165381634575154,0.32180537711563295,0.3666810902854436,0.35487175563223267,0.3477860743444364
Benin,0.4745324592805576,0.4278812747746087,0.5841121495327103,0.4796786347655915,True,True,True,True,False,False,False,False,4,1.0,A,0.4976931835835786,0.3998512056231274,0.5909239664012217,0.5749059922099085,0.505271622392039,0.5194095703687885,0.5034362532930955,0.5093724820179744
Bhutan,0.3877174839763055,0.6515967997708036,0.5044604927782498,0.4978538531478085,True,True,True,True,False,False,False,False,4,1.0,A,0.4054733398520378,0.6529101846909592,0.5091087596814661,0.6066194023990916,0.5230607600077919,0.5305833599201636,0.5238146392116695,0.5258195863798749
Bolivia (Plurinational State of),0.225132330701489,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.2327660692973247,0.4443531958935565,0.622668266608487,0.3559270285438891,0.3691653412216035,0.40667538306169415,0.398161315785947,0.3913340133564149
Bosnia and Herzegovina,0.3354885827102261,0.3881540341765276,0.3717077315208156,0.2549432841158808,True,True,True,True,False,False,False,False,4,1.0,A,0.3499928067280248,0.3549131757429771,0.3727500818152067,0.1827718120705635,0.3189595689072202,0.3181701933999199,0.33424433909920953,0.32379136713544987
Botswana,0.3540654446025904,0.5953814693423877,0.477909940526763,0.3168220363280914,True,True,True,True,False,False,False,False,4,1.0,A,0.3697262144118066,0.5893214188848412,0.4818370241082143,0.2907422479482807,0.42220787936342297,0.4263058299063321,0.4449482915599245,0.43115400027655987
Brazil,0.8309191386164575,0.4130226744470213,0.7168649107901445,0.2238163084764187,True,True,True,True,False,False,False,False,4,1.0,A,0.8762675454511877,0.3830436897864854,0.7272826442674811,0.1284592571595965,0.576679646002042,0.5614451609635013,0.6073831036470132,0.5818359702041854
Brunei Darussalam,0.4113295962878027,0.6961439584307305,0.615016992353441,0.4922194845494351,True,True,False,True,False,False,True,False,3,0.75,B,0.4305554791938572,0.7033003330324546,0.622668266608487,0.5967881564267131,0.5602865395266816,0.5758268011985326,0.5718475726367138,0.5693203044539761
Bulgaria,0.6442237510695432,0.4970729169664213,0.8141461342395921,0.2941393556945477,True,True,True,True,False,False,False,False,4,1.0,A,0.6779490018515717,0.4781183099440484,0.8272062834078759,0.2511638979117476,0.5623368880545871,0.5761420389267363,0.6016309224093009,0.5800366164635414
Burkina Faso,0.2873107980107238,0.3457137059670255,0.2477697536108751,0.3964978220282902,True,True,True,True,False,False,False,False,4,1.0,A,0.2988156018650487,0.3069061984525858,0.2454456201592669,0.4297662101873331,0.3204926192775459,0.3169928518008671,0.3060358281324323,0.31450709973694846
Burundi,0.0909125580383334,0.2267693547307254,0.0088147833474936,0.2993663040932398,True,True,True,True,False,False,False,False,4,1.0,A,0.0901901321701168,0.1723606138747804,0.0,0.2602842482216841,0.13215128535570314,0.123317852657425,0.11408125753064541,0.12318346518125783
Cabo Verde,0.3131951075720809,0.5983001913788477,0.615016992353441,0.2561043729188966,True,True,False,True,False,False,True,False,3,0.75,B,0.3263113993870952,0.5926229725822966,0.622668266608487,0.1847977621693053,0.40483232624717874,0.4259857815552862,0.4490694709247082,0.4266291929090577
Cambodia,0.3249565887217305,0.3055012264081449,0.2124044180118946,0.3840682768923968,True,True,True,True,False,False,False,False,4,1.0,A,0.338805118931113,0.2614192836614489,0.2091196683756954,0.4080782582150348,0.31530581928412627,0.3050509669886305,0.2966776602782753,0.305678148850344
Cameroon,0.3436592294366638,0.2599941544673645,0.615016992353441,0.2200696394748562,True,True,False,True,False,False,True,False,3,0.75,B,0.3586721360909258,0.209943315840726,0.622668266608487,0.1219218033369835,0.31337907625226613,0.3413615753195586,0.3486263149101833,0.3344556554940027
Canada,0.8640010094156945,0.8537832796331456,0.9823704333050128,0.4474138939284242,True,True,True,True,False,False,False,False,4,1.0,A,0.9114090051447578,0.8816162799704584,1.0,0.5186081838810729,0.8340936062231977,0.8371640499747303,0.8714648255178414,0.8475741605719231
Central African Republic,0.0205523956386631,0.1518859585218665,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.0154495340338684,0.0876552015254672,0.622668266608487,0.3559270285438891,0.19853393820071552,0.26711695764444304,0.22326278000725747,0.22963789195080533
Chad,0.1065065938991995,0.2007546910387879,0.2212192013593882,0.4842051068569534,True,True,True,True,False,False,False,False,4,1.0,A,0.1067550110426064,0.1429337592352257,0.2181738845860149,0.5828041017745066,0.2340771693794999,0.2535711765696129,0.20656145406093962,0.23140326667001748
Chile,0.6894589715685118,0.698529211303743,0.8584324553950722,0.3056448142298205,True,True,True,True,False,False,False,False,4,1.0,A,0.7260004463282524,0.7059984455433026,0.8726955383440601,0.2712394380384483,0.6467067567575491,0.6545253379892519,0.6940438022135759,0.665091965653459
China,0.8760530990345821,0.5099983935756449,0.6903143585386576,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.9242114256649178,0.4927391455554836,0.7000109086942292,0.3559270285438891,0.666051010641066,0.6443355561869886,0.6784677600134721,0.6629514422805088
Colombia,0.6453604551979052,0.4377352101445263,0.615016992353441,0.2117285367743431,True,True,False,True,False,False,True,False,3,0.75,B,0.6791564741421433,0.4109976239351965,0.622668266608487,0.107367655716381,0.48477126548474947,0.47606446655819507,0.516567548337352,0.49246776012676546
Comoros,0.131274935751109,0.2179697149691569,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.1330653636870379,0.1624067769460956,0.622668266608487,0.3559270285438891,0.2628032950171425,0.31799142537230873,0.2858741521506924,0.2888896241800479
Congo,0.1002223309068626,0.4672230367361789,0.2300339847068818,0.354179974671984,True,False,True,False,False,True,False,True,2,0.5,C,0.1000795066254229,0.4443531958935565,0.2272281007963345,0.3559270285438891,0.255940529117328,0.2641584998983395,0.25751092816214366,0.2592033190592704
Costa Rica,0.5350895708785564,0.6196565913730386,0.4689889549702634,0.2405479830122125,True,True,True,True,False,False,False,False,4,1.0,A,0.562020419165104,0.6167805663799829,0.4726737209556016,0.1576538696559563,0.4749755384100291,0.4565055541481158,0.5016452552169225,0.47770878259168914
Croatia,0.535914930118766,0.5810184233716522,0.8318819031435853,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.5628971630665769,0.5730744563652733,0.8454238027708082,0.3559270285438891,0.5645251845746568,0.590422313345127,0.6042435961652266,0.5863970313616701
Cuba,0.277986343757603,0.3419236346590867,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.2889106320013692,0.3026190057072563,0.622668266608487,0.3559270285438891,0.3577331015694209,0.3939816596822973,0.379987576288619,0.37723411251344574
