country,QSSI_SCORE,QSSI_NO_RES,QSSI_RANK,QSSI_NO_RES_RANK,SCORE_CHANGE_RES,RANK_CHANGE_RES
Denmark,0.967511269635524,0.9621136437244769,1,1.0,0.005397625911047088,0.0
Republic of Korea,0.9333362736572122,0.9458717623004241,2,2.0,-0.012535488643211967,0.0
Norway,0.9282912233058532,0.9111284861908092,3,11.0,0.017162737115044013,8.0
Singapore,0.9224904660748424,0.9366324455720543,4,4.0,-0.014141979497211854,0.0
United Kingdom of Great Britain and Northern Ireland,0.9102055040631416,0.9396399807545783,5,3.0,-0.02943447669143673,-2.0
Netherlands,0.9091247509897454,0.9212250855419568,6,9.0,-0.012100334552211378,3.0
Ireland,0.8870826028713114,0.8600570183895038,7,16.0,0.027025584481807585,9.0
Australia,0.8861420356033753,0.9316594461807114,8,6.0,-0.04551741057733605,-2.0
Germany,0.8803323286980798,0.9281250111548903,9,7.0,-0.047792682456810565,-2.0
Luxembourg,0.8692613590182156,0.8513375409915981,10,21.0,0.017923818026617466,11.0
Finland,0.8519107261821574,0.9355307649497928,11,5.0,-0.08362003876763546,-6.0
Canada,0.8475741605719231,0.926308687055621,12,8.0,-0.07873452648369783,-4.0
Estonia,0.8468442129321457,0.913635194079318,13,10.0,-0.0667909811471723,-3.0
Sweden,0.8369949390169176,0.8573560761595309,14,18.0,-0.02036113714261334,4.0
France,0.8330898230228764,0.9106925512791466,15,12.0,-0.07760272825627024,-3.0
United States of America,0.8330898230228764,0.9106925512791466,16,12.0,-0.07760272825627024,-4.0
Japan,0.8210516481167399,0.8702770433393673,17,14.0,-0.049225395222627366,-3.0
Switzerland,0.8103037095142867,0.8344797405810338,18,23.0,-0.02417603106674715,5.0
United Arab Emirates,0.8076381340072227,0.8071395770647092,19,27.0,0.0004985569425135505,8.0
Taiwan,0.8007265317092781,0.8240107692089335,20,25.0,-0.023284237499655358,5.0
Belgium,0.80028890540535,0.8565264228812574,21,19.0,-0.05623751747590733,-2.0
Austria,0.7985233446339347,0.862720541920999,22,15.0,-0.0641971972870643,-7.0
Lithuania,0.7973146527600518,0.8542760271710919,23,20.0,-0.0569613744110401,-3.0
Spain,0.7943751344364643,0.8590002298653253,24,17.0,-0.06462509542886097,-7.0
Poland,0.7708366380716357,0.834114041766808,25,24.0,-0.06327740369517232,-1.0
Iceland,0.768916725836566,0.8069351633796947,26,28.0,-0.038018437543128725,2.0
Czechia,0.767921617850964,0.8232574035714412,27,26.0,-0.05533578572047715,-1.0
Israel,0.755298709263204,0.8433782972739013,28,22.0,-0.08807958801069737,-6.0
Saudi Arabia,0.748378264315744,0.7919047407030281,29,33.0,-0.04352647638728413,4.0
Slovenia,0.7375401382142214,0.7945683218013434,30,31.0,-0.05702818358712203,1.0
Italy,0.7373427020582872,0.7989408566466906,31,29.0,-0.06159815458840334,-2.0
New Zealand,0.7321828670197931,0.7988021616211983,32,30.0,-0.06661929460140525,-2.0
Portugal,0.7286671425532509,0.7940295404545016,33,32.0,-0.06536239790125065,-1.0
Cyprus,0.7086460938026848,0.7489457422548312,34,37.0,-0.0402996484521464,3.0
India,0.6996441310166055,0.7051696096546016,35,43.0,-0.0055254786379961285,8.0
Greece,0.6903429335436105,0.7268380503851456,36,40.0,-0.03649511684153506,4.0
Latvia,0.689215530491084,0.7640061020921521,37,34.0,-0.07479057160106817,-3.0
China,0.6793393104184358,0.7364344877846489,38,39.0,-0.05709517736621317,1.0
Hungary,0.6651660760584462,0.7581531473619701,39,36.0,-0.0929870713035239,-3.0
Chile,0.665091965653459,0.7593564016845358,40,35.0,-0.09426443603107681,-5.0
Uruguay,0.6523571552104932,0.7455772769506872,41,38.0,-0.093220121740194,-3.0
Romania,0.6467909714960554,0.723088630055464,42,41.0,-0.07629765855940862,-1.0
Malta,0.6432656268529815,0.6718584766731364,43,47.0,-0.028592849820154864,4.0
Jordan,0.6427334705910118,0.715909227861476,44,42.0,-0.07317575727046421,-2.0
Malaysia,0.6417114580107102,0.7035002410787956,45,44.0,-0.06178878306808544,-1.0
Serbia,0.6253921763450796,0.6877253138441627,46,46.0,-0.06233313749908309,0.0
Egypt,0.6194481038135639,0.6713769060519963,47,48.0,-0.05192880223843244,1.0
Oman,0.6109868197574273,0.6381539468507196,48,54.0,-0.027167127093292276,6.0
