country,AI_INDEX_2026_v1,LEGAL_WGI_2026_v1,PQC_NCSI_2026,RES_INDEX_2026,SCI_2026_v1,SCI_PLUS_2026_v1,SCI_ULTRA_2026_v1
Afghanistan,-0.35234873454261717,-0.3759051111694218,0.0,0.0,-0.3646080226797359,0.0,0.0
Albania,0.03292188518002642,0.009130720636547518,0.340802888700085,-0.08386692619445929,0.02042780912623343,-0.0015841494125828914,0.0
Algeria,0.03654934841360924,-0.11992346665810127,-0.26985981308411217,-0.07850118569633774,-0.10862637816841536,-0.13063833670723168,0.0
American Samoa,0.0,0.2130509925433673,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.2967802920705423,0.0,0.0,0.3080773805602282,0.0,0.0
"Andorra, Principality of",0.0,0.0,0.0,0.12954024130215397,0.0,0.0,0.0
Angola,-0.18595917831890288,-0.18077995418602127,-0.3229609175870859,-0.05308353341913191,-0.16948286569633536,-0.19149482423515168,0.0
Anguilla,0.0,0.23396108664146859,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,-0.20854810595374448,0.12876929405779763,-0.4646346644010196,0.10055842547699939,0.14006638254748355,0.11805442400866722,0.0
Argentina,0.2872340566716044,-0.02273039364479057,-0.039825828377230255,-0.005378629263945611,-0.011433305155104656,-0.03344526369392098,0.0
Armenia,-0.027149214526017373,0.002355815209480694,-0.252230246389125,0.0,0.013652903699166608,-0.008359054839649716,0.0
"Armenia, Republic of",0.0,0.0,0.0,-0.017959088150999836,0.0,0.0,0.0
Aruba,0.0,0.23241823772039188,0.0,0.0,0.0,0.0,0.0
Australia,0.49276770111315427,0.4128781773559675,0.26996601529311803,0.19500176353835685,0.4241752658456534,0.4021633073068371,0.0
Austria,0.4020761269439109,0.3543046297834534,0.2434154630416312,0.10005723155123547,0.3656017182731393,0.343589759734323,0.0
Azerbaijan,0.1639844634123142,-0.04118228502170229,0.1460280373831775,0.0,-0.029885196532016378,-0.0518971550708327,0.0
"Azerbaijan, Republic of",0.0,0.0,0.0,0.03446617630451959,0.0,0.0,0.0
Bahamas,-0.14184476955684017,0.0,0.0,0.0,0.0,0.0,0.0
"Bahamas, The",0.0,0.13364077819925374,0.0,0.07566812715580828,0.0,0.0,0.0
Bahrain,0.2332982827026846,0.12986307460637952,-0.013275276125743418,0.0,0.14116016309606544,0.11914820455724912,0.0
"Bahrain, Kingdom of",0.0,0.0,0.0,0.07878919550332197,0.0,0.0,0.0
Bangladesh,0.1378461741920901,-0.1972139973511759,0.048746813933729816,0.07315704044537158,-0.18591690886148998,-0.2079288674003063,0.0
Barbados,-0.24166660556335237,0.18845710532526666,0.0,-0.08120215963331179,0.19975419381495257,0.0,0.0
Belarus,-0.1314202399857281,-0.2046793114899938,0.0,0.0,-0.19338222300030788,0.0,0.0
"Belarus, Republic of",0.0,0.0,0.0,-0.010893637689921798,0.0,0.0,0.0
Belgium,0.35818633507153186,0.31655479457793384,0.340802888700085,0.12012887657218091,0.32785188306761975,0.30583992452880343,0.0
Belize,-0.2547503569069479,-0.052323673897048506,0.0,-0.02244958866637803,-0.04102658540736259,0.0,0.0
Benin,0.06113212419993491,-0.0506388504512561,-0.030904842820730694,0.1256231566644173,-0.03934176196157019,-0.06135372050038651,0.0
Bermuda,0.0,0.2500786873431409,0.0,0.0,0.0,0.0,0.0
Bhutan,-0.025682851104317173,0.17307667454493886,-0.1105564995751912,0.14379837504663429,0.18437376303462477,0.16236180449580845,0.0
Bolivia,0.0,-0.2271820040501314,-0.3318819031435855,-0.21376140515202863,0.0,0.0,0.0
Bolivia (Plurinational State of),-0.18826800437913369,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,-0.0779117523703966,-0.09036609104933718,-0.24330926083262538,-0.09911219398529342,-0.07906900255965127,-0.10108096109846759,0.0
Botswana,-0.05933489047803231,0.11686134411652288,-0.13710705182667798,-0.0372334417730828,0.1281584326062088,0.10614647406739247,0.0
Brazil,0.4175188035358348,-0.0654974507788435,0.10184791843670349,-0.1302391696247555,-0.05420036228915759,-0.07621232082797391,0.0
Brunei Darussalam,-0.0020707387928199927,0.21762383320486572,0.0,0.13816400644826088,0.22892092169455164,0.0,0.0
Bulgaria,0.23082341598892053,0.018552791740556518,0.19912914188615116,-0.059916122406626526,0.02984988023024243,0.007837921691426109,0.0
Burkina Faso,-0.1260895370698989,-0.1328064192588393,-0.3672472387425659,0.04244234392711599,-0.12150933076915338,-0.1435212893079697,0.0
Burundi,-0.32248777704228926,-0.2517507704951394,-0.6062022090059473,-0.05468917400793444,-0.24045368200545347,-0.2624656405442698,0.0
Cabo Verde,-0.10020522750854177,0.11978006615298292,0.0,-0.09795110518227762,0.13107715464266884,0.0,0.0
Cambodia,-0.08844374635889218,-0.17301889881771987,-0.4026125743415464,0.030012798791222595,-0.16172181032803395,-0.18373376886685028,0.0
Cameroon,-0.06974110564395886,-0.21852597075850028,0.0,-0.13398583862631802,-0.20722888226881436,0.0,0.0
Canada,0.4506006743350718,0.3752631544072808,0.36735344095157185,0.09335841582724996,0.3865602428969667,0.3645482843581504,0.0
Cayman Islands,0.0,0.22942884366143107,0.0,0.0,0.0,0.0,0.0
Central African Republic,-0.39284793944195956,-0.32663416670399825,0.0,0.0,-0.31533707821431234,0.0,0.0
Chad,-0.3068937411814232,-0.2777654341870769,-0.39379779099405277,0.13014962875577918,-0.266468345697391,-0.2884803042362073,0.0
Chile,0.2760586364878891,0.22000908607787822,0.2434154630416312,-0.04841066387135373,0.23130617456756414,0.20929421602874781,0.0
China,0.4626527639539594,0.031478268349780125,0.07529736618521665,0.0,0.04277535683946604,0.020763398300649716,0.0
"China, People's Republic of",0.0,0.0,0.0,0.4548697118957842,0.0,0.0,0.0
Colombia,0.2319601201172825,-0.04078491508133847,0.0,-0.1423269413268311,-0.029487826591652555,0.0,0.0
Comoros,-0.2821253993295137,-0.2605504102567079,0.0,0.0,-0.24925332176702197,0.0,0.0
Congo,-0.31317800417376007,0.0,-0.3849830076465592,0.0,0.0,0.0,0.0
Congo (Democratic Republic of the),0.0,0.0,-0.4291631265930332,0.0,0.0,0.0,0.0
"Congo, Dem. Rep.",0.0,-0.3407852183238675,0.0,0.0,0.0,0.0,0.0
"Congo, Democratic Republic of the",0.0,0.0,0.0,-0.004457589451956734,0.0,0.0,0.0
"Congo, Rep.",0.0,-0.268293745317528,0.0,0.0,0.0,0.0,0.0
