country,PC1,PC2,PC3
Afghanistan,-0.5408546973870115,0.0959865346744811,0.2283389594836937
Albania,0.1390760577504444,0.13583327992948346,0.24001028539367184
Algeria,-0.26237985475318165,0.07796276079539904,-0.19976832389535493
American Samoa,0.08671768487700894,-0.10848421038050138,-0.015276115555202776
Andorra,0.2609372094121237,-0.260374151822305,-0.045587187563896917
"Andorra, Principality of",0.004099105238311869,-0.014948146683380245,-0.006977305012811705
Angola,-0.4755753074312954,-0.027228786420738504,-0.1370299452114174
Anguilla,0.09664000731504156,-0.1195608143819161,-0.01723458656074344
Antigua and Barbuda,-0.13297288669374016,-0.43493083938372745,-0.24792370289376062
Argentina,0.09575747744566951,0.2055731003967566,-0.1574999407875345
Armenia,-0.12470843915713596,-0.09876915428074463,-0.16700190591938918
"Armenia, Republic of",-0.016941810731053684,0.007053076266293376,0.006294498368035327
Aruba,0.09590788987949718,-0.11874352841215433,-0.017090080999760202
Australia,0.9046610110297383,-0.045248212265770554,-0.054386096803342304
Austria,0.7583681823148452,-0.038576156423035614,-0.022285945211025004
Azerbaijan,0.08090814082149643,0.2012750331183949,0.03283165334206506
"Azerbaijan, Republic of",-0.009463298196997108,-0.0007667554289267171,0.0015773392824847484
Bahamas,-0.09043862830828281,-0.09014213161503624,0.06983873486185167
"Bahamas, The",0.05982983311326731,-0.07770539008791484,-0.014646957418579219
Bahrain,0.2698576379744573,0.017316878084605792,-0.11674105895098943
"Bahrain, Kingdom of",-0.0031405784536048358,-0.007378043973836538,-0.0024107900075459703
Bangladesh,-0.15727677618748756,0.3055032554657198,-0.029099089832952188
Barbados,0.02108016524860359,-0.3141008519063122,0.09078126780890447
Belarus,-0.2663929793408949,0.09272923564837666,0.09832437572037392
"Belarus, Republic of",-0.01593391767832985,0.005999182994979061,0.005658758058813618
Belgium,0.7288606827227893,-0.00017231600299946227,0.06687885487196917
Belize,-0.19692080768471823,-0.11998890878878231,0.1316177955525164
Benin,-0.038324414035579284,0.06747836487891738,-0.05850898189386006
Bermuda,0.10428818098366104,-0.1280987138092343,-0.01874418539396789
Bhutan,0.1672459189425928,-0.25303863842645363,-0.08153756309848736
Bolivia,-0.28420434964634816,0.05073822627361792,-0.19387357787835247
Bolivia (Plurinational State of),-0.11533126844519244,-0.12107564570551196,0.09116448414020432
Bosnia and Herzegovina,-0.2790346331001996,-0.017752193481259934,-0.12672294500749615
Botswana,0.042220941621838176,-0.19799055492894266,-0.06793511070283643
Brazil,0.15021656979551962,0.401041010450215,-0.10331786289139076
Brunei Darussalam,0.20741956815615592,-0.21280146303858402,-0.0438807679109298
Bulgaria,0.2043016098260641,0.2090597657744776,0.0447279101942713
Burkina Faso,-0.3871187200406755,-0.06600780140204736,-0.2058647018281816
Burundi,-0.7504376179802192,-0.13390478628403046,-0.2769577292320788
Cabo Verde,0.03197493028634159,-0.15698949078174546,0.03874545000180113
Cambodia,-0.43324778317374957,-0.00818997624997452,-0.24681384479268562
Cameroon,-0.26504834244066733,0.16598203996427818,0.08435307000258108
Canada,0.8588839099906225,0.012317421033080849,0.044936717302822185
Cayman Islands,0.09448935337706979,-0.11715997101447158,-0.016810089835629483
Central African Republic,-0.5176818795726064,0.025702014070460737,0.23873510266798242
