country,year,oecd_ai,oxford_ai,AI_INDEX,AI_PCA,AI_BAYES,sigma,epsilon,FINAL_AI,RANK,HASH
United States of America,2026,1.0,1.0,1.0,1.0,0.693186134461844,0.05450681683960417,0.06540818020752501,0.6277779542543189,1,7810e75c852c105207241eaed95daa10ffd0e53799f4de1db5925833738b686b
France,2026,0.9557371682459136,0.9390624663551604,0.947399817300537,0.9484178834736412,0.6673950761986644,0.04797976707371986,0.057575720488463836,0.6098193557102006,2,098adb5540ee93dafaa300f57e72b3f5b1be0f03d865afc2d55f6140b6eb5b29
"United Kingdom of Great
Britain and Northern Ireland",2026,0.9355828289047364,0.9125126504597232,0.9240477396822298,0.9255113649136899,0.6559418169186888,0.04908968482527684,0.05890762179033221,0.5970341951283566,3,97d0ec469ac93d2e7ece3acdb37a9b437f24fbbf24b65c4fb8ee8c7c2dee8a25
Republic of Korea,2026,0.9299811424665304,0.9067203548588532,0.9183507486626918,0.9199143494467986,0.6531433091852432,0.0468271386271461,0.05619256635257532,0.5969507428326679,4,6443825ccf9d58b86393cbcfb5e01ae2538a85c6571e842c57e83dfec32105f2
Netherlands,2026,0.9214648776987578,0.898968583794492,0.9102167307466248,0.9119164715737678,0.6491443702487278,0.046774757538761425,0.05612970904651371,0.5930146612022141,5,3a3caf7374824b54e3e904da632a98d1066f8790497f513fd75f16b56ed89c8b
Singapore,2026,0.9042673194469224,0.8810318468594561,0.8926495831531893,0.8946585713552315,0.6405154201394596,0.042182035506829606,0.05061844260819553,0.5898969775312641,6,45009a5d2071ba9eb14ee55851e0c0e8036b302fd1faa947a96438b81429c4aa
Australia,2026,0.9172218414278416,0.8951142309597124,0.906168036193777,0.9079354885533241,0.6471538787385059,0.04848609991994394,0.058183319903932725,0.5889705588345732,7,7adf57adb0189a89f97179139347ae1b595de556eae329126d3858027bad4f56
Denmark,2026,0.9245908016099024,0.9012295170215971,0.9129101593157498,0.9145687168049101,0.650470492864299,0.05457771811575614,0.06549326173890736,0.5849772311253917,8,b4618d51bcc12e4a110ad1bd61051764261a930ba1aad391bf1cb81c6abae4ae
Spain,2026,0.8962945147460656,0.874055252901531,0.8851748838237983,0.8873071064607794,0.6368396876922335,0.043572730583432986,0.05228727670011958,0.584552410992114,9,b292ad1d5e59933dc0427b5d53b2b3322ae70f8ff93734d100cdd959c700aa56
Norway,2026,0.901367837230326,0.879093904093366,0.890230870661846,0.8922756648651635,0.6393239668944257,0.04945602789805729,0.059347233477668744,0.5799767334167569,10,c054266c2c9032e0a40ca77e038a542957da4857acd0e9bcaed7f026ed7f8bd9
Germany,2026,0.9067441105003616,0.8823668740983184,0.89455549229934,0.8965387121952931,0.6414554905594905,0.05506768267271244,0.06608121920725493,0.5753742713522355,11,7db6406b896bab7ee209d7300f1aec9f1523e46fdd9cc355dc18c4e4efb5a0a6
China,2026,0.8878698551824906,0.8642363428866735,0.8760530990345821,0.8783523346884916,0.6323623018060898,0.04759730422713159,0.057116765072557904,0.5752455367335318,12,6703fb2497471483b8f6d41a2c2ed699a51e371a1ce555f4ff617d16e0a7324c
Canada,2026,0.8770298175437337,0.8509722012876554,0.8640010094156945,0.8665246163447416,0.6264484426342147,0.04672970701504175,0.05607564841805009,0.5703727942161646,13,567196c07d5f368f982eb0f8ab63e8fa8a9d034eea6f09bd95ed82c8bff80e0d
Estonia,2026,0.8655859353861813,0.836846751792597,0.8512163435893891,0.8539786613581261,0.6201754651409069,0.04583832818502039,0.05500599382202447,0.5651694713188825,14,04356e076f5d972ea345cc51c0ee3ac06de2808d9fd9cb077c00d82cf8984024
