iso3,country,PQC_SCORE,AI_INDEX,LEGAL_WGI_SCORE,RES_INDEX,QVP_GLOBAL_SCORE,RANK
DNK,Denmark,0.9027187765505524,0.9245908016099024,1.0000000000000002,0.7807155523956935,0.9081064438467801,1
NOR,Norway,0.796516567544605,0.901367837230326,0.9561070517728081,0.9999999999999999,0.903323692514165,2
USA,United States,0.8496176720475787,1.0,0.7924757003896106,0.7811399250869977,0.8592322117290758,3
SGP,Singapore,0.8584324553950722,0.9042673194469224,0.9793167775654219,0.601665651863294,0.8487588912442665,4
IRL,Ireland,0.7787807986406118,0.8393578159992189,0.9042621625174444,0.8905932212335377,0.8476578784680568,5
DEU,Germany,0.9203483432455396,0.9067441105003616,0.8959464775918612,0.6001850015055268,0.8468141502978228,6
AUS,Australia,0.884983007646559,0.9172218414278416,0.9208145048971133,0.6015587414803137,0.8453157371712692,7
FIN,Finland,0.9734494477485132,0.8272939646835228,0.9916681372908891,0.43144921339551373,0.8330652024972597,8
CAN,Canada,0.9823704333050128,0.8770298175437337,0.8810606136280699,0.4852255636892076,0.8312788505222963,9
LUX,Luxembourg,0.7787807986406118,0.7777101014793892,0.9700320069449001,0.7959916029901156,0.8297680872962789,10
FRA,France,0.9027187765505524,0.9557371682459136,0.7789699880684355,0.478640518318207,0.8002205257073943,11
EST,Estonia,0.9823704333050128,0.8655859353861813,0.8597597518249501,0.35729007583356426,0.7975055669609996,12
SWE,Sweden,0.7610450297366185,0.8211488181784009,0.9386113016728083,0.6336690767457831,0.7949873542329444,13
CHE,Switzerland,0.796516567544605,0.7411088954293581,0.9535118172584901,0.6599283194211424,0.794595812319572,14
BEL,Belgium,0.955819881053526,0.7872679980420839,0.8190139745385882,0.5057955023653962,0.7894755579343051,15
ESP,Spain,0.9027187765505524,0.8962945147460656,0.7068256661933585,0.5557764540671196,0.7827509690134457,16
NLD,Netherlands,0.8230671197960918,0.9214648776987578,0.9357037182363261,0.35729007583356426,0.7826703000893114,17
ARE,United Arab Emirates,0.840696686491079,0.798396918880025,0.7481582914416561,0.7134355709096052,0.7815349227096651,18
AUT,Austria,0.8584324553950722,0.8297858518499326,0.8589103437693539,0.4886208414693693,0.7774279538172171,19
JPN,Japan,0.8318819031435853,0.8433291222366771,0.8849894369851298,0.475384040747749,0.7767210188980771,20
CZE,Czech Republic,1.0,0.7692391250505265,0.7786810250597749,0.4322817258125169,0.7734363826900787,21
LTU,Lithuania,0.9646346644010196,0.7909826703590542,0.7992795617720378,0.35729007583356426,0.7584139725197916,22
ISL,Iceland,0.7875955819881053,0.7250867769364174,0.8947188602191134,0.5187453492638012,0.7449791537380746,23
POL,Poland,0.9380841121495328,0.8522842028069547,0.6676324226007693,0.35729007583356426,0.7328624051635038,24
PRT,Portugal,0.8496176720475787,0.7828890967544386,0.720125887111631,0.47896326925676985,0.726431701432145,25
ITA,Italy,0.8937977909940527,0.8085425353221671,0.6598092469194647,0.44925195401716683,0.7250776736620571,26
CYP,Cyprus,0.8672472387425658,0.7038575279952438,0.6738224025206165,0.5334591866779796,0.7112859915873307,27
SAU,Saudi Arabia,0.7875955819881053,0.8615089563579337,0.6502846459962025,0.48251804137102566,0.7107306834591708,28
SVN,Slovenia,0.9027187765505524,0.7549410490152872,0.7172814989280718,0.35729007583356426,0.7103292851177183,29
NZL,New Zealand,0.6460280373831776,0.7589576435916553,0.9479055653859059,0.4131266398836444,0.7031495414360724,30
GRC,Greece,0.8584324553950722,0.7270955884877905,0.5785205055862283,0.5658424244662463,0.6971022450302756,31
LVA,Latvia,0.8672472387425658,0.6950986968935751,0.7320649674249119,0.35729007583356426,0.6884231028691044,32
HUN,Hungary,0.9468988954970264,0.7532794480622215,0.5653629082554481,0.3332674794795003,0.6803837536244254,33
CHL,Chile,0.8584324553950722,0.7014562175066537,0.716978476555781,0.3182658262780897,0.6757915753897482,34
JOR,Jordan,0.9468988954970264,0.661833731809889,0.5573089347342447,0.41143824604470713,0.6711429844940828,35
IND,India,0.7610450297366185,0.796388107328652,0.497457584198248,0.5869842045594887,0.6691717727146083,36
,Congo (Democratic Republic of the),0.1858538657604078,0.9355828289047364,0.8604133112440454,0.7882468059935648,0.6624045559640308,37
ROU,Romania,0.9380841121495328,0.6732354112076663,0.5738175031155897,0.31763051999917385,0.6567145662255085,38
ISR,,0.6017417162276976,0.8479203976322791,0.7294168271233925,0.4083977840494854,0.6565363778671243,39
KOR,,0.6017417162276976,0.9299811424665304,0.4893867991225805,0.5739780398870943,0.6501601082430059,40
URY,Uruguay,0.8141461342395921,0.6862513461668432,0.7340825024362483,0.22113606480699807,0.6435545153840501,41
MYS,Malaysia,0.7256796941376381,0.7070740285842079,0.6491773311756704,0.42637256765305437,0.6420412617118719,42
GBR,United Kingdom,0.8053313508920986,0.4412042398246143,0.8370839852492191,0.38524227019161145,0.6382199155744102,43
