RANK,COUNTRY,RES_SCORE,RES_TIER
1,"Iran, Islamic Republic of",64.98399853507617,Stable
2,Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),35.186045303480505,Fragile
3,"China, People's Republic of",34.89318476151371,Fragile
4,Vietnam,33.115495012550376,Fragile
5,Japan,32.87513791615426,Fragile
6,Singapore,32.79538502121589,Fragile
7,"Korea, Republic of",32.76106001208596,Fragile
8,Taiwan Province of China,32.705367329803494,Fragile
9,Germany,32.636282367332896,Fragile
10,"Andorra, Principality of",32.51786356880883,Fragile
11,"Macao Special Administrative Region, People's Republic of China",32.51539287858857,Fragile
12,Thailand,32.490203520201206,Fragile
13,Russian Federation,32.43603639302913,Fragile
14,Switzerland,32.24484933387116,Fragile
15,Denmark,32.22163469443523,Fragile
16,"Netherlands, The",32.16128738292728,Fragile
17,"Hong Kong Special Administrative Region, People's Republic of China",32.078887965800654,Fragile
18,Euro Area (EA),32.053918848364866,Fragile
19,Nicaragua,31.943829493883598,Fragile
20,Norway,31.927673332177843,Fragile
21,Belize,31.9091886776197,Fragile
22,Seychelles,31.908412351032624,Fragile
23,Malta,31.84865932443931,Fragile
24,Malaysia,31.845635602262977,Fragile
25,Mexico,31.844171641135706,Fragile
26,Ecuador,31.832005680498177,Fragile
27,Indonesia,31.81899675528378,Fragile
28,Israel,31.818486390273243,Fragile
29,"Belarus, Republic of",31.809347042940182,Fragile
30,Czech Republic,31.762909906933185,Fragile
31,"Uzbekistan, Republic of",31.68056602597854,Fragile
32,Bulgaria,31.617117726263,Fragile
33,"Poland, Republic of",31.607525708891437,Fragile
34,"Liechtenstein, Principality of",31.592195361743492,Fragile
35,Ireland,31.560101009777817,Fragile
36,"Slovenia, Republic of",31.52262971923161,Fragile
37,Iceland,31.468228827972165,Fragile
38,Hungary,31.444366552163892,Fragile
39,Trinidad and Tobago,31.435477302087385,Fragile
40,Kyrgyz Republic,31.43058981017321,Fragile
41,"Moldova, Republic of",31.414502948072272,Fragile
42,"San Marino, Republic of",31.41410872965613,Fragile
43,"Aruba, Kingdom of the Netherlands",31.390480497494323,Fragile
44,Paraguay,31.368473874600678,Fragile
45,El Salvador,31.33946128777515,Fragile
46,Bolivia,31.31524007434021,Fragile
47,Brunei Darussalam,31.30951061800966,Fragile
48,"Kazakhstan, Republic of",31.302546799167636,Fragile
49,Mongolia,31.232143064025436,Fragile
50,"Croatia, Republic of",31.22728505648259,Fragile
51,Cyprus,31.187681509176947,Fragile
52,"Azerbaijan, Republic of",31.138722365101824,Fragile
53,Australia,31.13201990702723,Fragile
54,Philippines,31.09443214712679,Fragile
