COUNTRY,RES_IMF
Albania,0.3062889542032536
Algeria,0.32191015087999897
"Andorra, Principality of",0.3424920703279103
Angola,0.3014916035256661
Antigua and Barbuda,0.3381961914868713
Argentina,0.3289898015195868
"Armenia, Republic of",0.3288474437827566
"Aruba, Kingdom of the Netherlands",0.34467959598871223
Australia,0.3732041675496516
Austria,0.3494883196308907
"Azerbaijan, Republic of",0.34585766368798154
"Bahamas, The",0.3331642255002304
"Bahrain, Kingdom of",0.3339034656129885
Bangladesh,0.32497204104284805
Barbados,0.28076884115452355
"Belarus, Republic of",0.3459027014242456
Belgium,0.35309482945466997
Belize,0.31144504645203486
Benin,0.3327082026564804
Bhutan,0.34383315595801317
Bolivia,0.25741356967851503
Bosnia and Herzegovina,0.31657769605969793
Botswana,0.30703307102509825
Brazil,0.2945977122098861
Brunei Darussalam,0.3474666187062572
Bulgaria,0.31666334440942623
Burkina Faso,0.3243900694835311
Burundi,0.3036675355241556
Cabo Verde,0.28548091868131076
Cambodia,0.3309752785347944
Cameroon,0.2809630217163113
Canada,0.34877534469981397
Chad,0.34179825457768714
Chile,0.31371544239408133
"China, People's Republic of",0.4647782567516051
Colombia,0.28543239006115784
"Congo, Democratic Republic of the",0.30575437970765396
"Congo, Republic of",0.3199616816764577
Costa Rica,0.29162051158691127
"Croatia, Republic of",0.32695391181946276
Cyprus,0.35890393100486934
Czech Republic,0.3376576596074096
Côte d'Ivoire,0.31970266323489543
Denmark,0.41082533529641857
Djibouti,0.2940028330232224
Dominica,0.2984807513064623
Dominican Republic,0.3010402321694068
Ecuador,0.26920709385245395
"Egypt, Arab Republic of",0.26602447946451574
El Salvador,0.3251875390104387
"Equatorial Guinea, Republic of",0.2994444417098773
"Estonia, Republic of",0.3422137048979645
"Eswatini, Kingdom of",0.2847542152694139
"Ethiopia, The Federal Democratic Republic of",0.3027531349558348
"Fiji, Republic of",0.25321707397945914
Finland,0.3374828401900996
France,0.347392549955608
Gabon,0.3342435416901327
"Gambia, The",0.31818294195710245
Georgia,0.3357664829698255
Germany,0.37291569566980604
Ghana,0.31805057426458777
Greece,0.36570409235397516
Grenada,0.32198717926760967
Guatemala,0.31867705411932506
Guinea,0.30774335272162845
Guinea-Bissau,0.2949349867876544
Guyana,0.36304883879016764
Haiti,0.29504438570296504
Honduras,0.31943498415209187
Hungary,0.3168656419800499
Iceland,0.35581416990268655
India,0.3701436581806341
Indonesia,0.3299839969928451
"Iran, Islamic Republic of",0.4301678293650318
Iraq,0.2827943094694584
Ireland,0.4338985647753955
Israel,0.33264226680749304
Italy,0.3412212405772093
Jamaica,0.3073553866765894
Japan,0.3467087217030519
Jordan,0.33328073391441165
"Kazakhstan, Republic of",0.33271894097743754
Kenya,0.272106204935179
Kiribati,0.3107048413615032
"Korea, Republic of",0.36741249155413436
"Kosovo, Republic of",0.34356816304614024
Kuwait,0.40194663321002905
Kyrgyz Republic,0.31663539286226594
Lao People's Democratic Republic,0.2831744029617973
"Latvia, Republic of",0.3219176490421026
"Lesotho, Kingdom of",0.332646718673857
Liberia,0.24688274997622617
Libya,0.330512314467641
"Liechtenstein, Principality of",0.4124068244594668
"Lithuania, Republic of",0.3313824394937901
Luxembourg,0.41403315563539694
"Madagascar, Republic of",0.30537947491952333
Malawi,0.26813149031954286
Malaysia,0.33641679452824547
Maldives,0.3256558440789059
Mali,0.28213129771412826
Malta,0.3677012414553632
"Marshall Islands, Republic of the",0.3192515519450788
"Mauritania, Islamic Republic of",0.3277592574212877
Mauritius,0.32650976981679275
Mexico,0.3060183717701142
"Micronesia, Federated States of",0.31098287023123894
"Moldova, Republic of",0.30888389703687896
Mongolia,0.34113448238177924
Montenegro,0.3267770222553735
Morocco,0.2976965157654812
"Mozambique, Republic of",0.29388344883466033
Myanmar,0.3281785087143347
Namibia,0.27056269054097637
"Nauru, Republic of",0.3333142713791457
Nepal,0.3454065476133182
"Netherlands, The",0.3876069775891213
New Zealand,0.3336352800101627
Nicaragua,0.35038661643956986
Niger,0.28329119936972214
Nigeria,0.3008850360256601
"North Macedonia, Republic of",0.29528858650314516
Norway,0.45687291197200086
Oman,0.3489384029132819
Pakistan,0.2508408706318877
"Palau, Republic of",0.28699095997955587
Panama,0.3289658478524364
Papua New Guinea,0.28857301341292485
Paraguay,0.309392605720164
Peru,0.3058952365781729
Philippines,0.3153484445002151
"Poland, Republic of",0.32162954427032725
Portugal,0.34746032447748115
Qatar,0.36432939624266614
Romania,0.3135820343256548
Russian Federation,0.37695199791304057
Rwanda,0.31270972071529346
Samoa,0.2606021754427359
"San Marino, Republic of",0.3338960388366469
Saudi Arabia,0.34820679164961177
Senegal,0.29954919784761225
"Serbia, Republic of",0.3135231584696049
Seychelles,0.304151672792822
Sierra Leone,0.30790162040774727
Singapore,0.3732266176782926
Slovak Republic,0.3106598784427656
"Slovenia, Republic of",0.35468564285547466
Solomon Islands,0.33332946422839804
Somalia,0.27516010745519487
"South Sudan, Republic of",0.2945305807585573
Spain,0.3635903375992178
St. Kitts and Nevis,0.2891862801032927
St. Lucia,0.3151742204728567
St. Vincent and the Grenadines,0.29681967991623187
Sudan,0.24819981079276215
Suriname,0.27967570404229636
Sweden,0.37994702205378617
Switzerland,0.38546120467707123
"São Tomé and Príncipe, Democratic Republic of",0.31408560020489057
Taiwan Province of China,0.3418570545536822
"Tajikistan, Republic of",0.33625547045894366
"Tanzania, United Republic of",0.3381935855842482
Thailand,0.32585456799678175
"Timor-Leste, Democratic Republic of",0.2508698484417073
Togo,0.31042473104452506
Tonga,0.28411090792189175
Trinidad and Tobago,0.2848063594705994
Tunisia,0.29171280986478765
Turkmenistan,0.26294382045037745
Tuvalu,0.34076393165185237
"Türkiye, Republic of",0.34800604441611493
Uganda,0.31623783190542165
Ukraine,0.28948214146192824
United Arab Emirates,0.3966972010850821
United Kingdom,0.32777983670138267
United States,0.4109144493866121
Uruguay,0.2933191480481558
"Uzbekistan, Republic of",0.35468261732408723
Vanuatu,0.2969039263981812
"Venezuela, República Bolivariana de",0.2688525004183056
Vietnam,0.3675258417876242
"Yemen, Republic of",0.2793210940034775
Zambia,0.35106832652767717
Zimbabwe,0.28675756767699356
