COUNTRY,RES_IMF
Albania,0.3037339780691756
Algeria,0.31925627283616
"Andorra, Principality of",0.3387961053516593
Angola,0.29863141135660964
Antigua and Barbuda,0.33618569255361075
Argentina,0.32631197304400733
"Armenia, Republic of",0.326483280859951
"Aruba, Kingdom of the Netherlands",0.34156093367810414
Australia,0.37061885825455904
Austria,0.3467358436167797
"Azerbaijan, Republic of",0.34254454089223174
"Bahamas, The",0.33099014633392315
"Bahrain, Kingdom of",0.3309386574717752
Bangladesh,0.3222835746851468
Barbados,0.27846735055437527
"Belarus, Republic of",0.3433406131061222
Belgium,0.35049067591125177
Belize,0.30899201162260925
Benin,0.33028379892693027
Bhutan,0.3422819095928196
Bolivia,0.2546124633461441
Bosnia and Herzegovina,0.31413426571812864
Botswana,0.30442344657087567
Brazil,0.29203629255863883
Brunei Darussalam,0.3438601335156045
Bulgaria,0.31417851750943826
Burkina Faso,0.32114180737476045
Burundi,0.3012757748957374
Cabo Verde,0.28278047710773785
Cambodia,0.3286314187698624
Cameroon,0.27854591253450023
Canada,0.34606262397088045
Chad,0.3390217065560375
Chile,0.3110363373726455
"China, People's Republic of",0.4618409247402092
Colombia,0.28286112277046666
"Congo, Democratic Republic of the",0.3031487064667902
"Congo, Republic of",0.31760250336127377
Costa Rica,0.2889857817308872
"Croatia, Republic of",0.3244615472201445
Cyprus,0.3567452311767117
Czech Republic,0.33502444944883103
Côte d'Ivoire,0.3170411259159306
Denmark,0.4073537384510393
Djibouti,0.2906627204008383
Dominica,0.29777451750893236
Dominican Republic,0.29840793382929565
Ecuador,0.2661644164147275
"Egypt, Arab Republic of",0.26355095911352316
El Salvador,0.3226621665826014
"Equatorial Guinea, Republic of",0.29681858688693546
"Estonia, Republic of",0.3395527754579778
"Eswatini, Kingdom of",0.2821364452368829
"Ethiopia, The Federal Democratic Republic of",0.3001718376619987
"Fiji, Republic of",0.25125204439377163
Finland,0.33474829660584704
France,0.34468706298651564
Gabon,0.3317773158868791
"Gambia, The",0.3157652248963131
Georgia,0.3333450578472688
Germany,0.36995380534768824
Ghana,0.31471258921862766
Greece,0.3633669192578038
Grenada,0.32037435476191956
Guatemala,0.3157566819314217
Guinea,0.30523718926950427
Guinea-Bissau,0.2925931938112483
Guyana,0.3590170814663321
Haiti,0.29230832242126675
Honduras,0.316866452316799
"Hong Kong Special Administrative Region, People's Republic of China",0.3666767961302063
Hungary,0.31416586907335337
Iceland,0.35312813506089824
India,0.36754144984994713
Indonesia,0.3273225812497091
"Iran, Islamic Republic of",0.4275513966668534
Iraq,0.28039361302006066
Ireland,0.4306819731613916
Israel,0.32979836579505345
Italy,0.33845782274148983
Jamaica,0.3049931689665141
Japan,0.34375181598856014
Jordan,0.3309310385112883
"Kazakhstan, Republic of",0.3300567349915967
Kenya,0.2696277607644626
Kiribati,0.309052443934329
"Korea, Republic of",0.36434720101782125
"Kosovo, Republic of",0.34148076742213124
Kuwait,0.3976373183447252
Kyrgyz Republic,0.3143427165073023
Lao People's Democratic Republic,0.28043864361958926
"Latvia, Republic of",0.3194122150447519
"Lesotho, Kingdom of",0.33012602691415227
Liberia,0.24488860298748058
Libya,0.32753364668632423
"Liechtenstein, Principality of",0.4089079946358619
"Lithuania, Republic of",0.32864473493885055
Luxembourg,0.4110337591803213
"Macao Special Administrative Region, People's Republic of China",0.34637510807170063
"Madagascar, Republic of",0.30313700936816323
Malawi,0.26634250248595626
Malaysia,0.33360626607171173
Maldives,0.3239971247103579
Mali,0.2794960207670237
Malta,0.3646237325515826
"Marshall Islands, Republic of the",0.31638017480282243
"Mauritania, Islamic Republic of",0.3254296828123444
Mauritius,0.32420505745805983
Mexico,0.3033144044984675
"Micronesia, Federated States of",0.3081902742045636
"Moldova, Republic of",0.3074864440531824
Mongolia,0.33888958531450614
Montenegro,0.3252311860130863
Morocco,0.29515661503006374
"Mozambique, Republic of",0.29377415219377073
Myanmar,0.3255207402450352
Namibia,0.268788534954459
"Nauru, Republic of",0.33044635914706527
Nepal,0.34226083468817803
"Netherlands, The",0.3843464971128879
New Zealand,0.33115191201972244
Nicaragua,0.34727032485697706
Niger,0.2809384037838098
Nigeria,0.29780594663653653
"North Macedonia, Republic of",0.2928641219856972
Norway,0.4532785843609132
Oman,0.3457562172494469
Pakistan,0.24814152324047595
"Palau, Republic of",0.2853114511499518
Panama,0.32633117878431
Papua New Guinea,0.2850159487832038
Paraguay,0.3068483282561037
Peru,0.3029619773559307
Philippines,0.3128870209408896
"Poland, Republic of",0.31897122870994704
Portugal,0.3447029854315442
Puerto Rico,0.26656626993547766
Qatar,0.36093202142053105
Romania,0.3112674135395764
Russian Federation,0.37404688348749143
Rwanda,0.3107972726612245
Samoa,0.2579718831032529
"San Marino, Republic of",0.33012810098937134
Saudi Arabia,0.34557868767445044
Senegal,0.29720114371773027
"Serbia, Republic of",0.3111434946328539
Seychelles,0.30190112245105105
Sierra Leone,0.30537430276717986
Singapore,0.36949351129647073
Slovak Republic,0.30811712067615044
"Slovenia, Republic of",0.3517680061229735
Solomon Islands,0.33088220424926573
Somalia,0.27296195628194947
"South Sudan, Republic of",0.2916109988133258
Spain,0.3607300846422633
St. Kitts and Nevis,0.2873993590582321
St. Lucia,0.3127268389179288
St. Vincent and the Grenadines,0.29530028640949857
Sudan,0.24574805250919196
Suriname,0.27967570404169584
Sweden,0.3769017915237506
Switzerland,0.3823195037531875
"São Tomé and Príncipe, Democratic Republic of",0.31164727604673853
Taiwan Province of China,0.3380296661423339
"Tajikistan, Republic of",0.3331441634839724
"Tanzania, United Republic of",0.3356050545305714
Thailand,0.32308567925025816
"Timor-Leste, Democratic Republic of",0.2500903652272984
Togo,0.3078920640689488
Tonga,0.28183488745093216
Trinidad and Tobago,0.2818470222401904
Tunisia,0.289239289513795
Turkmenistan,0.2599911698887292
Tuvalu,0.33809941572589397
"Türkiye, Republic of",0.3454531350705631
Uganda,0.3137516068837841
Ukraine,0.28790481708856785
United Arab Emirates,0.3932774563165475
United Kingdom,0.32525950966906486
United States,0.4084138176331897
Uruguay,0.2906417450878585
