Country,RES
United Kingdom,1.4293364887409854e-12
United States,5.821398229689953e-14
Honduras,3.2646159227543044e-11
United Kingdom,1.1202741631435718e-12
United Kingdom,4.994636700008383e-14
Advanced Economies,1.0746440397886432e-14
Sub-Saharan Africa (SSA),7.51936653861862e-13
United States,1.5728287374333358e-14
G7,6.553907562315006e-14
G7,2.7924307359159884e-11
United Kingdom,1.543333752929277e-11
G7,1.0680379363274694e-14
World,1.1142422529774242e-14
Advanced Economies,6.606410721800033e-14
Advanced Economies,2.407912920471372e-11
Advanced Economies,3.040790652220866e-11
Advanced Economies,2.740863261852595e-11
Advanced Economies,2.540622894495317e-14
World,1.1352127907088252e-14
Advanced Economies,2.5121749005746977e-11
Belgium,2.4827157887487357e-13
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),2.470728015421401e-11
Belgium,1.0451470196829364e-14
Austria,2.684682039042824e-13
Austria,2.1537856069918415e-13
Belgium,1.0209502453774737e-14
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),1.2566959607535528e-14
G7,2.4532138140654332e-11
United States,3.310714272895833e-11
United States,2.6397354169506573e-11
United Kingdom,1.1202741631435718e-12
G7,2.1122631741321022e-14
United Kingdom,1.0457999485134013e-14
G7,2.1934037921213192e-11
United States,2.9085150679070717e-11
United Kingdom,2.0496124252094596e-11
United Kingdom,1.078581584712129e-12
G7,1.909146501646314e-11
United States,1.126270200631622e-11
United States,3.310714272895833e-11
United States,1.126270200631622e-11
United States,3.310714272895833e-11
United States,8.981445487828504e-12
United Kingdom,2.1290635706460594e-11
United States,1.126270200631622e-11
United States,1.111284869451201e-14
United Kingdom,1.6035127053376713e-11
United Kingdom,1.0888548437458198e-14
United Kingdom,1.6883283908605267e-12
United States,1.126270200631622e-11
United Kingdom,2.4234404130265485e-11
Germany,5.621525192411179e-14
Denmark,1.6694491457655264e-10
France,1.6986477389881324e-12
Germany,1.8091209926480919e-12
France,1.4635710836253888e-11
France,1.1320533833209407e-12
Germany,2.423437417235444e-11
Germany,1.6726926657498064e-12
Denmark,2.736163633761222e-11
Germany,2.1551661289849142e-11
Denmark,1.134183083535604e-12
Belgium,1.7125763624678136e-11
Belgium,2.835666722879915e-11
Belgium,5.5278875166068643e-14
Austria,2.0729680735509703e-11
Austria,1.9980736031994502e-13
Austria,2.8226420985698022e-11
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),3.5931825767829427e-12
Austria,1.6914774282022807e-13
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),5.008556374522328e-12
Austria,1.0170710799729472e-14
Belgium,2.4827157887487357e-13
Belgium,2.4911957595457657e-11
Austria,2.4797538731282777e-11
Austria,9.787019092885707e-15
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),2.8123676873087632e-11
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),6.70838284208734e-14
Austria,1.738213497773282e-11
Belgium,2.1824150383121742e-11
Austria,1.9980736031994502e-13
Belgium,2.122982729225205e-13
Austria,2.2429821761140687e-11
Belgium,2.678194999074264e-13
Belgium,3.4501489145750484e-13
Belgium,2.0169938291804566e-11
Austria,5.584884362748621e-14
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),1.097650179167964e-14
"San Marino, Republic of",3.096661119314914e-11
Italy,8.557869047262119e-13
"San Marino, Republic of",1.0780623142540182e-14
Luxembourg,1.0178008239599373e-14
Luxembourg,5.761616834124155e-11
"San Marino, Republic of",2.3418009574108568e-11
Luxembourg,4.313977598037892e-14
"San Marino, Republic of",1.0780623142540182e-14
"San Marino, Republic of",1.0040509109419126e-14
Italy,9.251844056616266e-13
"San Marino, Republic of",1.0589737478574865e-14
Italy,1.5528525719031548e-11
Italy,1.0340856371432963e-14
Italy,2.0731690988155972e-11
Germany,9.849623445453809e-15
Italy,7.549670117867842e-13
Denmark,1.885851118635855e-10
France,5.296712303044039e-14
France,1.1320533833209407e-12
France,1.769809799291668e-11
Denmark,1.0051804778186168e-12
Germany,1.120425873077709e-14
France,1.0465296925003913e-14
Germany,1.6569127585902882e-11
France,1.013922426706976e-12
Denmark,1.9734120971970095e-13
Germany,1.3929971585677892e-12
France,2.4611545808712338e-11
France,1.635677362199188e-11
France,2.162194677399399e-11
Germany,1.991811285971305e-11
Denmark,3.1429791608041046e-11
Germany,2.3130337965148745e-12
Denmark,1.7308989665310533e-13
France,1.0893541422632342e-14
Germany,2.7585353183552222e-11
Denmark,1.1376324681393714e-14
Germany,1.6726926657498064e-12
Denmark,5.342647766646155e-14
Denmark,1.0134991751945217e-14
France,1.2241198050985302e-12
Denmark,1.134183083535604e-12
Sweden,2.3186917090469314e-10
Norway,2.415878921056091e-13
"Netherlands, The",4.765239757319118e-13
Sweden,2.4648973609653496e-12
"Netherlands, The",4.4114944392467327e-13
Norway,1.0157268147337548e-14
Sweden,2.4233952841220897e-13
Norway,2.0773053645490135e-12
Italy,8.557869047262119e-13
Luxembourg,3.632844738589531e-11
Luxembourg,1.0059712898550444e-14
Italy,1.2642079453556296e-11
Luxembourg,4.5855959915112756e-14
"San Marino, Republic of",6.180701124336941e-14
Luxembourg,4.313977598037892e-14
Luxembourg,5.330332722344445e-11
Italy,1.4351724818504151e-11
Luxembourg,6.21254100671667e-14
Luxembourg,3.4447756943761047e-14
"San Marino, Republic of",2.1642931522529345e-11
"San Marino, Republic of",1.6060252138848784e-11
"San Marino, Republic of",1.042420081626289e-14
"San Marino, Republic of",2.7204738307803078e-11
Italy,1.4010592933209e-12
Sweden,2.7485424346428486e-11
"San Marino, Republic of",1.1099790117902714e-14
Luxembourg,4.8754195770811505e-14
Italy,5.364578493834123e-14
Luxembourg,4.926198005856716e-11
Italy,1.074336779162542e-14
"San Marino, Republic of",1.0841307116195151e-14
Luxembourg,5.061581531403523e-11
Italy,2.3598139963932993e-11
"Liechtenstein, Principality of",7.252582775874201e-11
Canada,5.864645162813684e-14
Switzerland,3.8266660857993523e-13
"Liechtenstein, Principality of",7.952677879194188e-11
Canada,1.2039592831926882e-12
Canada,1.0557475112834248e-14
"Liechtenstein, Principality of",1.2902641841550995e-14
"Liechtenstein, Principality of",9.928358980892218e-15
Switzerland,3.421150847318552e-11
Switzerland,3.4987268195616343e-13
Canada,2.9046577948221545e-11
"Liechtenstein, Principality of",7.001982353491373e-11
"Liechtenstein, Principality of",6.371363832310444e-11
Canada,1.0334096637658739e-12
Norway,1.058704894809648e-14
Norway,2.0241830749023923e-13
"Netherlands, The",5.587265632600904e-14
Norway,3.445530288066231e-11
Norway,2.0773053645490135e-12
Sweden,2.3186917090469314e-10
Sweden,2.4648973609653496e-12
Sweden,3.0094142724956114e-13
"Netherlands, The",3.1256296511437266e-11
Norway,2.076524538482934e-12
Sweden,2.1950530903470735e-11
Sweden,2.4648973609653496e-12
Sweden,1.0431114180350165e-14
Norway,3.7001328684414567e-10
Norway,4.1468548947815614e-11
Sweden,1.0187226058382406e-14
Sweden,4.844770329627564e-14
"Netherlands, The",1.0323572961214776e-14
Norway,3.643047058826171e-11
Norway,3.701530935016279e-10
"Netherlands, The",2.6008218956595648e-11
"Netherlands, The",5.706897557373374e-13
"Netherlands, The",4.4114944392467327e-13
"Netherlands, The",1.0454926878873e-14
Norway,4.8462298176015447e-14
"Netherlands, The",2.4036719556796116e-11
"Netherlands, The",2.745922116023459e-11
Sweden,2.4146588659250004e-11
"Netherlands, The",3.7131025583923804e-13
"Netherlands, The",2.0144426826095174e-11
"Andorra, Principality of",1.3249425017911714e-11
"Andorra, Principality of",2.7252131339000263e-11
Finland,5.6467973789079953e-14
Finland,1.2474013268139943e-13
"Andorra, Principality of",1.0041277260984378e-14
Finland,2.0478142592103592e-11
Japan,1.8119023331189694e-09
Finland,1.1604235250804216e-13
Japan,1.8354276104502564e-11
Japan,2.2448624229486738e-10
"Andorra, Principality of",1.6486797101139088e-11
"Andorra, Principality of",2.394164582164056e-11
Canada,2.2954084052198364e-11
"Liechtenstein, Principality of",1.2902641841550995e-14
Canada,1.0825944084890096e-14
"Liechtenstein, Principality of",1.2902641841550995e-14
"Liechtenstein, Principality of",7.001982353491373e-11
Switzerland,3.38115738174187e-13
Switzerland,5.11496764270523e-14
"Liechtenstein, Principality of",1.0041661336767005e-14
"Liechtenstein, Principality of",1.300519007551224e-14
Switzerland,4.1588517322973664e-11
Canada,2.121450266852526e-11
Switzerland,3.7929307510247846e-11
"Liechtenstein, Principality of",1.32913265335689e-14
Switzerland,3.38115738174187e-13
Switzerland,1.0211806908470496e-14
Canada,9.534493106566681e-13
Canada,8.819213413550248e-13
Canada,1.2039592831926882e-12
Switzerland,3.33213210528368e-11
"Liechtenstein, Principality of",4.844770329627564e-14
Switzerland,1.0573606295704556e-14
Canada,2.4898745772611093e-11
Switzerland,3.6617429077349666e-11
Canada,2.1874246155601265e-11
Switzerland,3.165537237375413e-13
Iceland,5.967923140761921e-14
Greece,8.773208432231475e-12
Iceland,3.019829140270357e-11
Iceland,2.1624234713431094e-14
Finland,1.487490939291578e-13
Iceland,3.322692137067976e-11
Iceland,1.7684780933305672e-12
Greece,1.0096468950947792e-13
Greece,1.0842536158699557e-13
Ireland,5.0190255122051584e-14
Iceland,3.545683128940516e-09
Ireland,4.316316581146508e-11
Ireland,4.521737055399225e-11
Finland,1.1604235250804216e-13
Greece,5.543711438851072e-14
Japan,2.0891854430269003e-11
"Andorra, Principality of",1.2412945218702343e-14
Japan,1.6193207268444775e-12
Japan,2.597098165724267e-12
"Andorra, Principality of",1.1193120533080925e-14
Euro Area (EA),5.5166725037541735e-14
Japan,1.1347903073479362e-14
Japan,1.9661889698458338e-09
"Andorra, Principality of",1.1475032157528698e-14
Finland,9.773077141976369e-14
"Andorra, Principality of",1.151843272096548e-14
Japan,9.947178694240911e-15
"Andorra, Principality of",5.78395084088388e-14
Japan,1.299958295316168e-11
Japan,2.4360088743703934e-10
Finland,1.8926001328549862e-11
Finland,1.0184153452121396e-14
"Andorra, Principality of",1.1475032157528698e-14
Finland,2.175450784183701e-11
Japan,2.4360088743703934e-10
Finland,1.5658322977542788e-11
Japan,5.171810858533937e-14
Euro Area (EA),6.384888868957741e-12
"Andorra, Principality of",1.7834939969432855e-11
Euro Area (EA),1.0394242905218031e-14
"Andorra, Principality of",1.1592559347012373e-14
Malta,1.608760371163274e-11
Ireland,1.0181080845860385e-14
Portugal,1.8570044118045333e-11
Spain,6.72629229583121e-13
Malta,1.965546225168821e-14
Ireland,5.147095082623411e-11
Spain,5.317390943180645e-13
Portugal,1.0140368812901987e-14
Portugal,1.2133914162624273e-13
Greece,7.424026254869922e-12
Portugal,1.0417002467944906e-11
Greece,1.0126542084727438e-14
Portugal,1.0890852892153956e-14
Malta,1.0048190625071653e-14
Ireland,2.2619567104107384e-13
Iceland,2.6529785803810847e-11
Iceland,4.5825454123804745e-09
Ireland,1.103833799268249e-14
Ireland,3.815996383742835e-11
Greece,1.6463073124122038e-11
Iceland,1.0045886170375895e-14
Greece,9.492266278721605e-12
Iceland,1.3706070767438012e-12
Ireland,2.2619567104107384e-13
Iceland,2.2786448031658552e-14
Finland,2.4762444190721075e-11
Ireland,2.1681462005042425e-13
Greece,1.807529766680671e-13
Greece,1.0096468950947792e-13
Greece,1.4463684445442875e-11
Ireland,3.9890769089468445e-11
Iceland,1.7684780933305672e-12
Greece,1.0841691191977778e-14
Iceland,9.547355804526838e-15
Ireland,2.4393229068276063e-13
Finland,1.0110410901857128e-14
Greece,8.696589538431119e-14
New Zealand,3.1048616749800834e-11
Australia,2.67596252018017e-11
New Zealand,2.0431034161061335e-11
"Türkiye, Republic of",7.427676127032221e-13
Australia,1.0570399262919627e-12
"Türkiye, Republic of",1.1318329238217129e-14
Spain,1.845742695336675e-11
Spain,1.136710686261068e-14
"Türkiye, Republic of",1.4028814256488362e-11
"Türkiye, Republic of",1.713491384612343e-11
Malta,1.3648107202551386e-11
Portugal,1.6314614391484548e-11
Malta,2.5307490358679798e-11
Malta,1.7577996343462055e-14
Malta,1.8926486416263317e-14
Malta,1.7406841036526044e-11
Malta,2.8806914659862678e-11
Portugal,1.0378764651178189e-13
Spain,6.223836675483712e-13
Portugal,5.5638370098606944e-14
Portugal,1.3047169558553308e-13
Malta,2.5956609541456785e-14
Portugal,8.775856250676902e-12
Spain,5.512102001940919e-14
Portugal,2.085335621012166e-13
Spain,1.3510780906473319e-11
Spain,6.223836675483712e-13
Spain,1.248699003660754e-11
Spain,1.0640038347522314e-11
Malta,1.8926486416263317e-14
Malta,5.531766682011391e-14
Malta,1.2426387871094269e-14
Portugal,1.2133914162624273e-13
Portugal,1.127094120000512e-11
Ireland,2.889609513620961e-13
Argentina,2.547862722997824e-13
New Zealand,1.0096200097899952e-14
South Africa,7.057891804277357e-14
New Zealand,2.096108140155693e-11
South Africa,2.8339381130050484e-12
South Africa,3.905609022160381e-13
New Zealand,1.1806297520043961e-13
Emerging Market and Developing Economies,1.7760633211843907e-11
Australia,7.426577670293909e-13
Australia,2.3508989445497105e-11
Australia,4.891166684168832e-14
New Zealand,1.0944930762347752e-13
Spain,2.1009274462609325e-11
"Türkiye, Republic of",1.596804668163788e-11
New Zealand,1.7422791319702734e-13
Australia,2.5244181227050575e-11
New Zealand,1.8802636955321832e-11
New Zealand,6.841695546236961e-14
"Türkiye, Republic of",1.0506532837329816e-11
Australia,1.0570399262919627e-12
Spain,1.0406402744495984e-12
Australia,3.8238445882850226e-11
"Türkiye, Republic of",9.076793837168637e-13
"Türkiye, Republic of",1.3747370436343829e-12
Australia,1.0425737119393396e-14
Australia,3.778219112247064e-11
"Türkiye, Republic of",6.1101744406006055e-12
"Türkiye, Republic of",1.713491384612343e-11
Australia,1.044544020704213e-12
Australia,7.011530016556526e-13
"Türkiye, Republic of",1.0729925139233497e-14
"Türkiye, Republic of",2.0025880107446517e-10
"Türkiye, Republic of",5.317114408617153e-13
Australia,1.041037408808834e-14
Spain,1.0560931794877886e-14
Latin America and the Caribbean (LAC),1.2800477683372373e-14
Argentina,2.2427558248923354e-10
Argentina,5.209924234747084e-12
Bolivia,7.1525280771165e-14
Latin America and the Caribbean (LAC),8.433519903727432e-12
Brazil,2.43484573542953e-12
Brazil,3.471292286408631e-13
Argentina,2.8201570898486306e-13
Bolivia,3.1272218373006045e-14
Argentina,4.764760040137329e-09
Emerging Market and Developing Economies,3.308159938495898e-14
Bolivia,1.5569318407904295e-13
South Africa,6.1151078940284416e-12
South Africa,4.531661765660182e-11
South Africa,1.640837036262991e-13
Emerging Market and Developing Economies,6.661229090102734e-12
South Africa,1.0232547000732322e-14
New Zealand,1.208671124893949e-13
New Zealand,1.8415090663923628e-11
Emerging Market and Developing Economies,4.559245973145675e-11
South Africa,1.8016030932789631e-12
South Africa,2.8339381130050484e-12
Emerging Market and Developing Economies,1.1756175630411215e-14
South Africa,5.373214053730695e-12
Emerging Market and Developing Economies,5.852970027173407e-12
New Zealand,1.7422791319702734e-13
South Africa,2.875384998158345e-11
New Zealand,9.929895284022725e-15
South Africa,1.0245605577341619e-14
South Africa,2.4815101748670716e-12
Costa Rica,3.6145815187874983e-09
Latin America and the Caribbean (LAC),7.409890345690358e-12
Colombia,3.8235364097178007e-10
Chile,1.1520356172484872e-11
Brazil,8.57851196835094e-12
Chile,1.1969991348343318e-10
Colombia,1.06135501770977e-14
Chile,8.06387373303158e-11
Costa Rica,1.9258027161114726e-11
Colombia,1.7154552793116464e-13
Costa Rica,4.719177548708735e-14
Chile,4.050822366284911e-09
Costa Rica,3.59323940194721e-09
Costa Rica,1.1608306454100055e-14
Costa Rica,1.914437798480823e-11
Costa Rica,6.986761353410732e-12
Colombia,3.0748915119177587e-12
Bolivia,1.3857799905364569e-13
Bolivia,1.720479374624182e-12
Brazil,4.534165171611341e-12
Brazil,3.959172998957022e-12
Argentina,5.449067484496276e-13
Bolivia,4.963200481276195e-12
Brazil,8.495614203656208e-13
Argentina,9.992887937207061e-12
Brazil,1.135328013443613e-14
Bolivia,1.1743654375821814e-11
Bolivia,1.0071235172029236e-14
Argentina,9.524311257569255e-15
Argentina,3.168013412353584e-11
Argentina,1.0310514384605478e-14
Latin America and the Caribbean (LAC),2.6145325177250265e-12
Argentina,1.137382626842773e-11
Bolivia,1.5569318407904295e-13
Bolivia,9.608807929747061e-15
Bolivia,1.0364875702726853e-11
Brazil,4.534165171611341e-12
Latin America and the Caribbean (LAC),1.094462350172165e-14
Bolivia,5.3561672341946044e-14
Argentina,2.2427558248923354e-10
Argentina,5.788441454934347e-12
Brazil,5.255143781090386e-13
Brazil,2.1291652739132987e-11
Latin America and the Caribbean (LAC),5.470936375483241e-12
Bolivia,4.361287668866028e-12
Brazil,7.53726293378588e-12
El Salvador,1.7483817120804238e-12
El Salvador,5.738860344003541e-14
Ecuador,5.2112938489879296e-14
El Salvador,1.0056640292289433e-14
Dominican Republic,6.440489983705433e-14
Dominican Republic,1.0101193083074094e-14
Ecuador,5.758947507434901e-14
Dominican Republic,1.3109735503543146e-13
Ecuador,1.2043003424876604e-13
Ecuador,2.4260308121424718e-12
Dominican Republic,2.8533101273291582e-12
El Salvador,1.103949022003037e-14
Ecuador,5.758947507434901e-14
Colombia,7.264017211221506e-12
Colombia,6.580532237113522e-10
Colombia,6.580532237113522e-10
Brazil,1.0960754684591959e-14
Colombia,1.2487545784663105e-08
Colombia,8.267468195790956e-12
Chile,6.381795138528685e-12
Chile,1.1969991348343318e-10
Colombia,7.614263982989948e-14
Costa Rica,1.914437798480823e-11
Chile,6.705463866139381e-14
Chile,2.7083756740730456e-13
Chile,1.017186302707735e-14
Costa Rica,4.822109858452607e-14
Chile,1.3112591106986973e-11
Colombia,4.4517340589924993e-13
Costa Rica,1.024208590686963e-11
Colombia,7.255657543713717e-09
Chile,1.1055621402900676e-14
Chile,6.013268732327413e-09
Brazil,1.8315579317175608e-12
Chile,1.3686578921469721e-13
Colombia,1.0260200457081422e-14
Guatemala,1.8336297133042043e-11
Honduras,8.96559122359747e-12
Haiti,1.2914813203102426e-12
Honduras,1.0055872140724181e-14
Haiti,7.937851670610509e-13
Haiti,2.2816213904812095e-13
Haiti,1.2914813203102426e-12
Guatemala,1.2767908825157224e-11
Haiti,1.03513762071191e-12
Honduras,2.8894155553507348e-12
Guatemala,3.4735967411043895e-13
Honduras,1.5000617396569397e-13
Haiti,1.1769407041122697e-12
Honduras,2.539510995104613e-12
Costa Rica,7.206413909418983e-14
Ecuador,2.6565934248320077e-12
Costa Rica,1.0071619247811863e-14
Dominican Republic,9.859778793222233e-12
Ecuador,5.407575393623365e-12
Ecuador,2.6565934248320077e-12
Ecuador,5.758947507434901e-14
Dominican Republic,1.1942836460767642e-14
Ecuador,5.344721775872338e-14
Costa Rica,1.1657496191808366e-11
Dominican Republic,5.790096053405901e-14
Dominican Republic,2.0187445618204022e-12
El Salvador,2.105810700983979e-14
Dominican Republic,1.8605500803662473e-10
Ecuador,9.293481712210794e-15
El Salvador,2.3622965086218834e-14
El Salvador,2.1530504859438946e-12
El Salvador,2.1530504859438946e-12
El Salvador,2.3622965086218834e-14
Ecuador,6.154222555806896e-12
Ecuador,1.0095816022117325e-14
El Salvador,4.237623332451765e-14
Dominican Republic,4.4428811122029606e-12
Dominican Republic,2.8533101273291582e-12
Dominican Republic,2.6335198225414684e-10
El Salvador,4.491846549654217e-12
El Salvador,5.111819757590825e-12
Dominican Republic,1.122230414734801e-11
El Salvador,2.3622965086218834e-14
Mexico,7.130866202976373e-13
Nicaragua,2.8709856789214074e-13
Panama,4.3271898049602394e-14
Nicaragua,3.063628105516457e-12
Nicaragua,1.005164730711529e-14
Nicaragua,4.1582920186593444e-11
Panama,8.189225429581656e-14
Mexico,1.2821006533953756e-12
Mexico,5.325101264516869e-12
Nicaragua,3.4860342671731794e-12
Mexico,9.73014806997034e-11
Mexico,8.458222889914398e-12
Haiti,1.9751481197344807e-14
Honduras,3.633491330169582e-13
Guatemala,2.4486597891032534e-13
Haiti,1.0047422473506399e-14
Guatemala,3.4735967411043895e-13
Honduras,4.121133147581181e-14
Honduras,2.4289336569075623e-14
Guatemala,1.1176605274427992e-13
Guatemala,2.3719060847031956e-12
Panama,1.5943432032880923e-11
Haiti,1.7613363961905213e-11
Honduras,3.633491330169582e-13
Guatemala,1.144276979178808e-14
Guatemala,4.865098692650414e-12
Honduras,1.3262785862161935e-12
Haiti,8.432767883345051e-15
Honduras,1.1405130365090693e-14
Haiti,2.3568003841725e-13
Guatemala,5.3513662869117746e-14
Guatemala,6.521145898056975e-14
Haiti,1.0342748482368495e-10
Guatemala,1.0091591188508435e-14
Honduras,1.0699045446310338e-13
Haiti,2.4499041946389633e-14
Guatemala,5.536704360272835e-12
Uruguay,7.680517055493e-14
"Venezuela, República Bolivariana de",7.178025600874984e-11
"Venezuela, República Bolivariana de",1.753428083788352e-12
Uruguay,1.0064321807941961e-14
Peru,6.611899932885331e-12
Peru,2.3495413518808607e-13
Paraguay,5.962469264648626e-14
Paraguay,1.183337486271912e-14
Paraguay,9.095347501222705e-11
Panama,4.3271898049602394e-14
Mexico,1.2879208609901396e-11
Nicaragua,9.117805449237482e-14
Nicaragua,1.1415500411221606e-14
Panama,1.4007190789926495e-11
Mexico,9.752207232100016e-12
Panama,5.0956102232608606e-14
Mexico,7.366122144914445e-11
Panama,1.1095565284293823e-14
Panama,7.379268751693122e-12
Mexico,1.0683067893753078e-14
Nicaragua,1.1451730279796756e-12
Nicaragua,3.3205655862747294e-14
Nicaragua,1.2184858358507619e-11
Nicaragua,2.8709856789214074e-13
Panama,1.0076612232986005e-14
Mexico,1.0559011415964753e-14
Mexico,9.626869093425066e-12
Nicaragua,1.411889462239399e-13
Panama,6.927498844227263e-12
Nicaragua,1.760526572402853e-14
Panama,4.123476009855201e-14
Panama,4.3271898049602394e-14
Mexico,1.2879208609901396e-11
Mexico,6.077576776701757e-14
