ISO3,country,MEAN_RANK,RANK_STD,RVI,RANK_FLIP_PROB,STABILITY_RAW,STABILITY_SCORE,CAPABILITY_SCORE,UNCERTAINTY,QSSI_SCORE,STABILITY_CLASS,CAPABILITY_CLASS
AUS,Australia,8.0542,2.205053822472404,0.27377688934948563,0.0077,0.780349617157457,0.908991243571624,0.9666362219955535,0.2814768893494856,0.9999999986298027,Highly Stable,Very High Capability
JPN,Japan,16.7208,2.5984317116291247,0.1554011597216475,0.0493,0.8300813790459497,0.9433959071156024,0.9214303188244491,0.20470115972164749,0.9958544827161413,Highly Stable,Very High Capability
AUT,Austria,20.3086,2.7252093570952938,0.1341899174222302,0.0457,0.8475366940881691,0.9522623428136261,0.9027159741682648,0.17988991742223018,0.9904952675581337,Highly Stable,Very High Capability
DEU,Germany,8.435,2.740068429802399,0.324845101301429,0.0315,0.7372754906111196,0.8650519853389113,0.9646499288785808,0.35634510130142905,0.9650538411971591,Highly Stable,Very High Capability
PRT,Portugal,31.6217,3.2243121917705033,0.10196517554933916,0.0626,0.858689595907149,0.9572193770745095,0.8437056468005517,0.16456517554933917,0.9512119039072249,Highly Stable,Very High Capability
SVN,Slovenia,27.4635,4.019983550961326,0.14637550023904275,0.1577,0.7668267671746732,0.8967988937203215,0.865395258247496,0.30407550023904273,0.9140474834009209,Highly Stable,Very High Capability
CYP,Cyprus,33.1891,3.8072485064676367,0.11471382189794008,0.1642,0.7819135135438406,0.910314512908912,0.8355299224530118,0.2789138218979401,0.9022679007922649,Highly Stable,Very High Capability
NLD,Netherlands,7.6624,3.406644425237274,0.4445923502809409,0.0696,0.660418076880696,0.7439491201728274,0.9686798922771449,0.5141923502809409,0.8858681271932589,Highly Stable,Very High Capability
SGP,Singapore,4.6626,2.511167306254179,0.538576610842792,0.0403,0.6333617162560967,0.6874084721083835,0.9843271666791802,0.578876610842792,0.861123962947697,Highly Stable,Very High Capability
MYS,Malaysia,47.7616,4.94327476881468,0.10349893572893666,0.1384,0.805218501466101,0.9280706288921614,0.7595182195982684,0.24189893572893667,0.8598913024708383,Highly Stable,Very High Capability
BEL,Belgium,17.8456,4.890415180738722,0.2740403898139979,0.2434,0.6590044701015084,0.7411668939039204,0.9155632429369203,0.5174403898139979,0.8440277390215803,Highly Stable,Very High Capability
ITA,Italy,29.7866,5.346799083563945,0.17950350437392792,0.2773,0.6864343729250963,0.7915763155266822,0.8532777226906694,0.4568035043739279,0.8302727707965146,Highly Stable,Very High Capability
RWA,Rwanda,59.5414,3.5947581337274555,0.060374094893084165,0.146,0.8289302665178879,0.9427596978062046,0.6980735356189713,0.20637409489308417,0.8269255475424502,Highly Stable,High Capability
DNK,Denmark,1.6579,1.0887918028714871,0.6567294783851605,0.0097,0.6000853999348604,0.6095514768112271,1.0,0.6664294783851605,0.8229366038368999,Highly Stable,Very High Capability
GRC,Greece,37.4393,5.472395774247264,0.14616714986928434,0.2933,0.6947015081871153,0.8052709294467968,0.8133604292656225,0.43946714986928437,0.8093831888946942,Highly Stable,Very High Capability
ESP,Spain,21.0677,5.593041811930105,0.2654794691240442,0.3483,0.6196633549581578,0.656333354056347,0.8987564281990051,0.6137794691240441,0.7766898405647239,Highly Stable,Very High Capability
LVA,Latvia,38.1639,7.513510284148213,0.1968748027311501,0.3126,0.662482075348765,0.7479760528581103,0.8095808389490299,0.5094748027311501,0.768594626358754,Highly Stable,Very High Capability
SWE,Sweden,15.7344,6.808440103283552,0.4327105007404694,0.2535,0.5930457671571062,0.5921713867273977,0.9265754856589606,0.6862105007404694,0.756393431741168,Highly Stable,Very High Capability
SAU,Saudi Arabia,30.0293,5.95441361596594,0.1982867937570191,0.3895,0.6298074804072411,0.6794919309391347,0.8520117737949517,0.5877867937570191,0.756324480377516,Highly Stable,Very High Capability
