country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,QSSI_SCORE,RANK
Denmark,0.9129101593157498,0.9663234009914472,0.9027187765505524,0.7176088170442433,0.8722196263917132,1
Norway,0.890230870661846,0.9247920136946012,0.796516567544605,0.7897549500073996,0.8485955433254753,2
Singapore,0.8926495831531893,0.9467529926189896,0.8584324553950722,0.6450186156262884,0.8330082412250949,3
Australia,0.906168036193777,0.8913983025818323,0.884983007646559,0.5490572416395311,0.8086401336960221,4
Germany,0.89455549229934,0.8678682433117846,0.9203483432455396,0.5402794163871945,0.8070972362603424,5
Ireland,0.8259901416078436,0.875736521594103,0.7787807986406118,0.7233035359814183,0.7984654304566813,6
Finland,0.8135522384731969,0.9584398153347,0.9734494477485132,0.43820065135753,0.7886661593854098,7
Canada,0.8640010094156945,0.8537832796331456,0.9823704333050128,0.4474138939284242,0.7874030405596968,8
Luxembourg,0.762188958278292,0.937967768108498,0.7787807986406118,0.6912954714143279,0.7837693086189221,9
France,0.947399817300537,0.7571854095710073,0.9027187765505524,0.441822938333823,0.7717924558254565,10
Sweden,0.807195928866983,0.908237582907886,0.7610450297366185,0.5811283859477431,0.7593496491627625,11
Estonia,0.8512163435893891,0.8336284625831961,0.9823704333050128,0.3552109201366935,0.7564859339538826,12
Japan,0.8297091768673535,0.8575007215242297,0.8318819031435853,0.5028744758535763,0.7541019921143424,13
Netherlands,0.9102167307466248,0.905486435430314,0.8230671197960918,0.3552109201366935,0.7487318162932466,14
Belgium,0.7715866701521545,0.7950749198037986,0.955819881053526,0.4741843546733551,0.7479920439381265,15
United Arab Emirates,0.7817914268610413,0.7280314666812258,0.840696686491079,0.6142531708339929,0.7438811857258255,16
Spain,0.8851748838237983,0.6889226499688639,0.9027187765505524,0.4507107159205246,0.7416943682586815,17
Switzerland,0.7265760665428697,0.922336409910996,0.796516567544605,0.556696497294005,0.7407433681547126,18
Austria,0.8154764620245336,0.8328247550093182,0.8584324553950722,0.4541127096524097,0.7393441808710942,19
Lithuania,0.774994360523512,0.7764022725384304,0.9646346644010196,0.3552109201366935,0.717740158799168,20
Iceland,0.7126327491624229,0.8667066751187339,0.7875955819881053,0.4998310502301324,0.7089878178270331,21
Poland,0.8372766592295362,0.651838110314837,0.9380841121495328,0.3552109201366935,0.7048743779033848,22
Saudi Arabia,0.8473691074935811,0.6354236916438878,0.7875955819881053,0.4748710573334173,0.6969121304072325,23
Italy,0.7930010538413984,0.6444358429294295,0.8937977909940527,0.4252730928791866,0.6965552057066153,24
Portugal,0.7673731459526376,0.7015072825442665,0.8496176720475787,0.4112874191223301,0.6857396730871217,25
Slovenia,0.7389614484756891,0.6988159302417848,0.9027187765505524,0.3552109201366935,0.6759340447628752,26
Cyprus,0.6912733086887354,0.6576950523475349,0.8672472387425658,0.4598269958805703,0.6706895617319115,27
