ISO3,country,MEAN_RANK,MEDIAN_RANK,RANK_STD,RANK_MIN,RANK_MAX,TOP10_PROB,TOP20_PROB,TOP50_PROB,STABILITY
DNK,Denmark,1.6579,1.0,1.0888462465449404,1,14,,,,Very Stable
NOR,Norway,4.1075,2.0,4.776235441485522,1,38,,,,Stable
SGP,Singapore,4.6626,4.0,2.511292874037154,2,22,,,,Very Stable
NLD,Netherlands,7.6624,7.0,3.406814770234517,3,32,,,,Stable
USA,United States of America,7.6862,7.0,5.236837977940545,1,26,,,,Stable
AUS,Australia,8.0542,8.0,2.2051640834331683,3,19,,,,Very Stable
DEU,Germany,8.435,8.0,2.740205443500002,3,18,,,,Very Stable
IRL,Ireland,9.8494,8.0,6.348066590304882,3,43,,,,Stable
FIN,Finland,10.6491,10.0,6.761563507363233,1,43,,,,Stable
LUX,Luxembourg,11.3144,9.0,7.4318420238582545,3,43,,,,Moderate
CAN,Canada,11.3522,12.0,5.61525674130996,1,39,,,,Stable
EST,Estonia,14.6252,15.0,6.697433129270588,2,51,,,,Stable
SWE,Sweden,15.7344,13.0,6.808780550822495,7,48,,,,Stable
FRA,France,15.9881,16.0,6.387850879120919,2,44,,,,Stable
JPN,Japan,16.7208,16.0,2.598561642959637,12,31,,,,Very Stable
BEL,Belgium,17.8456,19.0,4.890659719838344,5,29,,,,Stable
CHE,Switzerland,18.233,16.0,6.947484275172906,6,41,,,,Stable
ARE,United Arab Emirates,18.8374,20.0,5.411200361189225,9,33,,,,Stable
AUT,Austria,20.3086,20.0,2.7253456277835366,13,36,,,,Very Stable
ESP,Spain,21.0677,22.0,5.593321484996356,8,39,,,,Stable
CHN,China,23.1844,21.0,16.361276410371442,1,78,,,,Sensitive
GBR,"United Kingdom of Great
Britain and Northern Ireland",23.9576,23.0,9.092044256759642,4,70,,,,Moderate
LTU,Lithuania,23.9855,24.0,8.32961151511876,5,67,,,,Moderate
ISL,Iceland,24.7476,24.0,6.393557851321849,13,43,,,,Stable
KOR,Republic of Korea,24.9741,23.0,11.614840491456004,5,62,,,,Moderate
CZE,Czechia,26.6466,27.0,11.23610846571626,1,90,,,,Moderate
SVN,Slovenia,27.4635,28.0,4.020184565215069,13,41,,,,Stable
ITA,Italy,29.7866,29.0,5.347066443570291,16,56,,,,Stable
SAU,Saudi Arabia,30.0293,30.0,5.954711358977651,15,47,,,,Stable
LIE,Liechtenstein,30.2028,26.0,22.86112716542047,1,101,,,,Sensitive
PRT,Portugal,31.6217,31.0,3.2244734194722704,24,62,,,,Stable
NZL,New Zealand,32.7867,33.0,10.966842310940196,8,64,,,,Moderate
CYP,Cyprus,33.1891,33.0,3.807438883171332,22,45,,,,Stable
POL,Poland,33.2789,32.0,13.764085868519535,7,129,,,,Sensitive
GRC,Greece,37.4393,37.0,5.472669414559171,25,64,,,,Stable
IND,India,37.833,37.0,11.42120638967436,15,83,,,,Moderate
LVA,Latvia,38.1639,37.0,7.513885987840432,22,88,,,,Moderate
ISR,Israel,42.6367,41.0,11.547971625998562,18,81,,,,Moderate
TWN,Taiwan,43.4431,41.0,12.672545984614647,21,87,,,,Sensitive
HUN,Hungary,43.6339,41.0,15.281073977708203,7,134,,,,Sensitive
CHL,Chile,43.7467,40.0,12.025231795270026,25,134,,,,Sensitive
ROU,Romania,45.2692,44.0,11.895910332053765,11,104,,,,Moderate
JOR,Jordan,46.0442,46.0,12.587727811211474,8,99,,,,Sensitive
URY,Uruguay,46.9192,43.0,12.792358492614786,31,137,,,,Sensitive
MYS,Malaysia,47.7616,47.0,4.943521951091946,39,74,,,,Stable
MLT,Malta,48.7409,47.0,10.304988426419818,32,138,,,,Moderate
SMR,San Marino,53.0664,50.0,22.384090238148662,13,111,,,,Sensitive
AND,Andorra,53.149,50.0,16.90634737186436,22,98,,,,Sensitive
BHR,Bahrain,53.8092,53.0,6.464083368690419,42,101,,,,Stable
HRV,Croatia,54.0749,54.0,8.562524258194353,33,76,,,,Moderate
OMN,Oman,54.6818,52.0,9.742742984605892,40,140,,,,Moderate
SRB,Serbia,55.6263,51.0,14.079526682994663,34,122,,,,Sensitive
SVK,Slovakia,56.7373,55.0,17.181746417375532,12,137,,,,Sensitive
VNM,Viet Nam,57.3384,57.0,14.41303781324064,22,104,,,,Sensitive
BRN,Brunei Darussalam,57.626,56.0,15.9141776446353,25,100,,,,Sensitive
RWA,Rwanda,59.5414,59.0,3.594937885115608,49,70,,,,Stable
QAT,Qatar,61.4233,52.0,29.065477758153982,23,158,,,,Sensitive
BGR,Bulgaria,62.8311,60.0,15.484112779389609,37,141,,,,Sensitive
KAZ,Kazakhstan,63.7545,61.0,11.8748949916665,46,126,,,,Moderate
AZE,Azerbaijan,65.1614,65.0,10.458761332436202,44,104,,,,Moderate
MUS,Mauritius,65.6012,64.0,13.570481729011528,44,147,,,,Sensitive
MCO,Monaco,66.0168,66.0,21.630582654440765,19,108,,,,Sensitive
TUR,Türkiye,69.8377,66.0,15.392441373451588,42,119,,,,Sensitive
GEO,Georgia,70.7486,68.0,9.383965255710912,54,94,,,,Moderate
ALB,Albania,71.6813,72.0,24.014254074400775,7,153,,,,Sensitive
THA,Thailand,71.8024,69.0,17.935103039350103,40,146,,,,Sensitive
BTN,Bhutan,72.2991,71.0,22.933103407807483,25,152,,,,Sensitive
MNE,Montenegro,74.0389,75.0,13.877659951683933,45,119,,,,Sensitive
BRA,Brazil,74.0765,66.0,30.059803840522534,21,169,,,,Sensitive
ARG,Argentina,75.1463,73.0,15.908287263887553,45,141,,,,Sensitive
UKR,Ukraine,75.6463,67.0,32.2274922610456,20,176,,,,Sensitive
IRN,Iran (Islamic Republic of),75.8702,72.0,34.518124254516124,11,169,,,,Sensitive
DOM,Dominican Republic,77.8042,78.0,15.781082555283197,47,143,,,,Sensitive
BEN,Benin,78.6628,81.0,15.23904586947291,31,139,,,,Sensitive
RUS,Russian Federation,79.8671,73.0,24.21853198109101,37,150,,,,Sensitive
BHS,Bahamas,80.0666,77.0,18.066438610318407,48,126,,,,Sensitive
KWT,Kuwait,82.8133,79.0,33.562036352677175,16,164,,,,Sensitive
PHL,Philippines,82.8163,79.0,21.54075102463854,42,148,,,,Sensitive
PER,Peru,82.9037,77.0,21.699675433088654,51,155,,,,Sensitive
GHA,Ghana,83.1499,82.0,6.133138799110347,62,120,,,,Stable
