ISO3,country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_SCORE,QSSI_RANK,QSSI_TIER,AI_INDEX_N,LEGAL_WGI_SCORE_N,PQC_N,RES_INDEX_N,CONFIDENCE_SCORE_N,AI_NORM_N,LEGAL_NORM_N,PQC_NORM_N,RES_NORM_N,QSSI_SCORE_N,QSSI_RANK_N,CAPABILITY_TRUE,RVI,RANK_FLIP_PROB,STABILITY_SCORE,UNCERTAINTY,SOVEREIGN_STATE_SCORE,REGIME_CLUSTER,REGIME_LABEL
AUS,Australia,0.906168036193777,0.8913983025818323,0.884983007646559,0.5490572416395311,True,True,True,True,False,False,False,False,1.0,A,0.906168036193777,0.9208145048971131,0.884983007646559,0.6254735096915155,0.8336274411720743,7,Gold,0.9061680352876088,0.9208145039239393,0.8849830067615759,0.625473508885704,0.9999999980000001,0.9061680352876088,0.9208145039762986,0.8849830067615759,0.6254735090660419,0.9057138427435956,0.030927835051386972,0.7828654350677577,0.27377688934948563,0.0077,0.6857554595482964,0.2814768893494856,0.999999997416216,1,CORE STABLE POWERS
DEU,Germany,0.89455549229934,0.8678682433117846,0.9203483432455396,0.5402794163871945,True,True,True,True,False,False,False,False,1.0,A,0.89455549229934,0.8959464775918611,0.9203483432455396,0.6141648407745427,0.8311842392131947,8,Gold,0.8945554914047844,0.8959464766449693,0.9203483423251911,0.6141648399833004,0.9999999980000001,0.8945554914047844,0.8959464766959145,0.9203483423251911,0.6141648401603778,0.9027057792595413,0.03608247422661813,0.7808016865846064,0.324845101301429,0.0315,0.6763997939809077,0.35634510130142905,0.9702043959019963,1,CORE STABLE POWERS
DNK,Denmark,0.9129101593157498,0.9663234009914472,0.9027187765505524,0.7176088170442433,True,True,True,True,False,False,False,False,1.0,A,0.9129101593157498,1.0,0.9027187765505524,0.8426222802458929,0.9102083119938362,1,Platinum,0.9129101584028396,0.999999998943138,0.9027187756478335,0.8426222791603238,0.9999999980000001,0.9129101584028396,0.9999999989999999,0.9027187756478335,0.8426222794032706,0.9999999987688029,0.0,0.8469547655797165,0.6567294783851605,0.0097,0.6456758441419828,0.6664294783851605,0.9688252359728885,2,HIGH CAPABILITY VOLATILE POWERS
JPN,Japan,0.8297091768673535,0.8575007215242297,0.8318819031435853,0.5028744758535763,True,True,True,True,False,False,False,False,1.0,A,0.8297091768673535,0.8849894369851297,0.8318819031435853,0.565975217924493,0.7753749207242515,16,Gold,0.8297091760376443,0.884989436049818,0.8318819023117033,0.5659752171953345,0.9999999980000001,0.8297091760376443,0.8849894361001401,0.8318819023117033,0.5659752173585177,0.8339935009288845,0.07731958762846743,0.7396749590872598,0.1554011597216475,0.0493,0.6963721367202097,0.20470115972164749,0.9611096328553826,1,FRAGILE / TRANSITIONAL SYSTEMS
AUT,Austria,0.8154764620245336,0.8328247550093182,0.8584324553950722,0.4541127096524097,True,True,True,True,False,False,False,False,1.0,A,0.8154764620245336,0.8589103437693538,0.8584324553950722,0.503154342146744,0.7568217067466849,21,Gold,0.815476461209057,0.8589103428616041,0.8584324545366396,0.5031543414985191,0.9999999980000001,0.815476461209057,0.8589103429104434,0.8584324545366396,0.5031543416435896,0.8111508352724788,0.10309278350462324,0.7260173470166048,0.1341899174222302,0.0457,0.7000501526813343,0.17988991742223018,0.9491982903274412,1,FRAGILE / TRANSITIONAL SYSTEMS
SGP,Singapore,0.8926495831531893,0.9467529926189896,0.8584324553950722,0.6450186156262884,True,True,True,True,False,False,False,False,1.0,A,0.8926495831531893,0.9793167775654217,0.8584324553950722,0.7491026975641232,0.86554201869884,3,Platinum,0.8926495822605397,0.9793167765304189,0.8584324545366396,0.7491026965990374,0.9999999980000001,0.8926495822605397,0.9793167765861048,0.8584324545366396,0.7491026968150204,0.9450069821905306,0.010309278350462324,0.810392661696903,0.538576610842792,0.0403,0.6532513298764633,0.578876610842792,0.940637885166388,2,CORE STABLE POWERS
NLD,Netherlands,0.9102167307466248,0.905486435430314,0.8230671197960918,0.6180221334971404,True,True,True,True,False,False,False,False,1.0,A,0.9102167307466248,0.9357037182363259,0.8230671197960918,0.7143225248510428,0.8445531740330362,5,Gold,0.910216729836408,0.9357037172474162,0.8230671189730246,0.714322523930765,0.9999999980000001,0.910216729836408,0.9357037173006221,0.8230671189730246,0.7143225241367201,0.9191655747775132,0.020618556700924648,0.7914913008829843,0.4445923502809409,0.0696,0.6593542973692381,0.5141923502809409,0.9327793059674364,2,CORE STABLE POWERS
PRT,Portugal,0.7673731459526376,0.7015072825442665,0.8496176720475787,0.4112874191223301,True,True,True,True,False,False,False,False,1.0,A,0.7673731459526376,0.7201258871116308,0.8496176720475787,0.44798156096738273,0.6986369294618578,32,Silver,0.7673731451852644,0.7201258863505571,0.8496176711979609,0.44798156039023806,0.9999999980000001,0.7673731451852644,0.7201258863915049,0.8496176711979609,0.44798156051940113,0.7395138986523984,0.15979381443216603,0.6790458397729742,0.10196517554933916,0.0626,0.7023868006872246,0.16456517554933917,0.8821505560823966,1,FRAGILE / TRANSITIONAL SYSTEMS
SVN,Slovenia,0.7389614484756891,0.6988159302417848,0.9027187765505524,0.4494852847268657,True,True,True,True,False,False,False,False,1.0,A,0.7389614484756891,0.7172814989280717,0.9027187765505524,0.4971927269497231,0.71512261020339,27,Gold,0.7389614477367276,0.7172814981700041,0.9027187756478335,0.4971927263091786,0.9999999980000001,0.7389614477367276,0.7172814982107901,0.9027187756478335,0.4971927264525303,0.7598110231157068,0.13402061855601022,0.6914673214166674,0.14637550023904275,0.1577,0.6828340603485279,0.30407550023904273,0.8502047409026677,1,FRAGILE / TRANSITIONAL SYSTEMS
BEL,Belgium,0.7715866701521545,0.7950749198037986,0.955819881053526,0.4741843546733551,True,True,True,True,False,False,False,False,1.0,A,0.7715866701521545,0.819013974538588,0.955819881053526,0.5290130920803288,0.7664870392368277,19,Gold,0.7715866693805679,0.8190139736730032,0.955819880097706,0.5290130913987894,0.9999999980000001,0.7715866693805679,0.819013973719574,0.955819880097706,0.5290130915513156,0.8230507658611781,0.09278350515416091,0.7333364998467791,0.2740403898139979,0.2434,0.6590367210253554,0.5174403898139979,0.8415382550804377,2,FRAGILE / TRANSITIONAL SYSTEMS
