ISO3,country,MEAN_RANK,MEDIAN_RANK,RANK_STD,RANK_P02_5,RANK_P97_5,CI_WIDTH,RELIABILITY_SCORE,RELIABILITY_TIER,SOVEREIGN_STABILITY
DNK,Denmark,1.6579,1.0,1.0887918028714871,1.0,4.0,3.0,0.9762583095918308,A+,Highly Stable
NOR,Norway,4.1075,2.0,4.775996623742855,1.0,18.0,17.0,0.8654637543537079,A,Highly Stable
SGP,Singapore,4.6626,4.0,2.511167306254179,2.0,11.0,9.0,0.9287749287754925,A+,Highly Stable
NLD,Netherlands,7.6624,7.0,3.406644425237274,4.0,16.0,12.0,0.9050332383673233,A+,Highly Stable
USA,United States of America,7.6862,7.0,5.236576129495273,1.0,20.0,19.0,0.8496359607482619,A,Highly Stable
AUS,Australia,8.0542,8.0,2.205053822472404,4.0,12.0,8.0,0.9366888255782155,A+,Highly Stable
DEU,Germany,8.435,8.0,2.740068429802399,4.0,14.0,10.0,0.9208610319727694,A+,Highly Stable
IRL,Ireland,9.8494,8.0,6.347749179039886,3.0,28.0,25.0,0.8021525799319235,A,Highly Stable
FIN,Finland,10.6491,10.0,6.761225420735488,1.0,25.0,24.0,0.8100664767346466,A,Highly Stable
LUX,Luxembourg,11.3144,9.0,7.431470422466795,4.0,31.0,27.0,0.7863247863264774,B,Highly Stable
CAN,Canada,11.3522,12.0,5.614975971453473,1.0,22.0,21.0,0.8338081671428157,A,Highly Stable
EST,Estonia,14.6252,15.0,6.697098249241915,3.0,28.0,25.0,0.8021525799319235,A,Highly Stable
SWE,Sweden,15.7344,13.0,6.808440103283552,8.0,36.0,28.0,0.7784108895237543,B,Highly Stable
FRA,France,15.9881,16.0,6.387531478591749,3.0,26.0,23.0,0.8179803735373696,A,Highly Stable
JPN,Japan,16.7208,16.0,2.5984317116291247,14.0,24.0,10.0,0.9208610319727694,A+,Highly Stable
BEL,Belgium,17.8456,19.0,4.890415180738722,7.0,25.0,18.0,0.8575498575509849,A,Highly Stable
CHE,Switzerland,18.233,16.0,6.947136892274358,8.0,34.0,26.0,0.7942386831292004,B,Highly Stable
ARE,United Arab Emirates,18.8374,20.0,5.410929794406827,10.0,27.0,17.0,0.8654637543537079,A,Highly Stable
AUT,Austria,20.3086,20.0,2.7252093570952938,16.0,26.0,10.0,0.9208610319727694,A+,Highly Stable
ESP,Spain,21.0677,22.0,5.593041811930105,11.0,32.0,21.0,0.8338081671428157,A,Highly Stable
CHN,China,23.1844,21.0,16.360458326098303,2.0,55.024999999999636,53.024999999999636,0.5803656220356126,D,Stable
GBR,"United Kingdom of Great
Britain and Northern Ireland",23.9576,23.0,9.09158964318118,9.0,44.0,35.0,0.7230136119046928,B,Stable
LTU,Lithuania,23.9855,24.0,8.329195024130469,8.0,43.024999999999636,35.024999999999636,0.7228157644846277,B,Stable
ISL,Iceland,24.7476,24.0,6.393238165436936,15.0,38.0,23.0,0.8179803735373696,A,Highly Stable
KOR,Republic of Korea,24.9741,23.0,11.614259734912155,10.0,55.0,45.0,0.6438746438774623,C,Stable
CZE,Czechia,26.6466,27.0,11.235546646247146,5.0,51.0,46.0,0.6359607470747393,C,Stable
SVN,Slovenia,27.4635,28.0,4.019983550961326,18.0,34.0,16.0,0.8733776511564311,A,Highly Stable
