ISO3,country,RVI,RANK_RANGE,DRIFT_BAND,RANK_FLIP_PROB,SHOCK_RESISTANCE,FRAGILITY_INDEX,FRAGILITY_CLASS
HTI,Haiti,0.014026531609334585,30,5.0,0.0946,0.9999999980656504,1.9343495694101875e-09,Resilient
LBR,Liberia,0.02344736898671477,27,8.0,0.1288,0.9339461730704238,0.06605382692957618,Resilient
PRT,Portugal,0.10196517554933916,38,7.0,0.0626,0.9161896135430591,0.08381038645694094,Resilient
AUT,Austria,0.1341899174222302,23,7.0,0.0457,0.8946160024622121,0.10538399753778793,Resilient
VEN,"Venezuela, Bolivarian
Republic of",0.029684647514434805,46,11.0,0.1547,0.8883943703930185,0.1116056296069815,Resilient
PAN,Panama,0.05005848272101004,46,10.0,0.1349,0.8876034618753659,0.11239653812463413,Resilient
JPN,Japan,0.1554011597216475,19,5.0,0.0493,0.8608513209356831,0.13914867906431694,Resilient
RWA,Rwanda,0.060374094893084165,21,9.0,0.146,0.8586246668869194,0.1413753331130806,Resilient
MYS,Malaysia,0.10349893572893666,35,10.0,0.1384,0.8127578238383125,0.18724217616168748,Resilient
CYP,Cyprus,0.11471382189794008,23,10.0,0.1642,0.767677829964156,0.232322170035844,Resilient
AUS,Australia,0.27377688934948563,16,5.0,0.0077,0.7646527076275488,0.23534729237245122,Resilient
SVN,Slovenia,0.14637550023904275,28,10.0,0.1577,0.738494788283478,0.26150521171652197,Stable
MOZ,Mozambique,0.029770351951116374,31,14.0,0.3152,0.6933935820734551,0.30660641792654486,Stable
DEU,Germany,0.324845101301429,15,7.0,0.0315,0.681332288525817,0.31866771147418305,Stable
BDI,Burundi,0.03492356218321996,45,15.0,0.3305,0.6718500779285648,0.32814992207143523,Stable
GHA,Ghana,0.07375633806450553,58,14.0,0.3075,0.6556114117650165,0.34438858823498353,Stable
ZWE,Zimbabwe,0.05728070925351998,60,23.0,0.3452,0.6344181101793656,0.36558188982063444,Stable
GRC,Greece,0.14616714986928434,39,14.0,0.2933,0.5989793230029574,0.4010206769970426,Stable
ITA,Italy,0.17950350437392792,40,14.0,0.2773,0.5829877932835766,0.41701220671642336,Stable
MLI,Mali,0.045364665898529916,42,20.0,0.4212,0.574150194712391,0.42584980528760896,Stable
BHR,Bahrain,0.12012369922469307,59,16.0,0.3501,0.5708676043140896,0.42913239568591044,Stable
CIV,Côte D'Ivoire,0.07735487650575405,39,20.0,0.3997,0.5647827459672071,0.4352172540327929,Stable
COG,Congo,0.05658437415916381,84,21.0,0.4234,0.5621905110291215,0.43780948897087846,Stable
IRQ,Iraq,0.054549540414829845,58,23.0,0.4332,0.5553687143719392,0.44463128562806076,Stable
GIN,Guinea,0.04776147877683123,62,19.0,0.4455,0.5505694615173561,0.4494305384826439,Stable
LVA,Latvia,0.1968748027311501,66,16.0,0.3126,0.5366556762443044,0.46334432375569556,Stable
NLD,Netherlands,0.4445923502809409,29,6.0,0.0696,0.5326631816501345,0.4673368183498655,Stable
BEL,Belgium,0.2740403898139979,24,12.0,0.2434,0.5299287719538578,0.4700712280461422,Stable
LKA,Sri Lanka,0.08683548353323452,41,20.0,0.4398,0.5222508422027532,0.4777491577972468,Stable
HND,Honduras,0.0422954857879307,43,18.0,0.5165,0.49610958050461124,0.5038904194953888,Fragile
SGP,Singapore,0.538576610842792,20,5.0,0.0403,0.4803267215205467,0.5196732784794533,Fragile
LBY,Libya,0.06564135631254138,61,28.0,0.5165,0.477798641479552,0.522201358520448,Fragile
SAU,Saudi Arabia,0.1982867937570191,32,17.0,0.3895,0.47345158685717803,0.526548413142822,Fragile
AGO,Angola,0.04451241399081045,37,17.0,0.5491,0.4689980787570178,0.5310019212429822,Fragile
SLV,El Salvador,0.07801905568620875,42,22.0,0.5178,0.4673196595706382,0.5326803404293619,Fragile
MMR,Myanmar,0.07131606709771666,97,27.0,0.5309,0.4624800830353585,0.5375199169646415,Fragile
ESP,Spain,0.2654794691240442,31,15.0,0.3483,0.4538293019356506,0.5461706980643495,Fragile
PNG,Papua New Guinea,0.061376178315788614,52,22.0,0.5528,0.4535347159314857,0.5464652840685142,Fragile
VUT,Vanuatu,0.07213813497288196,44,22.0,0.5552,0.44384241952999476,0.5561575804700052,Fragile
OMN,Oman,0.1781626763401984,100,23.0,0.4695,0.42917986586242696,0.570820134137573,Fragile
CHL,Chile,0.27486943057129115,109,24.100000000000364,0.3798,0.4242085391789212,0.5757914608210788,Fragile
DNK,Denmark,0.6567294783851605,13,2.0,0.0097,0.41595869262820073,0.5840413073717993,Fragile
DJI,Djibouti,0.0647177176372881,57,24.0,0.602,0.4157579502352473,0.5842420497647527,Fragile
ARE,United Arab Emirates,0.2872439824030696,24,15.0,0.3832,0.41316905362004014,0.5868309463799599,Fragile
LSO,Lesotho,0.08116579915659816,49,25.0,0.5899,0.4127381581603364,0.5872618418396636,Fragile
TGO,Togo,0.0751000318224725,55,23.0,0.5997,0.41015720674947087,0.5898427932505291,Fragile
ISL,Iceland,0.2583377040674085,30,18.0,0.4173,0.4095798210706649,0.5904201789293351,Fragile
SWE,Sweden,0.4327105007404694,41,15.0,0.2535,0.4023415818381818,0.5976584181618182,Fragile
URY,Uruguay,0.27263292763785985,106,27.0,0.4286,0.3922118139061309,0.6077881860938691,Fragile
SWZ,Eswatini,0.05985405587333116,51,25.0,0.6427,0.3913295159948256,0.6086704840051744,Fragile
SDN,Sudan,0.07218233538941712,62,33.0,0.6313,0.390710395487784,0.609289604512216,Fragile
AZE,Azerbaijan,0.1604974475860705,60,26.0,0.5461,0.38863767885154277,0.6113623211484572,Fragile
HRV,Croatia,0.15833771530080343,43,23.0,0.5516,0.3864235399679465,0.6135764600320535,Fragile
GEO,Georgia,0.13263154388334106,40,26.0,0.586,0.3807010772882935,0.6192989227117065,Fragile
BOL,Bolivia (Plurinational State of),0.051815357580216735,51,24.0,0.6711,0.377902619113177,0.622097380886823,Fragile
CUB,Cuba,0.08864755963046195,53,28.0,0.6415,0.37320953400397366,0.6267904659960264,Fragile
MLT,Malta,0.2114132723011927,106,25.0,0.5244,0.3695602861358746,0.6304397138641253,Fragile
NIC,Nicaragua,0.08717428834809679,116,33.0,0.6513,0.36785455261988453,0.6321454473801155,Fragile
LAO,"Lao People's Democratic
Republic",0.08716416669096387,79,32.0,0.6566,0.3644791574119158,0.6355208425880843,Fragile
LTU,Lithuania,0.34725959532981215,62,19.0,0.4007,0.3618166417806229,0.6381833582193771,Fragile
YEM,Yemen,0.07346223086529673,62,34.0,0.6778,0.3597296869729454,0.6402703130270546,Fragile
KGZ,Kyrgyzstan,0.09550642983092382,71,39.0,0.657,0.35894551015278436,0.6410544898472157,Fragile
MWI,Malawi,0.09181474853803476,76,36.0,0.6679,0.35442417134366655,0.6455758286563335,Fragile
CHE,Switzerland,0.38101995787272186,35,18.0,0.3818,0.35248785809731675,0.6475121419026832,Fragile
GAB,Gabon,0.0976544832330425,65,35.0,0.6758,0.3459078705434765,0.6540921294565235,Fragile
TZA,United Republic of Tanzania,0.14571126268666412,92,37.0,0.6458,0.3349143783986554,0.6650856216013445,Fragile
MDG,Madagascar,0.06895253573708783,69,29.0,0.7261,0.33278428976871377,0.6672157102312862,Fragile
KAZ,Kazakhstan,0.18625040164829626,80,31.0,0.6217,0.32509671862206274,0.6749032813779372,Fragile
BIH,Bosnia and Herzegovina,0.09608584953100766,61,37.0,0.721,0.31971770242468417,0.6802822975753158,Fragile
ZMB,Zambia,0.17086958337821057,77,38.0,0.6528,0.31587456750814785,0.6841254324918522,Fragile
BLZ,Belize,0.09891402001896472,64,35.0,0.7271,0.3145127365455387,0.6854872634544613,Fragile
MNG,Mongolia,0.1368601838226747,73,38.0,0.6908,0.3135586045581941,0.6864413954418058,Fragile
GNQ,Equatorial Guinea,0.07497492799193096,68,34.0,0.7528,0.31349216183472145,0.6865078381652785,Fragile
BLR,Belarus,0.10022758043540202,70,36.0,0.7281,0.31317226471169085,0.6868277352883092,Fragile
EST,Estonia,0.4579149856948281,49,18.0,0.3712,0.3127168172783912,0.6872831827216088,Fragile
PRY,Paraguay,0.11866418506490195,85,40.0,0.7111,0.312341605100525,0.687658394899475,Fragile
GMB,Gambia (Republic of The),0.12296476861709368,77,40.0,0.7072,0.3121102160702043,0.6878897839297957,Fragile
FRA,France,0.39951785879449286,42,16.0,0.4336,0.3104075436712259,0.6895924563287741,Fragile
COM,Comoros,0.10294261127480417,79,40.0,0.7315,0.3096455081967934,0.6903544918032066,Fragile
TCD,Chad,0.16249143917997172,158,58.0,0.6757,0.30749502723955496,0.6925049727604451,Fragile
PSE,State of Palestine,0.10896532005538061,62,35.0,0.7376,0.3027229624595444,0.6972770375404556,Fragile
CAN,Canada,0.4946156666512973,38,15.0,0.353,0.3021274494035431,0.6978725505964569,Fragile
LBN,Lebanon,0.10381036039450504,82,46.0,0.7442,0.3019038456084663,0.6980961543915337,Fragile
TLS,Timor-Leste,0.09030780170640769,75,40.0,0.7626,0.2991372480142413,0.7008627519857586,Fragile
GNB,Guinea Bissau,0.09943996980091258,83,43.0,0.7545,0.29855603421211646,0.7014439657878835,Fragile
SOM,Somalia,0.08522805363858409,73,38.0,0.7688,0.2985064641771634,0.7014935358228366,Fragile
IRL,Ireland,0.6444807986674728,40,14.0,0.21,0.2982517518203007,0.7017482481796993,Fragile
MUS,Mauritius,0.20685297201505873,103,30.0,0.6477,0.2982111589059951,0.701788841094005,Fragile
NER,Niger,0.10990708362242703,83,41.0,0.7479,0.29638420515668357,0.7036157948433164,Fragile
PRK,"Democratic People's Republic
of Korea",0.10979276840347015,87,46.0,0.7485,0.2961120762292676,0.7038879237707324,Fragile
ROU,Romania,0.2627684059228741,93,28.0,0.5982,0.2946154646311012,0.7053845353688988,Fragile
GTM,Guatemala,0.07502977362587658,57,32.0,0.7883,0.2932982096133432,0.7067017903866568,Fragile
SUR,Suriname,0.10349449079539128,82,45.0,0.7682,0.2886588125668316,0.7113411874331683,Fragile
GBR,"United Kingdom of Great
Britain and Northern Ireland",0.37948666155214605,66,24.0,0.4938,0.28778042656461245,0.7122195734353876,Fragile
CAF,Central African Republic,0.11260379223573136,91,48.0,0.7627,0.28666973588060546,0.7133302641193946,Fragile
AFG,Afghanistan,0.11038439895348037,90,48.0,0.7651,0.2865704051159982,0.7134295948840018,Fragile
SLE,Sierra Leone,0.12686557785511834,91,45.0,0.7496,0.28603110674407956,0.7139688932559205,Fragile
SYR,Syrian Arab Republic,0.11504157573178894,95,49.0,0.7672,0.2828677656225896,0.7171322343774105,Fragile
ISR,Israel,0.2708322692119875,63,30.0,0.6121,0.2824907926082699,0.7175092073917301,Fragile
CMR,Cameroon,0.12481654884895022,93,49.0,0.7612,0.28081079557315614,0.7191892044268439,Fragile
TKM,Turkmenistan,0.08302147241624001,71,38.0,0.8038,0.28037326006863206,0.7196267399313679,Fragile
BEN,Benin,0.1937165203620512,108,41.0,0.6941,0.27983289361309666,0.7201671063869033,Fragile
NPL,Nepal,0.1806111733944551,88,45.0,0.7133,0.2765355472891479,0.723464452710852,Fragile
COD,"Democratic Republic of the
Congo",0.11630208454013065,83,46.0,0.7777,0.27648652291725717,0.7235134770827428,Fragile
TJK,Tajikistan,0.0897856026126659,70,37.0,0.805,0.2760642011603608,0.7239357988396392,Fragile
DOM,Dominican Republic,0.20282058656506044,96,40.0,0.6922,0.27593761122967914,0.7240623887703208,Fragile
ZAF,South Africa,0.18777829278273747,82,43.0,0.7082,0.2754220028343348,0.7245779971656652,Fragile
KHM,Cambodia,0.13015056989148913,103,52.0,0.7719,0.27216490256512976,0.7278350974348702,Fragile
MDA,Republic of Moldova,0.17729738755674493,81,37.0,0.7277,0.27059174657961055,0.7294082534203894,Fragile
TUR,Türkiye,0.22039201938095052,77,41.0,0.6848,0.2704880138798085,0.7295119861201915,Fragile
MNE,Montenegro,0.1874280418962326,74,38.0,0.7281,0.26500952045058085,0.7349904795494191,Fragile
LUX,Luxembourg,0.656815246218092,40,19.0,0.2613,0.2636474408686939,0.736352559131306,Fragile
VNM,Viet Nam,0.25135541178479737,82,37.0,0.67,0.26194677199447086,0.7380532280055292,Fragile
ERI,Eritrea,0.11067654675516712,93,48.0,0.8111,0.2617261515906131,0.7382738484093869,Fragile
JOR,Jordan,0.27336990128641825,91,30.0,0.6492,0.26131079869278273,0.7386892013072173,Fragile
BWA,Botswana,0.1982740920153005,98,59.0,0.7267,0.2600541992681637,0.7399458007318362,Fragile
IND,India,0.3018696723700417,68,29.0,0.6232,0.2600043071131208,0.7399956928868792,Fragile
UGA,Uganda,0.12860305546346718,83,52.0,0.7993,0.25852755153314005,0.74147244846686,Fragile
SRB,Serbia,0.25309651529595045,88,35.100000000000364,0.6827,0.2544362878189067,0.7455637121810933,Fragile
CZE,Czechia,0.4216502910624806,89,27.0,0.5152,0.25389262777458455,0.7461073722254155,Fragile
MRT,Mauritania,0.162111232230934,136,61.0,0.7751,0.25370654835000955,0.7462934516499904,Fragile
DZA,Algeria,0.13817740337593312,82,55.0,0.7991,0.2536724420329991,0.7463275579670009,Fragile
TTO,Trinidad and Tobago,0.14749099260253337,97,51.0,0.7914,0.25284147700617987,0.7471585229938201,Fragile
TWN,Taiwan,0.2916898734478491,66,32.0,0.6519,0.25042950991641644,0.7495704900835836,Fragile
BGR,Bulgaria,0.2464279402103115,104,36.0,0.7013,0.24831504960680512,0.7516849503931948,Highly Fragile
PAK,Pakistan,0.1744974503240072,110,73.0,0.7741,0.24787189100875057,0.7521281089912495,Highly Fragile
BFA,Burkina Faso,0.1319259675506716,104,49.0,0.8172,0.2476027176484772,0.7523972823515228,Highly Fragile
SSD,South Sudan,0.1096514150726427,92,48.0,0.8424,0.24611542607196146,0.7538845739280385,Highly Fragile
HUN,Hungary,0.3501935399897059,127,36.0,0.6034,0.24533320581661902,0.754666794183381,Highly Fragile
USA,United States of America,0.6812958456472609,25,13.0,0.2759,0.24351079186900398,0.756489208130996,Highly Fragile
ETH,Ethiopia,0.12934808315350949,59,39.0,0.8308,0.24202224301722294,0.757977756982777,Highly Fragile
TON,Tonga,0.15435548177234312,78,50.0,0.8087,0.24056067816842186,0.7594393218315781,Highly Fragile
NAM,Namibia,0.1932440901735087,103,57.0,0.7703,0.24031547692713068,0.7596845230728693,Highly Fragile
ARG,Argentina,0.21168696036167206,96,42.0,0.756,0.23824132947936721,0.7617586705206327,Highly Fragile
LCA,Saint Lucia,0.17742694851599303,89,55.0,0.7916,0.23757232618296711,0.7624276738170329,Highly Fragile
MEX,Mexico,0.16397344025992058,95,60.0,0.8156,0.2323384950664996,0.7676615049335004,Highly Fragile
ARM,Armenia,0.15359605923566305,76,53.0,0.8286,0.2310456337575199,0.76895436624248,Highly Fragile
STP,Sao Tome and Principe,0.17017248580912783,115,59.0,0.8162,0.22899384560771519,0.7710061543922848,Highly Fragile
JAM,Jamaica,0.17083706338795623,78,54.0,0.8193,0.22715176963156758,0.7728482303684324,Highly Fragile
CPV,Cabo Verde,0.20273946272953094,104,58.0,0.7926,0.22461758138447238,0.7753824186155276,Highly Fragile
NZL,New Zealand,0.3344738553981016,56,28.0,0.6699,0.22024801433612737,0.7797519856638726,Highly Fragile
UZB,Uzbekistan,0.22257916188527097,92,53.0,0.7869,0.21779616065573437,0.7822038393442656,Highly Fragile
SEN,Senegal,0.19615765061460186,84,63.0,0.8178,0.21565557500022672,0.7843444249997733,Highly Fragile
POL,Poland,0.4135773011309438,122,32.0,0.6009,0.2154078136169068,0.7845921863830931,Highly Fragile
THA,Thailand,0.24977168258342844,106,43.0,0.7692,0.21327028326670924,0.7867297167332907,Highly Fragile
MDV,Maldives,0.1963772774511365,131,72.0,0.8395,0.20531448796575305,0.794685512034247,Highly Fragile
BHS,Bahamas,0.22563135271858786,78,49.0,0.811,0.2049626962221246,0.7950373037778754,Highly Fragile
