,AI,LEGAL,PQC,RES,ULTRA
Afghanistan,True,True,False,False,False
Albania,True,True,True,True,False
Algeria,True,True,True,True,False
American Samoa,False,True,False,False,False
Andorra,True,True,False,False,False
"Andorra, Principality of",False,False,False,True,False
Angola,True,True,True,True,False
Anguilla,False,True,False,False,False
Antigua and Barbuda,True,True,True,True,False
Argentina,True,True,True,True,False
Armenia,True,True,True,False,False
"Armenia, Republic of",False,False,False,True,False
Aruba,False,True,False,False,False
Australia,True,True,True,True,False
Austria,True,True,True,True,False
Azerbaijan,True,True,True,False,False
"Azerbaijan, Republic of",False,False,False,True,False
Bahamas,True,False,False,False,False
"Bahamas, The",False,True,False,True,False
Bahrain,True,True,True,False,False
"Bahrain, Kingdom of",False,False,False,True,False
Bangladesh,True,True,True,True,False
Barbados,True,True,False,True,False
Belarus,True,True,False,False,False
"Belarus, Republic of",False,False,False,True,False
Belgium,True,True,True,True,False
Belize,True,True,False,True,False
Benin,True,True,True,True,False
Bermuda,False,True,False,False,False
Bhutan,True,True,True,True,False
Bolivia,False,True,True,True,False
Bolivia (Plurinational State of),True,False,False,False,False
Bosnia and Herzegovina,True,True,True,True,False
Botswana,True,True,True,True,False
Brazil,True,True,True,True,False
Brunei Darussalam,True,True,False,True,False
Bulgaria,True,True,True,True,False
Burkina Faso,True,True,True,True,False
Burundi,True,True,True,True,False
Cabo Verde,True,True,False,True,False
Cambodia,True,True,True,True,False
Cameroon,True,True,False,True,False
Canada,True,True,True,True,False
Cayman Islands,False,True,False,False,False
Central African Republic,True,True,False,False,False
Chad,True,True,True,True,False
Chile,True,True,True,True,False
China,True,True,True,False,False
"China, People's Republic of",False,False,False,True,False
Colombia,True,True,False,True,False
Comoros,True,True,False,False,False
Congo,True,False,True,False,False
Congo (Democratic Republic of the),False,False,True,False,False
"Congo, Dem. Rep.",False,True,False,False,False
"Congo, Democratic Republic of the",False,False,False,True,False
"Congo, Rep.",False,True,False,False,False
"Congo, Republic of",False,False,False,True,False
Cook Islands,False,True,False,False,False
Costa Rica,True,True,True,True,False
Croatia,True,True,True,False,False
"Croatia, Republic of",False,False,False,True,False
Cuba,True,True,False,False,False
Cyprus,True,True,True,True,False
Czech Republic,False,False,True,True,False
Czechia,True,True,False,False,False
Côte D'Ivoire,True,False,False,False,False
Côte d'Ivoire,False,False,False,True,False
Côte d’Ivoire,False,True,False,False,False
"Democratic People's Republic
of Korea",True,False,False,False,False
"Democratic Republic of the
Congo",True,False,False,False,False
Denmark,True,True,True,True,False
Djibouti,True,True,False,True,False
Dominica,True,True,False,True,False
Dominican Republic,True,True,True,True,False
Ecuador,True,True,True,True,False
Egypt,True,False,True,False,False
