country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA,QSSI_KNN_SCORE,KNN_RANK,QSSI_TIER,QSSI_RANK,HIGH_CONF_RANK
Denmark,0.9129101593157498,0.9584398153347,0.9027187765505524,0.7176088170442433,True,True,True,True,False,False,False,False,4,1.0,A,0.9633631080517558,1.0,0.9181847932802444,0.990063450475872,0.970819833203812,0.9654545773384228,0.9662593983643376,0.967511269635524,1.0,1.0,1.0,0.9675112696355244,1,Platinum,1,1
Norway,0.890230870661846,0.9247920136946012,0.796516567544605,0.7233035359814183,True,True,True,True,False,False,False,False,4,1.0,A,0.9392718674763172,0.9619388134504068,0.8090978509872369,1.0,0.9376218543698792,0.924264183497004,0.9229876320506772,0.9282912233058532,2.0,2.0,3.0,0.9282912233058532,3,Platinum,3,2
Singapore,0.8926495831531893,0.9467529926189896,0.8584324553950722,0.6450186156262884,True,True,True,True,False,False,False,False,4,1.0,A,0.9418411625455316,0.9867802852527344,0.8726955383440601,0.8634029182681577,0.9251434721613582,0.9150694427725078,0.927258483290662,0.9224904660748424,3.0,3.0,2.0,0.9224904660748424,4,Platinum,4,3
Netherlands,0.9102167307466248,0.905486435430314,0.8230671197960918,0.6422474180084509,True,True,True,False,False,False,False,True,3,0.75,B,0.9605019938156892,0.9401010356477368,0.8363695865604887,0.8585675361053906,0.8075358499584439,0.7838827933686944,0.8447480047000185,0.9091247509897454,13.0,19.0,11.0,0.9091247509897452,6,Platinum,6,4
Ireland,0.8259901416078436,0.875736521594103,0.7787807986406118,0.7233035359814183,True,True,True,True,False,False,False,False,4,1.0,A,0.8710316822571409,0.9064489999972132,0.7908803316243046,1.0,0.8946583595693951,0.8874897291234847,0.8790997199210545,0.8870826028713114,4.0,4.0,7.0,0.8870826028713114,7,Platinum,7,5
Australia,0.906168036193777,0.8913983025818323,0.884983007646559,0.5490572416395311,True,True,True,True,False,False,False,False,4,1.0,A,0.9562012383564856,0.924165044993224,0.899967273917312,0.6959627064610057,0.8844071981221937,0.8746012470187162,0.8994176616692162,0.8861420356033753,5.0,5.0,4.0,0.8861420356033753,8,Platinum,8,6
Germany,0.89455549229934,0.8678682433117846,0.9203483432455396,0.5402794163871945,True,True,True,True,False,False,False,False,4,1.0,A,0.943865728503289,0.8975486857736967,0.9362932257008836,0.6806465343555476,0.87551976953059,0.8712362812975202,0.8942409352661295,0.8803323286980798,6.0,6.0,5.0,0.8803323286980798,9,Platinum,9,7
Luxembourg,0.762188958278292,0.937967768108498,0.7787807986406118,0.6912954714143279,True,True,True,True,False,False,False,False,4,1.0,A,0.8032584077049283,0.9768427543391134,0.7908803316243046,0.9441500586330682,0.8726350051183914,0.8688795895473413,0.8662694823889139,0.8692613590182156,7.0,7.0,9.0,0.8692613590182156,10,Platinum,10,8
Finland,0.8135522384731969,0.9584398153347,0.9734494477485132,0.43820065135753,True,True,True,True,False,False,False,False,4,1.0,A,0.8578194285024713,1.0,0.9908366968473872,0.502532264754341,0.8361549777557774,0.8396516590095543,0.8799255417811407,0.8519107261821574,9.0,8.0,6.0,0.8519107261821574,11,Gold,11,9
Canada,0.8640010094156945,0.8537832796331456,0.9823704333050128,0.4474138939284242,True,True,True,True,False,False,False,False,4,1.0,A,0.9114090051447578,0.8816162799704584,1.0,0.5186081838810729,0.8340936062231977,0.8371640499747303,0.8714648255178414,0.8475741605719231,10.0,9.0,8.0,0.8475741605719231,12,Gold,12,10
Estonia,0.8512163435893891,0.8336284625831961,0.9823704333050128,0.475594875649424,True,True,True,False,False,False,False,True,3,0.75,B,0.897828400179659,0.8588178737085511,1.0,0.5677803596457598,0.7885826242436564,0.790630694385335,0.8385809013152238,0.8468442129321457,17.0,16.0,13.0,0.8468442129321457,13,Gold,13,11
Sweden,0.807195928866983,0.908237582907886,0.7610450297366185,0.5811283859477431,True,True,True,True,False,False,False,False,4,1.0,A,0.8510673920417107,0.943213035013678,0.7726628122613722,0.7519227138344498,0.8397323020970786,0.8269308904889919,0.8443216244646825,0.8369949390169176,8.0,10.0,12.0,0.8369949390169176,14,Gold,14,12
France,0.947399817300537,0.7571854095710073,0.9027187765505524,0.441822938333823,True,True,True,True,False,False,False,False,4,1.0,A,1.0,0.7723482335151776,0.9181847932802444,0.5088526879969311,0.8285539203346031,0.8174642257525038,0.8532513229815225,0.8330898230228764,11.0,11.0,10.0,0.8330898230228765,15,Gold,15,13
Japan,0.8297091768673535,0.8575007215242297,0.8318819031435853,0.5028744758535763,True,True,True,True,False,False,False,False,4,1.0,A,0.8749822547161219,0.8858213169240527,0.8454238027708082,0.6153797410054725,0.8175979738063355,0.8093940736734063,0.8361628968704784,0.8210516481167399,12.0,13.0,14.0,0.8210516481167399,17,Gold,17,14
Switzerland,0.7265760665428697,0.922336409910996,0.796516567544605,0.556696497294005,True,True,True,True,False,False,False,False,4,1.0,A,0.7654283524735692,0.9591611225123964,0.8090978509872369,0.7092922215741452,0.8061365523653087,0.8041381507312246,0.820636425446327,0.8103037095142867,14.0,14.0,15.0,0.8103037095142867,18,Gold,18,15
United Arab Emirates,0.7817914268610413,0.7280314666812258,0.840696686491079,0.6142531708339929,True,True,True,True,False,False,False,False,4,1.0,A,0.8240812736116244,0.7393703388267536,0.8544780189811279,0.8097211880224644,0.8055776651310846,0.8109910522384417,0.806345684652142,0.8076381340072227,15.0,12.0,19.0,0.8076381340072227,19,Gold,19,16
Belgium,0.7715866701521545,0.7950749198037986,0.955819881053526,0.4741843546733551,True,True,True,True,False,False,False,False,4,1.0,A,0.8132411960131016,0.8152074887101552,0.972728264426748,0.5653191825994204,0.7852803261736071,0.7976082982609877,0.8179780917814555,0.80028890540535,19.0,15.0,17.0,0.8002889054053501,21,Gold,21,17
Austria,0.8154764620245336,0.8328247550093182,0.8584324553950722,0.4541127096524097,True,True,True,True,False,False,False,False,4,1.0,A,0.8598634490713527,0.8579087485232602,0.8726955383440601,0.5302967526987307,0.791018155813936,0.7864016896252962,0.818150188462572,0.7985233446339347,16.0,17.0,16.0,0.7985233446339347,22,Gold,22,18
Lithuania,0.774994360523512,0.7764022725384304,0.9646346644010196,0.4707464799936863,True,True,True,False,False,False,False,True,3,0.75,B,0.8168610400829838,0.7940856597555122,0.9817824806370676,0.559320535012219,0.7383907545784856,0.7481106942711053,0.7876053375584458,0.7973146527600518,22.0,21.0,20.0,0.7973146527600518,23,Gold,23,19
Spain,0.8851748838237983,0.6889226499688639,0.9027187765505524,0.4507107159205246,True,True,True,True,False,False,False,False,4,1.0,A,0.9339011084053224,0.695131847868428,0.9181847932802444,0.5243607127342336,0.7873890413154795,0.785129630380856,0.810606731613058,0.7943751344364643,18.0,18.0,18.0,0.7943751344364643,24,Gold,24,20
Poland,0.8372766592295362,0.651838110314837,0.9380841121495328,0.4404477128866552,True,True,True,False,False,False,False,True,3,0.75,B,0.8830208683128651,0.6531831465245753,0.9545107450638158,0.506453097092906,0.726929013531198,0.7315129022701737,0.7668598740302393,0.7708366380716357,24.0,24.0,22.0,0.7708366380716357,25,Gold,25,21
Iceland,0.7126327491624229,0.8667066751187339,0.7875955819881053,0.4998310502301324,True,True,True,True,False,False,False,False,4,1.0,A,0.7506169614040252,0.8962347614894698,0.799934547834624,0.610069356109576,0.7627529239092773,0.761200175568733,0.7827970780316882,0.768916725836566,20.0,20.0,21.0,0.768916725836566,26,Gold,26,22
Israel,0.8330814494352046,0.7102983445158382,0.907648260705248,0.3721529253472198,True,True,False,True,False,False,True,False,3,0.75,B,0.8785644759646737,0.7193112669722883,0.923248175280966,0.3872875076912205,0.6965881491889034,0.6650440424211976,0.709447993019376,0.755298709263204,28.0,32.0,30.0,0.7552987092632039,28,Gold,28,23
