File,Size_KB
QSSI_2026_DISTRIBUTION_PACKAGE.zip,40.925
QSSI_2026.ris,0.352
QSSI_2026_STAGE12A_FINAL_REPORT.csv,0.114
QSSI_2026_Final_Rankings.csv,23.56
DISCLAIMER.txt,0.239
COUNTRY_COVERAGE_MATRIX.csv,19.598
QSSI_2026_External_Validation.csv,0.686
QSSI_2026_MonteCarlo_Validation.csv,28.302
QSSI_2026_Orthogonality_Matrix.csv,0.249
SCI_PLUS_2026_v1 (3).csv,22.004
QSSI_2026_Coverage_Summary.csv,0.133
QSSI_2026_RES_Impact_Ranking.csv,16.053
QSSI_2026_MASTER_STAGE10A.csv,74.466
QSSI_2026_Correlation_Matrix.csv,0.526
QSSI_2026_STAGE11D_FINAL_REPORT.csv,0.125
QSSI_2026_VeryStable_Countries.csv,21.817
QSSI_2026_MASTER_STAGE9.csv,18.677
ACADEMIC_LICENSE.txt,0.225
QSSI_2026_Zenodo_Metadata.json,0.584
QSSI_2026_COMPLETE_ARTIFACT_INVENTORY.csv,16.942
QSSI_2026_License_Registry.csv,0.305
QSSI_2026_Benchmark_Scorecard.csv,0.206
QSSI_2026_Reliability_Adjusted_Ranking.csv,70.843
QSSI_2026_MASTER_STAGE10B.csv,73.349
QSSI_2026_Weight_Sensitivity_Summary.csv,0.145
QSSI_2026_STAGE11F_FINAL_REPORT.csv,0.137
QSSI_2026_Volatile_Countries.csv,0.155
QSSI_2026_STAGE13A_FINAL_REPORT.csv,0.158
QSSI_2026_MonteCarlo_Summary.csv,0.126
QSSI_2026_High_Confidence_Ranking.csv,48.732
SCI_ULTRA_2026_v1 (3).csv,20.392
QSSI_2026_Final_Audit_Report.csv,0.272
QSSI_2026_Methodological_Warnings.csv,8.734
QSSI_2026_Artifact_Registry.csv,0.513
QSSI_2026_Low_Confidence_Ranking.csv,16.889
QSSI_2026_MASTER_STAGE2.csv,55.296
QSSI_2026.bib,0.54
QSSI_2026_MASTER_STAGE1.csv,40.907
QSSI_2026_KNN_Sensitivity.csv,3.893
SCI_2026_v1 (3).csv,29.782
QSSI_2026_Incremental_Validity.csv,0.154
QSSI_2026_MASTER_FINAL.csv,64.857
QSSI_2026_STAGE11C_FINAL_REPORT.csv,0.133
QSSI_2026_Tier_Stability.csv,0.092
PQC_NCSI_2026 (3).csv,3.402
QSSI_2026_Spearman_Matrix.csv,0.161
QSSI_2026_Tier_Analysis.csv,0.246
QSSI_2026_File_Hashes.csv,1.369
QSSI_2026_Citation.txt,1.652
QSSI_2026_STAGE12B_FINAL_REPORT.csv,0.176
QSSI_2026_Metadata_Audit.csv,0.406
QSSI_2026_INSTITUTIONAL_RELEASE.zip,41.133
QSSI_2026_MASTER_STAGE4.csv,63.153
QSSI_2026_Weights.csv,0.373
QSSI_2026_Reliability_Warnings.csv,2.664
LICENSE.txt,0.567
QSSI_2026_Benchmark_Report.csv,0.16
AI_INDEX_2026_v1 (3).csv,13.568
CITATION.cff,0.592
QSSI_2026_Shapley_LODO.csv,0.165
QSSI_2026_Tier_Transition_Matrix.csv,0.136
QSSI_2026_MASTER_STAGE7.csv,71.966
QSSI_2026_STAGE10B_FINAL_REPORT.csv,0.252
QSSI_2026_Publication_Scorecard.csv,0.188
COMMERCIAL_LICENSE.txt,0.245
QSSI_2026_RES_Correlation_Matrix.csv,0.491
QSSI_2026_STAGE11B_FINAL_REPORT.csv,0.157
QSSI_2026_Reproducibility_Audit.csv,0.18
QSSI_2026_STAGE11A_FINAL_REPORT.csv,0.241
QSSI_2026_Environment_Report.csv,0.15
QSSI_2026_Global_Benchmark.csv,0.16
QSSI_2026_Final_Publication_Summary.csv,0.248
TRADEMARK_NOTICE.txt,0.257
RES_INDEX_2026 (3).csv,16.078
QSSI_2026_Dominance_Analysis.csv,0.433
QSSI_2026_Weight_Sensitivity.csv,0.404
QSSI_2026_MASTER_STAGE3.csv,58.207
