country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM
Afghanistan,0.0610516005380055,0.102615014056443,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.05847011123244402,0.03192167608354727,0.622668266608487,0.3559270285438891
Albania,0.4463222202606491,0.4876508458624123,0.955819881053526,0.2701885519067149,True,True,True,True,False,False,False,False,4,1.0,A,0.46772665044885164,0.46746040100221,0.9727282644267481,0.2093728366484972
Algeria,0.4499496834942319,0.3585966585677635,0.3451571792693288,0.2755542924048365,True,True,True,True,False,False,False,False,4,1.0,A,0.47157994985221546,0.32147893243060316,0.3454783462419549,0.21873536125794757
Andorra,0.4134003350806227,0.7753004172964071,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.4327551366517261,0.7928392806200825,0.622668266608487,0.3559270285438891
Angola,0.2274411567617198,0.2977401710398435,0.2920560747663551,0.3009719446820423,True,True,True,True,False,False,False,False,4,1.0,A,0.2352186366997987,0.2526402561530779,0.290934875095451,0.2630858838080228
Antigua and Barbuda,0.2048522291268782,0.6072894192836624,0.1503823279524214,0.4546139035781736,True,True,True,True,False,False,False,False,4,1.0,A,0.21122338277906014,0.6027912648196778,0.14541289407657904,0.5311712714097483
Argentina,0.7006343917522271,0.4557897315810742,0.5751911639762107,0.3486768488372286,True,True,True,True,False,False,False,False,4,1.0,A,0.737871618316319,0.43142025111929033,0.5817606632486091,0.3463247842544314
Armenia,0.3862511205546053,0.4808759404353455,0.362786745964316,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.40391568456124355,0.4597968709423994,0.36358677866259403,0.3559270285438891
Australia,0.906168036193777,0.8913983025818323,0.884983007646559,0.5490572416395311,True,True,True,True,False,False,False,False,4,1.0,A,0.9562012383564857,0.9241650449932239,0.899967273917312,0.6959627064610057
Austria,0.8154764620245336,0.8328247550093182,0.8584324553950722,0.4541127096524097,True,True,True,True,False,False,False,False,4,1.0,A,0.8598634490713527,0.8579087485232602,0.8726955383440601,0.5302967526987307
Azerbaijan,0.5773847984929369,0.4373378402041625,0.7610450297366185,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.6069488346546963,0.41054813330899875,0.7726628122613722,0.3559270285438891
Bahamas,0.2715555655237825,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.2820794906951979,0.44435319589355654,0.622668266608487,0.3559270285438891
Bahrain,0.6466986177833073,0.6083831998322443,0.6017417162276976,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.6805779471550732,0.6040285101514584,0.609032398821861,0.3559270285438891
Bangladesh,0.5512465092727128,0.2813061278746889,0.6637638062871708,0.4272125185465458,True,True,True,True,False,False,False,False,4,1.0,A,0.5791832453787545,0.23405065587655957,0.6727391731209774,0.4833593912449411
Barbados,0.1717337295172703,0.6669772305511315,0.615016992353441,0.2728533184678624,True,True,False,True,False,False,True,False,3,0.75,B,0.17604301386324306,0.67030797642204,0.622668266608487,0.214022510354469
Belarus,0.2819800950948946,0.273840813735871,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.29315302362720225,0.2256061602412118,0.622668266608487,0.3559270285438891
Belgium,0.7715866701521545,0.7950749198037986,0.955819881053526,0.4741843546733551,True,True,True,True,False,False,False,False,4,1.0,A,0.8132411960131016,0.8152074887101552,0.9727282644267481,0.5653191825994204
Belize,0.1586499781736748,0.4261964513288163,0.615016992353441,0.3316058894347962,True,True,False,True,False,False,True,False,3,0.75,B,0.16214470311558543,0.39794539376179583,0.622668266608487,0.31653816345751545
Benin,0.4745324592805576,0.4278812747746087,0.5841121495327103,0.4796786347655915,True,True,True,True,False,False,False,False,4,1.0,A,0.49769318358357867,0.3998512056231274,0.5909239664012217,0.5749059922099085
Bhutan,0.3877174839763055,0.6515967997708036,0.5044604927782498,0.4978538531478085,True,True,True,True,False,False,False,False,4,1.0,A,0.4054733398520378,0.6529101846909592,0.5091087596814661,0.6066194023990916
Bolivia (Plurinational State of),0.225132330701489,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.2327660692973247,0.44435319589355654,0.622668266608487,0.3559270285438891
Bosnia and Herzegovina,0.3354885827102261,0.3881540341765276,0.3717077315208156,0.2549432841158808,True,True,True,True,False,False,False,False,4,1.0,A,0.34999280672802485,0.35491317574297715,0.3727500818152067,0.1827718120705635
Botswana,0.3540654446025904,0.5953814693423877,0.477909940526763,0.3168220363280914,True,True,True,True,False,False,False,False,4,1.0,A,0.36972621441180664,0.5893214188848412,0.4818370241082143,0.2907422479482807
