country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA,QSSI_KNN_SCORE,KNN_RANK
Denmark,0.9129101593157498,0.9584398153347,0.9027187765505524,0.7176088170442433,True,True,True,True,False,False,False,False,4,1.0,A,0.9633631080517558,1.0,0.9181847932802445,0.9900634504758721,0.970819833203812,0.9654545773384228,0.9662593983643376,0.9675112696355244,1.0,1.0,1.0,0.9675112696355243,1
Republic of Korea,0.9183507486626918,0.9237964433958977,0.876683299097162,0.6550812476968273,True,False,False,False,False,True,True,True,1,0.25,D,0.9691424139563434,0.9608126600313073,0.8914421233008484,0.8809609124404899,0.6604606811129263,0.6276465837035354,0.6633805958379797,0.6504959535514804,37.0,44.0,42.0,0.9333362736572122,2
Norway,0.890230870661846,0.9247920136946012,0.796516567544605,0.7233035359814183,True,True,True,True,False,False,False,False,4,1.0,A,0.9392718674763171,0.9619388134504069,0.8090978509872369,1.0,0.9376218543698792,0.924264183497004,0.9229876320506772,0.9282912233058536,2.0,2.0,3.0,0.9282912233058533,3
Singapore,0.8926495831531893,0.9467529926189896,0.8584324553950722,0.6450186156262884,True,True,True,True,False,False,False,False,4,1.0,A,0.9418411625455316,0.9867802852527345,0.8726955383440601,0.8634029182681577,0.9251434721613582,0.9150694427725078,0.927258483290662,0.9224904660748424,3.0,3.0,2.0,0.9224904660748425,4
United Kingdom of Great Britain and Northern Ireland,0.9240477396822298,0.8930701923746656,0.8818428894553321,0.6013594754184688,True,False,False,False,False,True,True,True,1,0.25,D,0.975194084416659,0.9260562267701503,0.8967418617989971,0.7872233537204025,0.6628545975069465,0.6294625639386473,0.6655602145808119,0.6526257920088019,36.0,43.0,40.0,0.9102055040631416,5
Netherlands,0.9102167307466248,0.905486435430314,0.8230671197960918,0.6422474180084509,True,True,True,False,False,False,False,True,3,0.75,B,0.9605019938156891,0.9401010356477367,0.8363695865604887,0.8585675361053906,0.8075358499584439,0.7838827933686944,0.8447480047000185,0.8120555493423856,13.0,19.0,11.0,0.9091247509897453,6
Ireland,0.8259901416078436,0.875736521594103,0.7787807986406118,0.7233035359814183,True,True,True,True,False,False,False,False,4,1.0,A,0.8710316822571409,0.9064489999972132,0.7908803316243046,1.0,0.8946583595693951,0.8874897291234847,0.8790997199210545,0.8870826028713114,4.0,4.0,7.0,0.8870826028713114,7
Australia,0.906168036193777,0.8913983025818323,0.884983007646559,0.5490572416395311,True,True,True,True,False,False,False,False,4,1.0,A,0.9562012383564857,0.9241650449932239,0.899967273917312,0.6959627064610057,0.8844071981221937,0.8746012470187162,0.8994176616692162,0.8861420356033755,5.0,5.0,4.0,0.8861420356033753,8
Germany,0.89455549229934,0.8678682433117846,0.9203483432455396,0.5402794163871945,True,True,True,True,False,False,False,False,4,1.0,A,0.943865728503289,0.8975486857736967,0.9362932257008836,0.6806465343555476,0.87551976953059,0.8712362812975202,0.8942409352661295,0.8803323286980798,6.0,6.0,5.0,0.8803323286980798,9
Luxembourg,0.762188958278292,0.937967768108498,0.7787807986406118,0.6912954714143279,True,True,True,True,False,False,False,False,4,1.0,A,0.8032584077049283,0.9768427543391134,0.7908803316243046,0.9441500586330682,0.8726350051183914,0.8688795895473413,0.8662694823889139,0.8692613590182156,7.0,7.0,9.0,0.8692613590182156,10
Finland,0.8135522384731969,0.9584398153347,0.9734494477485132,0.43820065135753,True,True,True,True,False,False,False,False,4,1.0,A,0.8578194285024713,1.0,0.9908366968473873,0.502532264754341,0.8361549777557774,0.8396516590095543,0.8799255417811407,0.8519107261821575,9.0,8.0,6.0,0.8519107261821574,11
Canada,0.8640010094156945,0.8537832796331456,0.9823704333050128,0.4474138939284242,True,True,True,True,False,False,False,False,4,1.0,A,0.9114090051447578,0.8816162799704584,1.0,0.5186081838810729,0.8340936062231977,0.8371640499747303,0.8714648255178414,0.8475741605719231,10.0,9.0,8.0,0.8475741605719231,12
Estonia,0.8512163435893891,0.8336284625831961,0.9823704333050128,0.47559487564942404,True,True,True,False,False,False,False,True,3,0.75,B,0.897828400179659,0.8588178737085511,1.0,0.5677803596457598,0.7885826242436564,0.790630694385335,0.8385809013152238,0.8059314066480717,17.0,16.0,13.0,0.8468442129321457,13
Sweden,0.807195928866983,0.908237582907886,0.7610450297366185,0.5811283859477431,True,True,True,True,False,False,False,False,4,1.0,A,0.8510673920417107,0.9432130350136781,0.7726628122613722,0.7519227138344498,0.8397323020970786,0.8269308904889919,0.8443216244646825,0.8369949390169178,8.0,10.0,12.0,0.8369949390169176,14
France,0.947399817300537,0.7571854095710073,0.9027187765505524,0.441822938333823,True,True,True,True,False,False,False,False,4,1.0,A,1.0,0.7723482335151776,0.9181847932802445,0.5088526879969311,0.8285539203346031,0.8174642257525038,0.8532513229815225,0.8330898230228765,11.0,11.0,10.0,0.8330898230228765,15
