Artifact,Folder,Status
QSSI_2026_MASTER_STAGE10B.csv,data,PASS
QSSI_2026_Shapley_LODO.csv,data,PASS
QSSI_2026_Dominance_Analysis.csv,data,PASS
QSSI_2026_Robustness_Validation.csv,data,PASS
QSSI_2026_Tier_Stability.csv,data,PASS
QSSI_2026_Weight_Sensitivity.csv,data,PASS
QSSI_2026_Weight_Sensitivity_Summary.csv,data,PASS
QSSI_2026_Global_Benchmark.csv,benchmark,PASS
QSSI_2026_Benchmark_Scorecard.csv,benchmark,PASS
QSSI_2026_Benchmark_Report.csv,benchmark,PASS
QSSI_2026_Manifest.json,reproducibility,PASS
QSSI_2026_Metadata_Audit.csv,reproducibility,PASS
QSSI_2026_Environment_Report.csv,data,PASS
QSSI_2026_File_Hashes.csv,reproducibility,PASS
QSSI_2026_Artifact_Registry.csv,reproducibility,PASS
QSSI_2026_Reproducibility_Audit.csv,reproducibility,PASS
QSSI_2026_Citation.txt,citation,PASS
QSSI_2026.bib,citation,PASS
QSSI_2026.ris,citation,PASS
CITATION.cff,citation,PASS
QSSI_2026_Zenodo_Metadata.json,manifest,PASS
LICENSE.txt,license,PASS
COMMERCIAL_LICENSE.txt,license,PASS
ACADEMIC_LICENSE.txt,license,PASS
DISCLAIMER.txt,license,PASS
TRADEMARK_NOTICE.txt,license,PASS
QSSI_2026_STAGE10B_FINAL_REPORT.csv,publication,PASS
QSSI_2026_STAGE11A_FINAL_REPORT.csv,publication,PASS
QSSI_2026_STAGE11B_FINAL_REPORT.csv,publication,PASS
QSSI_2026_STAGE11C_FINAL_REPORT.csv,publication,PASS
QSSI_2026_STAGE11D_FINAL_REPORT.csv,publication,PASS
QSSI_2026_STAGE11E_FINAL_REPORT.csv,publication,PASS
