country,oecd_ai,oxford_ai,AI_INDEX,rank,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,LEGAL_WGI_SCORE,PQC,SCI_PLUS_SCORE
Denmark,0.9245908016099024,0.9012295170215971,0.9129101593157498,1,0.9959884734264756,0.9516701741782122,0.9176349563611014,1.0,0.9663234009914472,0.9027187765505524,0.9273174456192498
Finland,0.8272939646835228,0.799810512262871,0.8135522384731969,2,1.0,0.959543796743575,0.8961328588524048,0.97808260574282,0.9584398153347,0.9734494477485132,0.9151471671854701
Canada,0.8770298175437337,0.8509722012876554,0.8640010094156945,3,0.8674053197892144,0.8152583650881003,0.8830982587068588,0.8493711749484089,0.8537832796331456,0.9823704333050128,0.9000515741179509
Singapore,0.9042673194469224,0.8810318468594561,0.8926495831531893,4,0.8603894069067882,1.0,1.0,0.92662256356917,0.9467529926189896,0.8584324553950722,0.8992783437224171
Germany,0.9067441105003616,0.8823668740983184,0.89455549229934,5,0.9064319163220674,0.8478558948449597,0.8352988629284321,0.8818862991516789,0.8678682433117846,0.9203483432455396,0.8942573596188881
Australia,0.9172218414278416,0.8951142309597124,0.906168036193777,6,0.8696698416344153,0.9016674927045318,0.894310073912639,0.8999458020757428,0.8913983025818323,0.884983007646559,0.894183115474056
Estonia,0.8655859353861813,0.836846751792597,0.8512163435893891,7,0.8734662605172272,0.8237747015015892,0.7793055705721805,0.8579673177417875,0.8336284625831961,0.9823704333050128,0.8890717464925326
Netherlands,0.9214648776987578,0.898968583794492,0.9102167307466248,8,0.9256282193845768,0.9015490999426632,0.8814974627805683,0.9132709596134476,0.905486435430314,0.8230671197960918,0.8795900953243435
Norway,0.901367837230326,0.879093904093366,0.890230870661846,9,0.9830091422424684,0.889221903524776,0.9019489305784836,0.9249880784326772,0.9247920136946012,0.796516567544605,0.8705131506336841
France,0.9557371682459136,0.9390624663551604,0.947399817300537,10,0.7533287098902055,0.763414357030002,0.757679407168053,0.7543191641957685,0.7571854095710073,0.9027187765505524,0.8691013344740323
Belgium,0.7872679980420839,0.7559053422622252,0.7715866701521545,11,0.8252849768784076,0.7867847138963563,0.7563405106636703,0.8118894777767601,0.7950749198037986,0.955819881053526,0.8408271570031598
Japan,0.8433291222366771,0.8160892314980297,0.8297091768673535,12,0.8794111774754142,0.8074415153793613,0.9569415429979288,0.7862086502442146,0.8575007215242297,0.8318819031435853,0.8396972671783894
Lithuania,0.7909826703590542,0.7590060506879698,0.774994360523512,13,0.8469180156973253,0.7983126991834042,0.7578571286435317,0.7025212466294602,0.7764022725384304,0.9646346644010196,0.8386770991543208
Austria,0.8297858518499326,0.8011670721991345,0.8154764620245336,14,0.9187240716507348,0.8125828182444349,0.8281592794080305,0.7718328507340729,0.8328247550093182,0.8584324553950722,0.8355778908096413
Ireland,0.8393578159992189,0.8126224672164682,0.8259901416078436,15,0.8982784310699922,0.918971840207204,0.8499545174068001,0.8357412976924156,0.875736521594103,0.7787807986406118,0.826835820614186
Luxembourg,0.7777101014793892,0.7466678150771948,0.762188958278292,16,0.938604332943646,0.9295816697098692,0.9461169059187472,0.9375681638617304,0.937967768108498,0.7787807986406118,0.8263125083424673
Spain,0.8962945147460656,0.874055252901531,0.8851748838237983,17,0.742235853280183,0.6373635462831354,0.7374906473315523,0.6386005529805848,0.6889226499688639,0.9027187765505524,0.8256054367810716
Sweden,0.8211488181784009,0.7932430395555652,0.807195928866983,18,0.9303078526538816,0.8895435363946762,0.8865951696142947,0.9265037729686912,0.908237582907886,0.7610450297366185,0.8254928471704958
Switzerland,0.7411088954293581,0.7120432376563812,0.7265760665428697,19,0.9390499266795548,0.9133617653526964,0.9013282642098684,0.9356056834018648,0.922336409910996,0.796516567544605,0.8151430146661568
Poland,0.8522842028069547,0.8222691156521178,0.8372766592295362,20,0.6582789335872987,0.6529598610384753,0.6392512331238153,0.6568624135097586,0.651838110314837,0.9380841121495328,0.8090662938979687
Iceland,0.7250867769364174,0.7001787213884285,0.7126327491624229,21,0.906929749145206,0.8075971728269175,0.8576849860906499,0.8946147924121619,0.8667066751187339,0.7875955819881053,0.7889783354230874
United Arab Emirates,0.798396918880025,0.7651859348420577,0.7817914268610413,22,0.6393360184886622,0.758510919476725,0.7709899887985834,0.7432889399609328,0.7280314666812258,0.840696686491079,0.783506526677782
Slovenia,0.7549410490152872,0.722981847936091,0.7389614484756891,23,0.7533295616144539,0.6799132186334464,0.7326672824443659,0.6293536582748728,0.6988159302417848,0.9027187765505524,0.7801653850893421
Italy,0.8085425353221671,0.7774595723606297,0.7930010538413984,24,0.668285061033495,0.641997324765095,0.6659524417960483,0.6015085441230796,0.6444358429294295,0.8937977909940527,0.7770782292549602
Portugal,0.7828890967544386,0.7518571951508367,0.7673731459526376,25,0.7754486274120684,0.6659946305739108,0.7008084900960423,0.6637773820950443,0.7015072825442665,0.8496176720475787,0.7728327001814943
New Zealand,0.7589576435916553,0.7265132103098556,0.7427354269507555,26,0.91629043522423,0.930983426573032,0.9033251995756246,0.917528097653318,0.9170317897565512,0.6460280373831776,0.7685984180301615
Saudi Arabia,0.8615089563579337,0.8332292586292285,0.8473691074935811,27,0.5715553532868193,0.6588200388027837,0.6639339004579163,0.647385474028032,0.6354236916438878,0.7875955819881053,0.7567961270418581
Latvia,0.6950986968935751,0.6727891302943521,0.6839439135939636,28,0.7799979705303883,0.7522960193373244,0.6549228624113261,0.6639991781620507,0.7128040076102724,0.8672472387425658,0.7546650533156006
Chile,0.7014562175066537,0.6774617256303698,0.6894589715685118,29,0.6852842940794684,0.6757243848177478,0.7046212704374644,0.7284868958802915,0.698529211303743,0.8584324553950722,0.7488068794224422
Hungary,0.7532794480622215,0.7228095863568831,0.7380445172095522,30,0.5672923551289806,0.5687865665727131,0.6007344997473987,0.4834704832470557,0.555070976174037,0.9468988954970264,0.7466714629602053
