country,SCI_ULTRA_SCORE,SCI_ADJUSTED_SCORE,confidence_score,rank_raw,rank_adjusted,rank_gap,capability_tier,confidence_level,risk_flag
denmark,0.8753998576137579,0.8753998576137579,1.0,1,1.0,0.0,High Capability,High Confidence,False
norway,0.855009315632975,0.855009315632975,1.0,2,2.0,0.0,High Capability,High Confidence,False
singapore,0.8374242680862908,0.8374242680862908,1.0,3,3.0,0.0,High Capability,High Confidence,False
australia,0.8089608984427857,0.8089608984427857,1.0,4,4.0,0.0,High Capability,High Confidence,False
germany,0.8044732312636547,0.8044732312636547,1.0,5,5.0,0.0,High Capability,High Confidence,False
ireland,0.8033132166043558,0.8033132166043558,1.0,6,6.0,0.0,High Capability,High Confidence,False
luxembourg,0.7917286570923164,0.7917286570923164,1.0,7,7.0,0.0,High Capability,High Confidence,False
finland,0.7879156777647192,0.7879156777647192,1.0,8,8.0,0.0,High Capability,High Confidence,False
canada,0.7809736828761035,0.7809736828761035,1.0,9,9.0,0.0,High Capability,High Confidence,False
sweden,0.7667092768213258,0.7667092768213258,1.0,10,10.0,0.0,High Capability,High Confidence,False
france,0.7645157874764792,0.7645157874764792,1.0,11,11.0,0.0,High Capability,High Confidence,False
japan,0.7553829330333746,0.7553829330333746,1.0,12,12.0,0.0,High Capability,High Confidence,False
netherlands,0.7525794836374291,0.5644346127280718,0.75,13,35.0,22.0,High Capability,Moderate Confidence,False
estonia,0.7487755369802631,0.5615816527351973,0.75,14,36.0,22.0,Upper-Mid,Moderate Confidence,False
switzerland,0.7470343602730322,0.7470343602730322,1.0,15,13.0,-2.0,Upper-Mid,High Confidence,False
belgium,0.7399547958756401,0.7399547958756401,1.0,16,14.0,-2.0,Upper-Mid,High Confidence,False
united arab emirates,0.7382479247353328,0.7382479247353328,1.0,17,15.0,-2.0,Upper-Mid,High Confidence,False
austria,0.7380637958518065,0.7380637958518065,1.0,18,16.0,-2.0,Upper-Mid,High Confidence,False
spain,0.7310045619295971,0.7310045619295971,1.0,19,17.0,-2.0,Upper-Mid,High Confidence,False
iceland,0.7129433724835645,0.7129433724835645,1.0,20,18.0,-2.0,Upper-Mid,High Confidence,False
lithuania,0.7080552407685099,0.5310414305763824,0.75,21,43.0,22.0,Upper-Mid,Moderate Confidence,False
poland,0.6902887793741215,0.5177165845305911,0.75,22,45.0,23.0,Upper-Mid,Moderate Confidence,False
saudi arabia,0.6893035358900217,0.6893035358900217,1.0,23,19.0,-4.0,Upper-Mid,High Confidence,False
italy,0.6840871083033842,0.6840871083033842,1.0,24,20.0,-4.0,Upper-Mid,High Confidence,False
new zealand,0.6838573375135343,0.6838573375135343,1.0,25,21.0,-4.0,Upper-Mid,High Confidence,False
portugal,0.6783341536119561,0.6783341536119561,1.0,26,22.0,-4.0,Upper-Mid,High Confidence,False
slovenia,0.6654656040099083,0.4990992030074312,0.75,27,53.0,26.0,Upper-Mid,Moderate Confidence,False
cyprus,0.6602119524121601,0.6602119524121601,1.0,28,23.0,-5.0,Upper-Mid,High Confidence,False
latvia,0.6453630553259151,0.4840222914944363,0.75,29,59.0,30.0,Upper-Mid,Moderate Confidence,False
israel,0.643540650767014,0.5148325206136113,0.8,30,47.0,17.0,Upper-Mid,Moderate Confidence,False
india,0.643533797900114,0.643533797900114,1.0,31,24.0,-7.0,Upper-Mid,High Confidence,False
greece,0.6423697826847518,0.6423697826847518,1.0,32,25.0,-7.0,Upper-Mid,High Confidence,False
chile,0.6295676889329589,0.6295676889329589,1.0,33,26.0,-7.0,Upper-Mid,High Confidence,False
united states of america,0.6283385892513778,0.18850157677541335,0.30000000000000004,34,160.0,126.0,Upper-Mid,Low Confidence,False
czechia,0.6269937935317409,0.3448465864424575,0.55,35,91.0,56.0,Upper-Mid,Low Confidence,False
hungary,0.6267473760529683,0.6267473760529683,1.0,36,27.0,-9.0,Upper-Mid,High Confidence,False
uruguay,0.6190120337051097,0.6190120337051097,1.0,37,28.0,-9.0,Upper-Mid,High Confidence,False
china,0.6169078314086622,0.4626808735564967,0.75,38,62.0,24.0,Upper-Mid,Moderate Confidence,False
romania,0.61147371695217,0.61147371695217,1.0,39,29.0,-10.0,Upper-Mid,High Confidence,False
jordan,0.6077880883480862,0.6077880883480862,1.0,40,30.0,-10.0,Upper-Mid,High Confidence,False
united kingdom of great britain and northern ireland,0.6055529111560467,0.18166587334681403,0.30000000000000004,41,161.0,120.0,Upper-Mid,Low Confidence,False
malaysia,0.6044553057674213,0.6044553057674213,1.0,42,31.0,-11.0,Upper-Mid,High Confidence,False
republic of korea,0.6038438138501852,0.18115314415505557,0.30000000000000004,43,162.0,119.0,Upper-Mid,Low Confidence,False
malta,0.6001516372103471,0.6001516372103471,1.0,44,32.0,-12.0,Upper-Mid,High Confidence,False
serbia,0.5864109886916855,0.43980824151876413,0.75,45,64.0,19.0,Mid,Moderate Confidence,False
oman,0.5747574752558786,0.5747574752558786,1.0,46,33.0,-13.0,Mid,High Confidence,False
qatar,0.5707375017914643,0.5707375017914643,1.0,47,34.0,-13.0,Mid,High Confidence,False
croatia,0.5609348971039048,0.42070117282792857,0.75,48,73.0,25.0,Mid,Moderate Confidence,False
taiwan,0.556049890125237,0.16681496703757112,0.30000000000000004,49,167.0,118.0,Mid,Low Confidence,False
bahrain,0.5549831601352375,0.41623737010142814,0.75,50,74.0,24.0,Mid,Moderate Confidence,False
kazakhstan,0.5549240119429464,0.4161930089572098,0.75,51,75.0,24.0,Mid,Moderate Confidence,False
bulgaria,0.5538994203340236,0.5538994203340236,1.0,52,37.0,-15.0,Mid,High Confidence,False
brazil,0.5518584694738261,0.5518584694738261,1.0,53,38.0,-15.0,Mid,High Confidence,False
liechtenstein,0.5515873743552753,0.3033730558954014,0.55,54,113.0,59.0,Mid,Low Confidence,False
rwanda,0.548845353529675,0.548845353529675,1.0,55,39.0,-16.0,Mid,High Confidence,False
egypt,0.5465940540924124,0.2732970270462062,0.5,56,126.0,70.0,Mid,Low Confidence,False
mauritius,0.5439700913208696,0.5439700913208696,1.0,57,40.0,-17.0,Mid,High Confidence,False
slovakia,0.5435711695011181,0.27178558475055903,0.5,58,128.0,70.0,Mid,Low Confidence,False
brunei darussalam,0.5434931381020704,0.4347945104816564,0.8,59,67.0,8.0,Mid,Moderate Confidence,False
ukraine,0.5362168630451566,0.5362168630451566,1.0,60,41.0,-19.0,Mid,High Confidence,False
thailand,0.5361076411546313,0.5361076411546313,1.0,61,42.0,-19.0,Mid,High Confidence,False
monaco,0.5303968969622848,0.29171829332925664,0.55,62,117.0,55.0,Mid,Low Confidence,False
andorra,0.5293780349156216,0.2911579192035919,0.55,63,118.0,55.0,Mid,Low Confidence,False
argentina,0.526345195425486,0.526345195425486,1.0,64,44.0,-20.0,Mid,High Confidence,False
azerbaijan,0.5232883371428902,0.3924662528571677,0.75,65,79.0,14.0,Mid,Moderate Confidence,False
viet nam,0.5186676374012587,0.28526720057069227,0.55,66,121.0,55.0,Mid,Low Confidence,False
philippines,0.5165982368030709,0.5165982368030709,1.0,67,46.0,-21.0,Mid,High Confidence,False
albania,0.5145204917311818,0.5145204917311818,1.0,68,48.0,-20.0,Mid,High Confidence,False
türkiye,0.511733110265439,0.2814532106459915,0.55,69,122.0,53.0,Mid,Low Confidence,False
peru,0.5084650684195643,0.5084650684195643,1.0,70,49.0,-21.0,Mid,High Confidence,False
